Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons;Presentador;NumeroEpisodi;Tema
1496925459;Tengo un Plan;Sergio Beguería y Juan Domínguez;2023;PostproduccioDigital|AudioALaCarta;https://podcasts.apple.com/es/podcast/tengo-un-plan/id1496925459;Economía y empresa;Kbps192;True;2700;Sergio Beguería y Juan Domínguez;69;Cultura|Productivitat
1558594775;Acontece que no es poco con Nieves Concostrina;SER Podcast;2023;ProduccioEpisodica;https://podcasts.apple.com/es/podcast/acontece-que-no-es-poco-con-nieves-concostrina/id1558594775;Historia;Kbps96;True;2700;SER Podcast;67;Psicologia|Productivitat|Creativitat
137307413;Hora 25;SER Podcast;2018;Podiocomunitat|EnregistramentAsincron|AudioALaCarta|GuióNarratiu|DistribucióRSS;https://podcasts.apple.com/es/podcast/hora-25/id137307413;Noticias;Kbps64;True;900;SER Podcast;11;Futur|Hàbits|Societat
1586302997;Un tema Al Día;elDiario.es;2021;;https://podcasts.apple.com/es/podcast/un-tema-al-d%C3%ADa/id1586302997;Noticias;Kbps128;True;1800;elDiario.es;80;Benestar|Futur|Hàbits
1726276206;Black Mango Podcast;Black Mango;2022;;https://podcasts.apple.com/es/podcast/black-mango-podcast/id1726276206;Educación;Kbps64;True;5400;Black Mango;81;Hàbits|Creativitat
1823987270;Noches de Historia;Iván Patxi Gómez Gallego;2023;EnregistramentAsincron|PostproduccioDigital|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/noches-de-historia/id1823987270;Historia;Kbps192;True;3600;Iván Patxi Gómez Gallego;2;Creativitat
1715686912;Sastre y Maldonado;SER Podcast;2023;ContingutTematic|Podiocomunitat|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/sastre-y-maldonado/id1715686912;Comedia;Kbps360;True;1800;SER Podcast;36;Benestar
330689086;En casa de Herrero;esRadio;2021;;https://podcasts.apple.com/es/podcast/en-casa-de-herrero/id330689086;Noticias;Kbps192;True;3600;esRadio;53;Hàbits|Tecnologia|Creativitat|Cultura
1245349669;LO QUE TÚ DIGAS con Alex Fidalgo;Alex Fidalgo;2023;ContingutTematic|NotaDeLEpisodi|PostproduccioDigital|SintoniaICapçalera|DistribucióRSS;https://podcasts.apple.com/es/podcast/lo-que-t%C3%BA-digas-con-alex-fidalgo/id1245349669;Cultura y sociedad;Kbps192;True;5400;Alex Fidalgo;82;Benestar|Productivitat|Psicologia|Societat
1687260829;No es el fin del mundo;El Orden Mundial;2020;;https://podcasts.apple.com/es/podcast/no-es-el-fin-del-mundo/id1687260829;Gobierno;Kbps96;True;5400;El Orden Mundial;1;Societat|Productivitat
1693657645;DESPIERTA TU CURIOSIDAD;National Geographic España;2023;;https://podcasts.apple.com/es/podcast/despierta-tu-curiosidad/id1693657645;Historia;Kbps64;True;5400;National Geographic España;15;Psicologia|Benestar
1470511654;Un Libro Una Hora;SER Podcast;2022;;https://podcasts.apple.com/es/podcast/un-libro-una-hora/id1470511654;Arte;Kbps64;True;900;SER Podcast;58;
1567076396;Dossier Negro;La Vanguardia;2023;;https://podcasts.apple.com/es/podcast/dossier-negro/id1567076396;Crímenes reales;Kbps96;True;5400;La Vanguardia;63;Psicologia|Productivitat
356329864;SER Historia;SER Podcast;2020;ContingutTematic|Podiocomunitat|ProduccioEpisodica|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/ser-historia/id356329864;Historia;Kbps128;True;900;SER Podcast;16;Societat|Creativitat|Psicologia|Futur
1440040477;Crims;Catalunya Ràdio;2022;GuióNarratiu|SintoniaICapçalera|DissenySonor|ContingutTematic|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/crims/id1440040477;Cultura y sociedad;Kbps360;True;5400;Catalunya Ràdio;87;
1035297277;El Primer Palo;esRadio;2024;PostproduccioDigital|DissenySonor;https://podcasts.apple.com/es/podcast/el-primer-palo/id1035297277;Deportes;Kbps360;True;1800;esRadio;40;Cultura|Creativitat|Benestar
468637823;La Rosa de los Vientos;OndaCero;2023;Podiocomunitat|EnregistramentAsincron|ProduccioEpisodica|DissenySonor|SintoniaICapçalera|ContingutTematic;https://podcasts.apple.com/es/podcast/la-rosa-de-los-vientos/id468637823;Historia;Kbps360;True;1800;OndaCero;10;Negocis|Cultura|Societat|Creativitat|Hàbits
1478761830;Loop Infinito (by Xataka);Webedia;2018;AudioALaCarta|SintoniaICapçalera|CaptacióVocal|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/loop-infinito-by-xataka/id1478761830;Tecnología;Kbps64;True;900;Webedia;1;
1823648407;CRÍMENES QUE MARCARON ESPAÑA;CRÍMENES QUE MARCARON ESPAÑA;2024;CaptacióVocal|ContingutTematic|GuióNarratiu|AudioALaCarta|Podiocomunitat|ProduccioEpisodica;https://podcasts.apple.com/es/podcast/cr%C3%ADmenes-que-marcaron-espa%C3%B1a/id1823648407;Crímenes reales;Kbps96;True;5400;CRÍMENES QUE MARCARON ESPAÑA;15;Creativitat
1480835919;Todo por la radio;SER Podcast;2024;ProduccioEpisodica|AudioALaCarta|PostproduccioDigital|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/todo-por-la-radio/id1480835919;Comedia;Kbps360;True;3600;SER Podcast;55;Societat
1185341883;Documentales Sonoros;ermakysevilla;2020;DistribucióRSS|NotaDeLEpisodi|Podiocomunitat|GuióNarratiu|EnregistramentAsincron|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/documentales-sonoros/id1185341883;Historia;Kbps96;True;5400;ermakysevilla;82;Futur
1827509151;WORLDCAST;Pedro Buerbaum;2021;DissenySonor|CaptacióVocal|AudioALaCarta|EnregistramentAsincron|Podiocomunitat|GuióNarratiu;https://podcasts.apple.com/es/podcast/worldcast/id1827509151;Cultura y sociedad;Kbps128;True;5400;Pedro Buerbaum;94;Productivitat
1035694177;Herrera en COPE;COPE;2024;ProduccioEpisodica|NotaDeLEpisodi|DistribucióRSS|Podiocomunitat|GuióNarratiu|DissenySonor;https://podcasts.apple.com/es/podcast/herrera-en-cope/id1035694177;Noticias;Kbps192;True;2700;COPE;36;Productivitat|Cultura|Negocis|Creativitat|Benestar
1809960927;Relatos de la Historia;Marta Caniego;2022;CaptacióVocal|DissenySonor|EnregistramentAsincron|PostproduccioDigital|Podiocomunitat;https://podcasts.apple.com/es/podcast/relatos-de-la-historia/id1809960927;Historia;Kbps128;True;3600;Marta Caniego;77;
282229761;Hoy por Hoy;SER Podcast;2024;PostproduccioDigital|SintoniaICapçalera|AudioALaCarta|Podiocomunitat|DistribucióRSS;https://podcasts.apple.com/es/podcast/hoy-por-hoy/id282229761;Noticias;Kbps96;True;3600;SER Podcast;5;Negocis|Tecnologia
290139091;La Ventana;SER Podcast;2024;ProduccioEpisodica|DistribucióRSS|CaptacióVocal;https://podcasts.apple.com/es/podcast/la-ventana/id290139091;Noticias;Kbps96;True;3600;SER Podcast;49;Creativitat|Hàbits|Benestar|Productivitat
1680694660;Documentales TV -Historia y Ficción;JuAnRa;2020;EnregistramentAsincron|Podiocomunitat;https://podcasts.apple.com/es/podcast/documentales-tv-historia-y-ficci%C3%B3n/id1680694660;Cultura y sociedad;Kbps64;True;3600;JuAnRa;10;Futur|Productivitat|Societat|Psicologia|Tecnologia
953023656;Todopoderosos;Todopoderosos;2024;ProduccioEpisodica|EnregistramentAsincron|ContingutTematic|GuióNarratiu;https://podcasts.apple.com/es/podcast/todopoderosos/id953023656;Cine y TV;Kbps360;True;1800;Todopoderosos;43;Benestar|Cultura
1185951824;Territorio Negro;OndaCero;2024;Podiocomunitat|ProduccioEpisodica|DistribucióRSS|NotaDeLEpisodi|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/territorio-negro/id1185951824;Crímenes reales;Kbps64;True;3600;OndaCero;95;Creativitat|Benestar
1469066632;La Fórmula Del Éxito con Uri Sabat;Uri Sabat;2021;NotaDeLEpisodi|EnregistramentAsincron|DissenySonor|Podiocomunitat|CaptacióVocal;https://podcasts.apple.com/es/podcast/la-f%C3%B3rmula-del-%C3%A9xito-con-uri-sabat/id1469066632;Cultura y sociedad;Kbps360;True;900;Uri Sabat;76;Creativitat|Societat|Futur|Tecnologia|Productivitat
1698338097;A solas... con Vicky Martín Berrocal;Podium Podcast;2021;DistribucióRSS|ProduccioEpisodica|Podiocomunitat|EnregistramentAsincron|DissenySonor|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/a-solas-con-vicky-mart%C3%ADn-berrocal/id1698338097;Cultura y sociedad;Kbps360;True;3600;Podium Podcast;43;Societat|Creativitat
1438215792;El Faro;SER Podcast;2018;CaptacióVocal|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/el-faro/id1438215792;Cultura y sociedad;Kbps360;True;1800;SER Podcast;25;Creativitat
1595446245;El Podcast de Marc Vidal;Marc Vidal;2022;;https://podcasts.apple.com/es/podcast/el-podcast-de-marc-vidal/id1595446245;Economía y empresa;Kbps64;True;5400;Marc Vidal;36;Societat|Futur|Cultura|Creativitat
1472737419;Curiosidades de la Historia National Geographic;National Geographic España;2019;ProduccioEpisodica|ContingutTematic|CaptacióVocal;https://podcasts.apple.com/es/podcast/curiosidades-de-la-historia-national-geographic/id1472737419;Historia;Kbps192;True;5400;National Geographic España;92;Negocis|Creativitat|Psicologia
1376446768;Hoy en EL PAÍS;EL PAÍS;2022;PostproduccioDigital|Podiocomunitat|ProduccioEpisodica|EnregistramentAsincron|NotaDeLEpisodi|DissenySonor;https://podcasts.apple.com/es/podcast/hoy-en-el-pa%C3%ADs/id1376446768;Noticias;Kbps128;True;5400;EL PAÍS;43;Psicologia|Negocis|Benestar
1562525043;Dr. Mario Alonso Puig;Mario Alonso Puig;2018;NotaDeLEpisodi|ContingutTematic|EnregistramentAsincron|GuióNarratiu;https://podcasts.apple.com/es/podcast/dr-mario-alonso-puig/id1562525043;Educación;Kbps360;True;900;Mario Alonso Puig;29;
1711753634;Spicy4tuna;spicy4tuna;2021;;https://podcasts.apple.com/es/podcast/spicy4tuna/id1711753634;Economía y empresa;Kbps64;True;1800;spicy4tuna;97;
1569047175;La Voz de César Vidal;César Vidal;2020;SintoniaICapçalera|ProduccioEpisodica|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/la-voz-de-c%C3%A9sar-vidal/id1569047175;Noticias;Kbps96;True;2700;César Vidal;75;Societat|Tecnologia|Benestar|Psicologia
135067274;Global News Podcast;BBC World Service;2022;ContingutTematic;https://podcasts.apple.com/es/podcast/global-news-podcast/id135067274;Noticias;Kbps192;True;1800;BBC World Service;26;
1454362283;La Sotana;La Sotana;2022;Podiocomunitat|CaptacióVocal|PostproduccioDigital|ProduccioEpisodica;https://podcasts.apple.com/es/podcast/la-sotana/id1454362283;Deportes;Kbps128;True;1800;La Sotana;85;Negocis|Societat|Creativitat|Tecnologia
1501968107;The Wild Project;Jordi Wild;2021;GuióNarratiu|AudioALaCarta|ContingutTematic|PostproduccioDigital;https://podcasts.apple.com/es/podcast/the-wild-project/id1501968107;Cultura y sociedad;Kbps192;True;3600;Jordi Wild;14;Creativitat|Societat|Productivitat
292411579;Espacio en blanco;Radio Nacional;2019;DistribucióRSS|AudioALaCarta|PostproduccioDigital|ProduccioEpisodica|ContingutTematic|Podiocomunitat;https://podcasts.apple.com/es/podcast/espacio-en-blanco/id292411579;Ciencias;Kbps96;True;1800;Radio Nacional;20;Productivitat|Hàbits|Tecnologia|Benestar|Societat
1533045948;Infantas y Reinas;Infantas y Reinas;2021;;https://podcasts.apple.com/es/podcast/infantas-y-reinas/id1533045948;Historia;Kbps360;True;1800;Infantas y Reinas;88;Psicologia|Negocis|Cultura|Tecnologia
1776554951;Equipo de investigación;Onda Cero Podcast;2019;EnregistramentAsincron|GuióNarratiu|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/equipo-de-investigaci%C3%B3n/id1776554951;Cultura y sociedad;Kbps192;True;5400;Onda Cero Podcast;16;Negocis|Psicologia|Benestar|Hàbits|Societat
1499631337;Terrores Nocturnos;Terrores Nocturnos;2024;AudioALaCarta;https://podcasts.apple.com/es/podcast/terrores-nocturnos/id1499631337;Ficción;Kbps128;True;900;Terrores Nocturnos;9;
1850635000;Las cuatro heridas;SER Podcast;2021;;https://podcasts.apple.com/es/podcast/las-cuatro-heridas/id1850635000;Historia;Kbps128;True;1800;SER Podcast;85;
1572264828;EL MUNDO al día;El Mundo - Javier Attard;2022;SintoniaICapçalera|GuióNarratiu|ContingutTematic;https://podcasts.apple.com/es/podcast/el-mundo-al-d%C3%ADa/id1572264828;Noticias;Kbps96;True;2700;El Mundo - Javier Attard;45;Negocis|Societat|Futur
981485211;HISTORIAS DE LA HISTORIA;VIVA RADIO;2023;SintoniaICapçalera|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/historias-de-la-historia/id981485211;Historia;Kbps64;True;3600;VIVA RADIO;13;Psicologia|Tecnologia|Creativitat|Negocis
1028912310;Coffee Break: Señal y Ruido;Coffee Break: Señal y Ruido;2023;AudioALaCarta;https://podcasts.apple.com/es/podcast/coffee-break-se%C3%B1al-y-ruido/id1028912310;Ciencias;Kbps64;True;1800;Coffee Break: Señal y Ruido;22;Cultura
1580356452;Cualquier tiempo pasado fue anterior;SER Podcast;2021;Podiocomunitat|NotaDeLEpisodi|ContingutTematic|CaptacióVocal|DistribucióRSS;https://podcasts.apple.com/es/podcast/cualquier-tiempo-pasado-fue-anterior/id1580356452;Historia;Kbps128;True;5400;SER Podcast;83;Psicologia|Tecnologia|Benestar|Hàbits
1331478791;BBVA Aprendemos juntos;BBVA Podcast;2020;Podiocomunitat;https://podcasts.apple.com/es/podcast/bbva-aprendemos-juntos/id1331478791;Educación;Kbps360;True;900;BBVA Podcast;56;Societat
1607553174;La Pija y la Quinqui;La Pija y la Quinqui;2019;CaptacióVocal;https://podcasts.apple.com/es/podcast/la-pija-y-la-quinqui/id1607553174;Comedia;Kbps64;True;900;La Pija y la Quinqui;60;Tecnologia|Negocis|Benestar|Cultura|Hàbits
1618776837;Mamarazzis;El Periódico;2018;Podiocomunitat|AudioALaCarta|EnregistramentAsincron|ProduccioEpisodica;https://podcasts.apple.com/es/podcast/mamarazzis/id1618776837;Cultura y sociedad;Kbps96;True;900;El Periódico;82;
1548128302;Detrás de la verdad;XAUENPODCAST;2021;Podiocomunitat|GuióNarratiu|EnregistramentAsincron|PostproduccioDigital|NotaDeLEpisodi|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/detr%C3%A1s-de-la-verdad/id1548128302;Crímenes reales;Kbps360;True;5400;XAUENPODCAST;79;Psicologia|Tecnologia|Productivitat|Societat|Negocis
1436146378;Materia Oscura;ABC;2023;;https://podcasts.apple.com/es/podcast/materia-oscura/id1436146378;Ciencias;Kbps128;True;5400;ABC;95;
1840326741;La Renaixença;3Cat;2021;PostproduccioDigital|NotaDeLEpisodi|DistribucióRSS|EnregistramentAsincron|DissenySonor|Podiocomunitat;https://podcasts.apple.com/es/podcast/la-renaixen%C3%A7a/id1840326741;Noticias;Kbps64;True;3600;3Cat;18;Creativitat|Futur
1793375747;Roma Aeterna;Podium Podcast;2020;EnregistramentAsincron;https://podcasts.apple.com/es/podcast/roma-aeterna/id1793375747;Historia;Kbps128;True;900;Podium Podcast;2;Psicologia|Benestar|Cultura|Societat|Creativitat
1876791469;El podcast de Federico;esRadio;2020;;https://podcasts.apple.com/es/podcast/el-podcast-de-federico/id1876791469;Historia;Kbps192;True;900;esRadio;25;
1736729501;Inversión Racional Podcast;Inversión Racional;2022;PostproduccioDigital|AudioALaCarta|CaptacióVocal|ContingutTematic;https://podcasts.apple.com/es/podcast/inversi%C3%B3n-racional-podcast/id1736729501;Economía y empresa;Kbps64;True;900;Inversión Racional;50;Futur|Cultura
925651075;Carne Cruda - PROGRAMAS;La República Independiente;2018;EnregistramentAsincron|PostproduccioDigital|ContingutTematic;https://podcasts.apple.com/es/podcast/carne-cruda-programas/id925651075;Noticias;Kbps192;True;1800;La República Independiente;51;Creativitat|Benestar
881260378;Radio Fitness Revolucionario;Marcos Vázquez;2023;DistribucióRSS|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/radio-fitness-revolucionario/id881260378;Salud y forma física;Kbps360;True;3600;Marcos Vázquez;18;Hàbits|Futur
1278294394;Las Noches de Ortega;SER Podcast;2020;SintoniaICapçalera|AudioALaCarta|ProduccioEpisodica|DissenySonor|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/las-noches-de-ortega/id1278294394;Comedia;Kbps192;True;3600;SER Podcast;98;Benestar
1644774062;Yo documental;Uveobe;2020;ProduccioEpisodica|ContingutTematic|GuióNarratiu;https://podcasts.apple.com/es/podcast/yo-documental/id1644774062;Cultura y sociedad;Kbps192;True;1800;Uveobe;47;Hàbits|Psicologia|Productivitat|Futur
1291423644;The Diary Of A CEO with Steven Bartlett;DOAC;2022;Podiocomunitat|ProduccioEpisodica|CaptacióVocal|ContingutTematic|DistribucióRSS;https://podcasts.apple.com/es/podcast/the-diary-of-a-ceo-with-steven-bartlett/id1291423644;Economía y empresa;Kbps64;True;3600;DOAC;70;
1583856111;La Pizarra de Quintana;Radio MARCA;2022;GuióNarratiu|CaptacióVocal|AudioALaCarta;https://podcasts.apple.com/es/podcast/la-pizarra-de-quintana/id1583856111;Deportes;Kbps360;True;1800;Radio MARCA;55;Tecnologia|Societat|Hàbits|Psicologia|Creativitat
1483246636;Podcast de La Hora de Walter;La Hora de Walter;2024;PostproduccioDigital|DistribucióRSS|SintoniaICapçalera|EnregistramentAsincron|NotaDeLEpisodi|ContingutTematic;https://podcasts.apple.com/es/podcast/podcast-de-la-hora-de-walter/id1483246636;Deportes;Kbps64;True;1800;La Hora de Walter;54;Cultura|Negocis|Productivitat|Creativitat|Societat
262026947;6 Minute English;BBC Radio;2022;AudioALaCarta|SintoniaICapçalera|NotaDeLEpisodi|ContingutTematic|DissenySonor;https://podcasts.apple.com/es/podcast/6-minute-english/id262026947;Educación;Kbps360;True;2700;BBC Radio;28;Negocis|Benestar|Tecnologia|Psicologia
1740476770;Mañanas en Libertad con Luis del Pino;Radio Libertad;2018;PostproduccioDigital|NotaDeLEpisodi;https://podcasts.apple.com/es/podcast/ma%C3%B1anas-en-libertad-con-luis-del-pino/id1740476770;Noticias;Kbps128;True;900;Radio Libertad;76;Creativitat|Hàbits|Benestar|Tecnologia
282310581;A vivir que son dos días;SER Podcast;2018;SintoniaICapçalera|EnregistramentAsincron;https://podcasts.apple.com/es/podcast/a-vivir-que-son-dos-d%C3%ADas/id282310581;Noticias;Kbps96;True;5400;SER Podcast;4;Tecnologia|Societat|Benestar|Creativitat
1553069673;Podcast de Juan Ramón Rallo;Juan Ramón Rallo;2019;NotaDeLEpisodi|AudioALaCarta|Podiocomunitat|GuióNarratiu;https://podcasts.apple.com/es/podcast/podcast-de-juan-ram%C3%B3n-rallo/id1553069673;Ciencias;Kbps192;True;3600;Juan Ramón Rallo;57;Tecnologia|Creativitat|Cultura
1735727157;Tiene Sentido;Eli Romero;2024;GuióNarratiu|EnregistramentAsincron|SintoniaICapçalera|ContingutTematic|CaptacióVocal|DissenySonor;https://podcasts.apple.com/es/podcast/tiene-sentido/id1735727157;Salud y forma física;Kbps96;True;3600;Eli Romero;90;Creativitat|Cultura|Benestar|Futur|Productivitat
330984064;La competència - Programa sencer;RAC1;2019;ContingutTematic|AudioALaCarta|DissenySonor;https://podcasts.apple.com/es/podcast/la-compet%C3%A8ncia-programa-sencer/id330984064;Comedia;Kbps64;True;900;RAC1;23;Futur|Societat
1856511136;Caso;Onda Cero Podcast;2024;GuióNarratiu|SintoniaICapçalera|PostproduccioDigital|ContingutTematic;https://podcasts.apple.com/es/podcast/caso/id1856511136;Crímenes reales;Kbps96;True;2700;Onda Cero Podcast;46;
1773631390;Arde Venecia;Juan Dávila y Galder Varas;2022;;https://podcasts.apple.com/es/podcast/arde-venecia/id1773631390;Comedia;Kbps360;True;5400;Juan Dávila y Galder Varas;69;Creativitat|Psicologia|Negocis|Societat|Hàbits
1707357533;La cena de los idiotés;SER Podcast;2022;SintoniaICapçalera|ContingutTematic;https://podcasts.apple.com/es/podcast/la-cena-de-los-idiot%C3%A9s/id1707357533;Cultura y sociedad;Kbps64;True;3600;SER Podcast;27;Hàbits|Cultura|Creativitat|Psicologia
813266889;Memorias de un tambor;José Carlos G.;2019;AudioALaCarta|SintoniaICapçalera|NotaDeLEpisodi|DistribucióRSS|PostproduccioDigital|GuióNarratiu;https://podcasts.apple.com/es/podcast/memorias-de-un-tambor/id813266889;Historia;Kbps64;True;1800;José Carlos G.;64;Tecnologia
1156411397;Mañana Empiezo;Podium Podcast;2020;;https://podcasts.apple.com/es/podcast/ma%C3%B1ana-empiezo/id1156411397;Salud y forma física;Kbps64;True;3600;Podium Podcast;24;
1661709730;Sofá, manta y crimen;Coral do Rego y Yayo Freijo;2021;DissenySonor|DistribucióRSS|ContingutTematic;https://podcasts.apple.com/es/podcast/sof%C3%A1-manta-y-crimen/id1661709730;Crímenes reales;Kbps96;True;2700;Coral do Rego y Yayo Freijo;72;Hàbits|Tecnologia|Cultura
1229124446;Entiende Tu Mente;Molo Cebrián;2022;AudioALaCarta;https://podcasts.apple.com/es/podcast/entiende-tu-mente/id1229124446;Salud y forma física;Kbps360;True;5400;Molo Cebrián;61;
1610779022;Vidas Contadas;729;2021;;https://podcasts.apple.com/es/podcast/vidas-contadas/id1610779022;Cultura y sociedad;Kbps128;True;3600;729;24;Benestar|Productivitat
1706337436;Que no surti d'aquí;Catalunya Ràdio;2018;ContingutTematic|DissenySonor|PostproduccioDigital|SintoniaICapçalera;https://podcasts.apple.com/es/podcast/que-no-surti-daqu%C3%AD/id1706337436;Noticias;Kbps64;True;3600;Catalunya Ràdio;49;Creativitat|Societat|Cultura
1589802131;Saldremos Mejores;Podium Podcast;2020;Podiocomunitat|DissenySonor|CaptacióVocal|AudioALaCarta;https://podcasts.apple.com/es/podcast/saldremos-mejores/id1589802131;Noticias;Kbps128;True;900;Podium Podcast;87;Tecnologia|Productivitat
1583794718;Radioestadio noche;OndaCero;2021;;https://podcasts.apple.com/es/podcast/radioestadio-noche/id1583794718;Deportes;Kbps96;True;1800;OndaCero;59;
400178318;Sucedió una noche;SER Podcast;2024;EnregistramentAsincron|NotaDeLEpisodi|PostproduccioDigital|AudioALaCarta;https://podcasts.apple.com/es/podcast/sucedi%C3%B3-una-noche/id400178318;Cine y TV;Kbps128;True;2700;SER Podcast;42;Futur
1601368922;Revival Plus;Revival Studios;2022;ProduccioEpisodica|SintoniaICapçalera|PostproduccioDigital|CaptacióVocal;https://podcasts.apple.com/es/podcast/revival-plus/id1601368922;Comedia;Kbps96;True;3600;Revival Studios;95;Hàbits|Benestar|Psicologia|Negocis
1200361736;The Daily;The New York Times;2020;DistribucióRSS|DissenySonor;https://podcasts.apple.com/es/podcast/the-daily/id1200361736;Noticias;Kbps128;True;900;The New York Times;10;
