Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;TipusCaligrafia;EstatConservacio;MaterialSuport;Pagines
11802;Decorated Initial G with Flowers from a Choir Book;European;1419;Cal·ligrafia|SuportMaterial;https://www.artic.edu/iiif/2/3c5a4ebc-3d58-5b0e-42b7-f4563bcfe939/full/843,/0/default.jpg;Castellà;500;Cursiva;Necessita restauració;Manuscript cutting in tempera and gold leaf on vellum;121
51595;Saint Gregory as Author;Scriptorium of Weingarten Abbey South German (Swabia), founded 1056;1188;Autografia;https://www.artic.edu/iiif/2/db1bd28c-9e96-b641-886f-196d44a92bbc/full/843,/0/default.jpg;Llatí;500;Gòtica;Bo;Opaque watercolor on parchment;431
71519;The Visitation, from a Book of Hours;Workshop of the Master of the Ghent Privileges Flanders (Ghent or Tournai, active 1430s-1460s);1440;;https://www.artic.edu/iiif/2/412a88e7-f202-4acd-39c1-6e5ed219162e/full/843,/0/default.jpg;Àrab;5000;Cursiva;Excel·lent;Manuscript with 230 folios, 12 full-page miniatures and other decorations in gold leaf, tempera and colored inks, and littera textualis inscriptions in Latin and French in dark black ink, ruled in red with red rubrics, on parchment, with two parchment fly leaves upper cover, three parchment fly leaves lower cover, sheets with gilded edges, in modern binding of brown morocco leather over wooden boards;429
5571;The Last Judgment from Les Sept Articles de la Foi by Jean Chappuis;Maître François French, active 1450-1499;1470;Transcripcio;https://www.artic.edu/iiif/2/836a64e8-ba94-c0c0-407b-1a5dabd66f79/full/843,/0/default.jpg;Àrab;2000;Carolina;Delicat;Manuscript cutting in tempera and gold leaf, and letter bâtarde inscriptions in brownish-black ink, unruled, with decorated initial, on parchment;15
11695;Double-Sided Printing Block with Mongolian Script;Mongolia;1819;Il·luminacio|Paleografia|SuportMaterial;https://www.artic.edu/iiif/2/1aba38d3-f4b2-5297-edee-5d039289c2b2/full/843,/0/default.jpg;Àrab;500;Uncial;Necessita restauració;Woodblock with black ink;444
28423;Qur'an Manuscript in Muhaqqaq;Iran;1314;Transcripcio|Incipit|Autografia|EstatDeConservacio;https://www.artic.edu/iiif/2/f45955ef-e06c-dfcc-2477-443613bb0ded/full/843,/0/default.jpg;Grec;1000;Cursiva;Delicat;Ink, colors, and gold on paper;125
78003;Origen's Peri Archon, or First Principles, translated by Rufinus;Italian (Florence) decorations related to the work of Francesco d'Antonio del Chierico (Italian, 1433-1484) text by Origen, or Origen Adamantius (Greek, 185-254 A.D.) translation from the Greek to Latin by Rufinus (Italian, 344 or 345-410 A.D.);1470;Codicologia|Cal·ligrafia|Filigrana;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;Àrab;10000;Humanística;Excel·lent;Manuscript with 174 folios, decorations in tempera and gold leaf, and latin inscriptions in humanistica rotunda, in brown black ink, ruled in silverpoint, with red and blue ink, on parchment, bound in limp vellum (missing two leather ties) with gilded and stamped edges;403
8210;Illuminated Initial H in Diaper Pattern from a Choirbook;European (possibly France);1819;Datació|Codicologia|Filigrana|Transcripcio|Autografia;https://www.artic.edu/iiif/2/e11dfc91-b8d2-eddd-6339-bd3fef07e6d3/full/843,/0/default.jpg;Grec;5000;Carolina;Excel·lent;Manuscript cutting in tempera, gold leaf and gold paint on vellum;103
140587;One of Three Leaves from the  Perfection of Wisdom Sutra (Ashtasahasrika Prajnaparamitasutra);India or Bangladesh;12;SuportMaterial|Codicologia|Il·luminacio|Incipit|Autografia|Paleografia;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;Castellà;10000;Humanística;Necessita restauració;Opaque watercolor and ink on palm leaf;421
14545;Viper in a Rocky Garden from Manafi' al-Hayawan (On the Usefulness of Animals) of Ibn Bakhtishu';Iran;1300;SuportMaterial|Il·luminacio;https://www.artic.edu/iiif/2/f431df10-2dff-f5f6-6b0f-0199fabd2292/full/843,/0/default.jpg;Castellà;500;Cursiva;Necessita restauració;Opaque watercolor and ink on paper;443
11809;Decorated Initial M with Flowers from a Choirbook;Unknown Artist;1914;;https://www.artic.edu/iiif/2/7ea102ee-3e37-2931-8c55-028ffb4dc68b/full/843,/0/default.jpg;Grec;500;Gòtica;Necessita restauració;Manuscript cutting in tempera and gold leaf, with red and warm black ink, on vellum;214
13145;Decorated Bookbinding;Iran;18;;https://www.artic.edu/iiif/2/3ee1fa49-d9c5-883d-1f01-1886f5149542/full/843,/0/default.jpg;Àrab;10000;Carolina;Necessita restauració;Lacquer and paint on pasteboard with leather;473
20233;Book of Hours;Netherlandish (Utrecht) 15th century;1420;Filigrana|Il·luminacio|Codicologia|Cal·ligrafia|EstatDeConservacio|AnotacionsMarginals;https://www.artic.edu/iiif/2/bd3724a5-b9a2-7984-62ec-ad021cdb1cac/full/843,/0/default.jpg;Grec;2000;Uncial;Necessita restauració;Manuscript with 259 folios, six miniatures and other decorations in tempera and gold leaf, with Dutch inscriptions in littera textualis, in blackish brown ink, ruled in graphite, on parchment, in a modern binding of brown morocco over wooden boards, with stamped designs on the endbands, and with machine cut edges, marbled in red and blue;226
198027;Stonyhurst Hours (Use of Sarum);Beaufort Saints Group Flemish, late 14th-early 15th centuries;1400;;https://www.artic.edu/iiif/2/029f17a1-1263-7bfb-da09-a6e33b59922e/full/843,/0/default.jpg;Grec;1000;Gòtica;Regular;Manuscript in pen and colored inks with gilding, with fifteen miniatures in tempera on vellum, with tooled leather binding;460
18472;The Ascent of the Prophet to Heaven, Page from the Khamsa of Nizami;Iran;1501;Il·luminacio|SuportMaterial|Codicologia|Incipit|Cal·ligrafia|EstatDeConservacio;https://www.artic.edu/iiif/2/7337f24a-aeec-a1e2-a450-3d4be95187ea/full/843,/0/default.jpg;Grec;10000;Gòtica;Delicat;Opaque watercolor, gold, and ink on paper;315
11804;Decorated Initial L with Flowers from a Choir Book;European;1419;AnotacionsMarginals|Datació|EstatDeConservacio;https://www.artic.edu/iiif/2/5a4cf869-751e-4e4b-feda-21cc464cf8ac/full/843,/0/default.jpg;Castellà;2000;Uncial;Delicat;Manuscript cutting in tempera and gold leaf on vellum;239
103419;The Mass of St. Gregory, from a Book of Hours;Willem Vrelant or his workshop (Bruges) Netherlandish, flourished 1449-1481;1460;Incipit|Filigrana|AnotacionsMarginals;https://www.artic.edu/iiif/2/65430d24-f2ef-f0dd-a33a-c7c57598c36a/full/843,/0/default.jpg;Grec;1000;Carolina;Necessita restauració;Manuscript cutting in tempera and liquid gold on parchment;355
120662;Zal Climbing to Rudaba, page from a copy of the Shahnama of Firdausi;Iran Shiraz;1501;EstatDeConservacio|Datació|Autografia|Paleografia;https://www.artic.edu/iiif/2/975ff738-5334-e791-1efc-bd41109dab3a/full/843,/0/default.jpg;Castellà;10000;Uncial;Bo;Opaque watercolor and gold on paper;183
76888;Page from the St. Petersburg Album;India and Iran;1740;SuportMaterial|Datació|Il·luminacio|Transcripcio|Paleografia|Cal·ligrafia;https://www.artic.edu/iiif/2/3a193912-941b-bea3-4969-74bf9171f533/full/843,/0/default.jpg;Àrab;2000;Gòtica;Regular;Opaque watercolor, silver, and gold on paper;256
4719;Female Saint in a Historiated Initial L from a Choir Book;Italian (Florence) circle of the Master of the Dominican Effigies (Italian, active 1328-1350);1330;;https://www.artic.edu/iiif/2/3fa2ef5b-ba12-b8ad-860f-aefbf0af906e/full/843,/0/default.jpg;Castellà;1000;Cursiva;Delicat;Manuscript cutting in tempera and gold leaf, with gothica textura inscriptions in Latin in black ink, ruled in red, on parchment;246
76816;The Young Emperor Akbar Arrests the Insolent Shah Abu’l-Maali, Page from a Manuscript of the Akbarnama;India Designed by Basawan, painted by Shankar;1526;Paleografia|Autografia;https://www.artic.edu/iiif/2/c3c4fa77-ae12-1e5e-cc8a-0bde4f1be2ca/full/843,/0/default.jpg;Català;500;Carolina;Excel·lent;Opaque watercolor and gold on paper;433
11798;Decorated Initial D with Acanthus Leaves from a Choir Book;European;1419;Transcripcio|Incipit;https://www.artic.edu/iiif/2/48a2360b-8f69-4694-42e5-70bc3a78565b/full/843,/0/default.jpg;Castellà;1000;Gòtica;Bo;Manuscript cutting in tempera and gold leaf on vellum;376
71543;Prophet in a Historiated Initial O from a Gradual;Don Silvestro dei Gherarducci Italian (Florence), 1339-1399;1392;Cal·ligrafia|Datació|SuportMaterial|Transcripcio;https://www.artic.edu/iiif/2/234e64a5-848f-e67a-c3bc-90f842675fb8/full/843,/0/default.jpg;Llatí;500;Gòtica;Delicat;Manuscript cutting in tempera and gold leaf, with incising, on vellum;307
16144;Qur'an Manuscript;Iran;1112;SuportMaterial|Autografia|Cal·ligrafia|Datació|Transcripcio;https://www.artic.edu/iiif/2/6af913ce-cd6d-6fae-01bb-1627f5cfe565/full/843,/0/default.jpg;Castellà;1000;Carolina;Excel·lent;Ink, opaque watercolors, and gold on paper;139
160023;Kammavaca Manuscript;Burma;19;SuportMaterial|Transcripcio|Codicologia|Il·luminacio|EstatDeConservacio;https://www.artic.edu/iiif/2/72721265-2436-7e73-fff2-47108c693daa/full/843,/0/default.jpg;Català;2000;Cursiva;Necessita restauració;Lacquered cloth pages, lacquered wood cover inlaid with colored glass;82
108845;Page from a Copy of the Qur'an;Spain;1314;;https://www.artic.edu/iiif/2/2dbb733a-3563-e73c-c608-3a09bd2f5628/full/843,/0/default.jpg;Àrab;500;Cursiva;Excel·lent;Ink, colors, and gold on vellum;483
93008;Album Page with Calligraphic Specimen and Animal Border;India;1716;Codicologia|AnotacionsMarginals|Incipit;https://www.artic.edu/iiif/2/3173de5c-f8d7-e174-4af6-0fc583aa5d48/full/843,/0/default.jpg;Català;10000;Humanística;Delicat;Opaque watercolor and gold on paper;447
51815;Alexander Comforts the Dying Darius, page from a copy of the Shahnama of Firdausi;Iran Turkmen style;1370;EstatDeConservacio;https://www.artic.edu/iiif/2/81af09c1-d329-1134-2bf0-66e01d78b0fe/full/843,/0/default.jpg;Castellà;500;Humanística;Delicat;Opaque watercolor and ink on paper;137
52296;Courtyard of a Palace;Iran;1501;Autografia|Il·luminacio|SuportMaterial;https://www.artic.edu/iiif/2/bd98c41e-20ec-3dbb-9aa0-b1fe66c97d5a/full/843,/0/default.jpg;Grec;5000;Uncial;Necessita restauració;Opaque watercolor and ink on paper;245
71106;Pope Pius II, frontispiece to a Constitution of the Sienese Church of the Year 1464;Italian (Siena) after Vecchietta (Lorenzo di Pietro di Giovanni) (Italian, 1410-1480);1464;Autografia|Filigrana;https://www.artic.edu/iiif/2/a08d47f8-5d0f-53b5-2b5e-c1d7fda55a89/full/843,/0/default.jpg;Grec;500;Carolina;Necessita restauració;Manuscript cutting in tempera and gold leaf on parchment;337
86922;Buddhist Manuscript with Narrative Illustrations;Thailand;19;Autografia|Il·luminacio|Incipit|Paleografia|SuportMaterial|EstatDeConservacio;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;Llatí;10000;Cursiva;Bo;Ink, opaque watercolor, transparent watercolor and gold on paper;292
108749;Double Page from the Qur'an;Iran;1501;SuportMaterial|Autografia|Cal·ligrafia|Codicologia|Filigrana|Incipit;https://www.artic.edu/iiif/2/3e782ce2-72ab-1dd2-fb2b-02ace263050d/full/843,/0/default.jpg;Grec;1000;Gòtica;Regular;Opaque watercolor and gold on paper;158
184641;Manuscript Cover from the Glorification of the Great Goddess (Devimahatmya);Nepal;18;Cal·ligrafia|Incipit|Datació|Transcripcio|Autografia|AnotacionsMarginals;https://www.artic.edu/iiif/2/2690393c-7b0c-2cb9-92c5-d063412f6236/full/843,/0/default.jpg;Àrab;2000;Gòtica;Bo;Pigments on wood;152
184668;One of a Pair of Manuscript Covers from the Perfection of Wisdom Sutra (Ashtasahasrika Prajnaparamita Sutra);Nepal;17;Il·luminacio|Datació|Autografia|Cal·ligrafia|Filigrana|Codicologia;https://www.artic.edu/iiif/2/ba490e49-d2dc-907d-2809-ef22ff15f547/full/843,/0/default.jpg;Àrab;1000;Gòtica;Delicat;Pigments and metallic paint on wood;25
11786;Saint in a Historiated Initial from a Choirbook;Italian (Venice) Cristoforo Cortese (Italian, flourished c. 1399-before 1445);1430;;https://www.artic.edu/iiif/2/b3f721e7-ed4a-5aba-bc53-97c083bb0181/full/843,/0/default.jpg;Llatí;500;Gòtica;Regular;Manuscript cutting in tempera and gold leaf, with incising, and with gothica textualis inscriptions in black ink, ruled in red ink, on parchment;166
108747;Page from a Copy of The Qur'an;Iraq or Syria;910;Filigrana|Paleografia|Codicologia|SuportMaterial|Autografia|Transcripcio;https://www.artic.edu/iiif/2/fb2315a8-9c8d-e553-773b-434d01f5a767/full/843,/0/default.jpg;Grec;10000;Uncial;Delicat;Ink and color on vellum;40
71532;The Nativity in a Historiated Initial P from a Choir Book;Italian (Padua) Master of the Brussels Initials (active Bologna and Paris, 1390-1410);1390;SuportMaterial|Codicologia|Transcripcio|Incipit|Datació;https://www.artic.edu/iiif/2/f689f9b6-84dd-3849-2aab-3e5677e4efc1/full/843,/0/default.jpg;Català;1000;Carolina;Necessita restauració;Manuscript cutting in tempera and gold leaf on parchment, with gothica textualis inscriptions in black ink, verso;395
70592;The Birth of Rustam, page from a copy of the Shahnama of Firdausi;Iran;1501;Transcripcio|AnotacionsMarginals|Incipit|Filigrana|Cal·ligrafia;https://www.artic.edu/iiif/2/fcd4bf60-6889-6501-74ed-9eb045e01a4f/full/843,/0/default.jpg;Català;1000;Carolina;Necessita restauració;Opaque watercolor and gold on paper;494
123643;The Trinity and Saints in Paradise, or La Cour Céleste from a volume of La Cité de Dieu by St Augustine;French (Paris) style of Maître François;15;Incipit|Filigrana|Il·luminacio|EstatDeConservacio|Datació|Cal·ligrafia;https://www.artic.edu/iiif/2/d5e530dd-02d3-db01-0c34-f5f8d4da72d8/full/843,/0/default.jpg;Català;5000;Cursiva;Bo;Tempera and gold leaf on vellum, laid down on wood panel;290
95389;Latin Vulgate Bible;French (Paris) English binding;1230;Datació|AnotacionsMarginals;https://www.artic.edu/iiif/2/638c2124-68c8-82be-b250-1d7b7f5ad9ff/full/843,/0/default.jpg;Llatí;2000;Humanística;Regular;Manuscript with 366 folios, 82 historiated initials and other decorations in tempera, gold leaf and colored inks, and with Latin inscriptions in gothica textualis media, in brown and black inks, ruled in graphite, on parchment, bound in brown morocco leather over wooden boards, with gold tooled binding and brass clasps;64
4002;Page from a Copy of the Qur'an;Iraq;7501;AnotacionsMarginals|Transcripcio|Il·luminacio;https://www.artic.edu/iiif/2/50e17d48-00fa-0dee-4429-f749a8ae1c31/full/843,/0/default.jpg;Castellà;1000;Carolina;Excel·lent;Ink, colors, and gold on parchment;124
45517;Angel in a Historiated Initial A from an Antiphonary;Italian (Rimini) conservative follower of Neri da Rimini (Italian, active 1300-1338);1300;SuportMaterial|Transcripcio|Cal·ligrafia|Datació|Incipit|Paleografia;https://www.artic.edu/iiif/2/69579f50-7664-3cc4-31a7-8478935ea66c/full/843,/0/default.jpg;Àrab;5000;Carolina;Bo;Manuscript cutting in tempera and gold leaf, with gothica textualis inscriptions in Latin in black ink, ruled in red and blue, and with other decorations, on parchment;257
184659;Manuscript Cover from the Glorification of the Great Goddess (Devimahatmya);Nepal;18;Il·luminacio;https://www.artic.edu/iiif/2/25b5d918-65e2-60d3-273d-1e38dfb90149/full/843,/0/default.jpg;Català;500;Humanística;Necessita restauració;Pigments on wood;231
108850;Page from a Copy of The Qur'an;Iran;1617;Datació|Codicologia|SuportMaterial|Il·luminacio|Paleografia;https://www.artic.edu/iiif/2/704ab5af-778a-6bd6-22c1-96fb5ae03886/full/843,/0/default.jpg;Català;10000;Gòtica;Necessita restauració;Ink, colors, and gold on paper;461
72107;Page from a Choirbook with Christ and a Pharisee in a Historiated Initial “D”;Spanish (Seville) Master of the Cypresses (Pedro da Toledo or Nicolás Gómez) (Spanish, flourished c. 1420-1440 or 1460-1490);1430;EstatDeConservacio;https://www.artic.edu/iiif/2/296456f4-d84b-3595-c83b-658d9d5526a2/full/843,/0/default.jpg;Castellà;10000;Carolina;Delicat;Manuscript cutting in tempera and gold leaf, with rounded gothica textualis inscriptions in brownish black ink, ruled in red, on parchment;150
71559;The Entombment (Stabat Mater Prayer), from a Book of Hours;circle of Jean Colombe French (Bourges), flourished 1463-before 1498;1480;Cal·ligrafia|Il·luminacio|EstatDeConservacio|Transcripcio|Filigrana|Paleografia;https://www.artic.edu/iiif/2/f68b33da-7289-9c95-bd12-e5cc2445e3e2/full/843,/0/default.jpg;Castellà;1000;Gòtica;Bo;Manuscript cutting in tempera and gold paint, with littera batarda inscriptions in gold, recto, and light black, verso, on parchment dyed black;268
28410;Page from a Qur'an Manuscript;Probably Tunisia, Qayrawan;10;Autografia|Incipit|Transcripcio|Filigrana|EstatDeConservacio;https://www.artic.edu/iiif/2/db57b11c-026e-62a7-4862-9c9b49a67e93/full/843,/0/default.jpg;Àrab;500;Cursiva;Bo;Ink and gold on parchment;96
103418;The Coronation of the Virgin, from a Book of Hours;Attributed to Willem Vrelant or his workshop (Bruges) Netherlandish, flourished 1449-1481;1460;Transcripcio|Codicologia|Datació|EstatDeConservacio|Incipit|SuportMaterial;https://www.artic.edu/iiif/2/8c41c441-3e34-5a6e-f385-e98cf96e9b64/full/843,/0/default.jpg;Català;5000;Cursiva;Regular;Manuscript cutting in tempera and liquid gold on parchment;52
13230;The Flagellation and The Crucifixion, from a Psalter;German (Braunschweig, Lower Saxony);1239;Codicologia|SuportMaterial;https://www.artic.edu/iiif/2/089d5c1e-3e15-3974-8130-635cf1e82cec/full/843,/0/default.jpg;Castellà;5000;Humanística;Bo;Opaque watercolor, gold leaf, and shell gold, with pen and red and white ink (recto), and pen and red and black ink (verso), on parchment;297
80903;Leaf from a Picture Cycle: Christ Appearing to the Three Marys, Christ and the Pilgrims on the Road to Emmaus, Doubting Thomas, and Christ Appearing to the Apostles;French Painter, active in Northern France;1325;SuportMaterial|Cal·ligrafia|Transcripcio;https://www.artic.edu/iiif/2/3e2768f3-0d41-c57f-e424-0cbab81e4e35/full/843,/0/default.jpg;Grec;10000;Cursiva;Excel·lent;Opaque watercolor, pen and brown, red, blue and black ink, with shell gold and gold leaf on parchment.;402
184665;One of a Pair of Manuscript Covers of the Five Transcendent Buddhas;Nepal;12;Datació|Cal·ligrafia;https://www.artic.edu/iiif/2/e548bd7a-21a5-d1ad-5ecd-d1ee6ff7d73b/full/843,/0/default.jpg;Castellà;1000;Gòtica;Regular;Pigments and metallic paint on wood;93
60235;Arjuna Slays Karna, from a copy of the Razmnama;India Attributed to Fazl;1526;;https://www.artic.edu/iiif/2/180cdc30-fead-cf71-8f2c-b3fbb929f457/full/843,/0/default.jpg;Àrab;1000;Carolina;Regular;Opaque watercolor and gold on paper;398
8618;Book of Hours;Netherlandish (Leiden) related to the so-called Master of Hugo Janz Van Worden (Netherlandish, active 1480-1485) Belgian binder;1480;EstatDeConservacio|Incipit|Il·luminacio|Cal·ligrafia|AnotacionsMarginals|Transcripcio;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;Llatí;1000;Gòtica;Regular;Manuscript with 150 folios, one full-page miniature and other decorations in tempera and gold leaf, with Dutch and Latin inscriptions in littera textualis, in black ink, ruled in red ink, on parchment, bound in brown morocco over boards, with gold floral design and lettering on spine, and with marbled end papers and gilded edges;83
21462;Two Goats from Manafi' al-Hayawan (On the Usefulness of Animals) of Ibn Bakhtishu';Iran;1300;;https://www.artic.edu/iiif/2/1edf3226-78f9-8f33-d8ea-dcdea3d71444/full/843,/0/default.jpg;Llatí;2000;Humanística;Necessita restauració;Opaque watercolor and ink on paper;85
97442;The Four Evangelists, within a Border of Flowers, Birds, and Insects;Circle of Giulio Clovio Croatian, active Italy, 1498–1578;1572;Paleografia|AnotacionsMarginals|Cal·ligrafia|Incipit|Transcripcio|Autografia;https://www.artic.edu/iiif/2/0de8cbff-d420-2efd-9cc1-3a59c34ef44e/full/843,/0/default.jpg;Llatí;5000;Humanística;Regular;Tempera and gold paint on vellum, in paper montage with pen and brown ink and touches of watercolor;485
71515;Cycle of Old and New Testament Images, Possibly Prefatory Cycle for a Psalter;Northern France or Flanders;1250;Il·luminacio|Datació|Codicologia|Filigrana|AnotacionsMarginals|SuportMaterial;https://www.artic.edu/iiif/2/1395e7b9-72ec-b40a-590d-82e5c21ec320/full/843,/0/default.jpg;Castellà;2000;Cursiva;Necessita restauració;Manuscript with 58 full-page miniatures on parchment, with gothica textualis inscriptions in red (probably post-production addition) and black in French and Latin (only on ff. 9v-10r), ruled in graphite, with 2 (modern) fly leaves upper and lower cover, and with trimmed edges and modern cardboard binding;131
50142;Papal Prophecies;Northern Italian (possibly Venice) American binding;1450;EstatDeConservacio;https://www.artic.edu/iiif/2/54c48187-4082-ce69-cec3-f0c13e4e03eb/full/843,/0/default.jpg;Llatí;10000;Cursiva;Regular;Manuscript with 8 folios, 16 miniatures in pen and brown ink, with gothica textualis inscriptions in Latin in brown ink, ruled in brown ink, with rubricated initials in brush and red tempera and gold ink, subscript in black or brown ink or red tempera, and glosses in pen and brown ink, on parchment, in brown morocco leather binding over boards, with gold-embossed spine, parchment fly-leaves and laid paper end papers;10
80905;The Murder of Thomas Becket, page one, from a Book of Hours;Flemish (Bruges) Nicolas Brouwer (Flemish, active c. 1420-c. 1450);1430;AnotacionsMarginals|EstatDeConservacio|Datació;https://www.artic.edu/iiif/2/2d195c99-00eb-7ba0-d120-29b9d1f1fa9f/full/843,/0/default.jpg;Grec;1000;Uncial;Excel·lent;Manuscript cutting with tempera and gold leaf, and pen and black ink, on parchment;30
7584;The Marriage of Hosea and Gomer in a Historiated Initial V from a Bible;English (Cambridge);1345;Paleografia|Codicologia|Filigrana|Cal·ligrafia|Incipit;https://www.artic.edu/iiif/2/92b33fcd-033a-78f0-2c07-16e5ff8cbfa2/full/843,/0/default.jpg;Llatí;2000;Carolina;Necessita restauració;Tempera and gold leaf, with gothica textualis inscriptions in Latin in light brown ink, rubrics in red ink, and ruled in light brown ink, on parchment;44
76969;The Pentecost, from a Book of Hours;French (possibly Loire Valley);1430;EstatDeConservacio;https://www.artic.edu/iiif/2/144eb47e-7be4-6075-10b7-26de379fcfd4/full/843,/0/default.jpg;Àrab;500;Cursiva;Regular;Manuscript cutting with tempera and gold leaf, and pen and black ink, on parchment;364
45521;Joseph and his Brothers at the Well, Initial V from an Antiphonary;Neri da Rimini  Italian (Rimini), active 1300-1338;1310;;https://www.artic.edu/iiif/2/91ae1ab7-42db-37c7-23c3-e0a500c4be17/full/843,/0/default.jpg;Castellà;2000;Cursiva;Bo;Opaque watercolor, with shell gold and pen and brown ink (recto), pen and brown ink, with opaque watercolor (verso), on parchment;137
7582;The Birth of the Virgin in a Historiated Initial G from an Antiphonal;French (Paris) circle of the Master of Jacques de Besançon or the Master of Morgan 85;1500;Transcripcio|AnotacionsMarginals|SuportMaterial|Filigrana|Il·luminacio;https://www.artic.edu/iiif/2/41e63141-5319-d003-d1da-59381113f742/full/843,/0/default.jpg;Llatí;500;Gòtica;Excel·lent;Manuscript cutting in tempera and gold leaf, with gothica textualis inscriptions in black, ruled in red, on parchment;416
72884;Illuminated Manuscript Leaf;Italian;1450;Datació;https://www.artic.edu/iiif/2/53b33d82-e142-bce7-9800-36663c2ef83c/full/843,/0/default.jpg;Grec;5000;Cursiva;Bo;Manuscript cutting with roman small letter inscriptions in black and dark brown inks, tempera and gold leaf illuminated letters, and decorations in red and lavender inks, on vellum;22
31882;Snails, Strawberries and a Flower in a Decorated Initial A from a Manuscript;European;0;Filigrana|Codicologia|Datació|Cal·ligrafia;https://www.artic.edu/iiif/2/c5134c9e-1a65-c27f-8fdf-940216ba4973/full/843,/0/default.jpg;Català;2000;Gòtica;Delicat;Manuscript cutting in tempera, gold paint, and brown ink on vellum;408
