Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Resolucio;FrameRate;DuradaSegons;Temporada;Episodi
224372;El cavaller dels set regnes;US;2026;ArcNarratiu|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//ahdX1XQAr3MBy8uGjTOW3iiZ5zZ.jpg/images?language=ca-ES;720p;24;1200;7;12
22980;Watch What Happens Live with Andy Cohen;US;2009;;https://api.themoviedb.org/3/movie//onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg/images?language=ca-ES;4K;30;2700;4;18
4604;Smallville;US;2001;ContinuïtatLogística|PostproduccióSeparant|AmbientacióIEscenografia|DesenvolupamentDePersonatge|BíbliaDeSèrie|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//mHZSq8LA5Dt48JjaOZ5tcPXQRVN.jpg/images?language=ca-ES;4K;30;1800;2;12
1408;House;US;2004;Cliffhanger|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg/images?language=ca-ES;8K;30;1800;7;23
1399;Joc de trons;US;2011;BíbliaDeSèrie|Cliffhanger|ContinuïtatLogística|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//1XS1oqL89opfnbLl8WnZY1O1uJx.jpg/images?language=ca-ES;1080p;24;3000;9;9
4087;The X-Files;US;1993;TemporadaIEpisodi|GuióSerialitzat|Cliffhanger|BandaSonoraTemàtica|DoblatgeISubtitulació|AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//rcBx0p8h51LHceyhquYMxbspJQu.jpg/images?language=ca-ES;8K;60;2700;8;23
95479;JUJUTSU KAISEN;JP;2020;TemporadaIEpisodi|ContinuïtatLogística;https://api.themoviedb.org/3/movie//zKFkzRn1UyE11Jv9CJjVmvmQFvR.jpg/images?language=ca-ES;8K;30;3000;3;22
1431;CSI: Crime Scene Investigation;US;2000;BíbliaDeSèrie|ArcNarratiu;https://api.themoviedb.org/3/movie//i5hmoRjHNWady4AtAGICTUXknKH.jpg/images?language=ca-ES;8K;30;3000;4;6
57243;Doctor Who;GB;2005;GuióSerialitzat|Cliffhanger|PostproduccióSeparant|BandaSonoraTemàtica|Showrunner|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//w8enSKCf6Zm0topeQ2XPccDqsqp.jpg/images?language=ca-ES;1080p;25;2700;5;15
2661;仮面ライダー;JP;1971;Cliffhanger|GuióSerialitzat|BíbliaDeSèrie|PostproduccióSeparant|ContinuïtatLogística|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//fIJNVBa6MJStPiOvhLV69nAdu0e.jpg/images?language=ca-ES;8K;30;3600;4;20
1668;Friends;US;1994;;https://api.themoviedb.org/3/movie//2koX1xLkpTQM4IZebYvKysFW1Nh.jpg/images?language=ca-ES;720p;30;2700;3;6
46952;The Blacklist;US;2013;GuióSerialitzat|DesenvolupamentDePersonatge|AmbientacióIEscenografia|Showrunner;https://api.themoviedb.org/3/movie//4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg/images?language=ca-ES;1080p;24;2700;6;5
1421;Modern Family;US;2009;;https://api.themoviedb.org/3/movie//k5Qg5rgPoKdh3yTJJrLtyoyYGwC.jpg/images?language=ca-ES;8K;24;3600;7;9
65733;Doraemon;JP;2005;GuióSerialitzat|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//tU2e5wnoSIduFfGmEONGyM1K9X1.jpg/images?language=ca-ES;1080p;24;3000;3;10
1405;Dexter;US;2006;TemporadaIEpisodi|PostproduccióSeparant|ContinuïtatLogística|DoblatgeISubtitulació|Cliffhanger;https://api.themoviedb.org/3/movie//q8dWfc4JwQuv3HayIZeO84jAXED.jpg/images?language=ca-ES;1080p;25;2700;5;3
4057;Criminal Minds;US;2005;AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//gigxjNnACiXAfrwoMox5WJFgc0I.jpg/images?language=ca-ES;720p;60;3000;3;8
59941;The Tonight Show Starring Jimmy Fallon;US;2014;BandaSonoraTemàtica|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//1N4o5PmmqhlVDrcdJ2RlCFWbLGX.jpg/images?language=ca-ES;720p;60;2700;6;10
1433;American Dad!;US;2005;AmbientacióIEscenografia|Showrunner;https://api.themoviedb.org/3/movie//eb9sH2am9IUSQ8GhXTNAVoujk8W.jpg/images?language=ca-ES;8K;24;3600;3;11
1911;Bones;US;2005;;https://api.themoviedb.org/3/movie//eyTu5c8LniVciRZIOSHTvvkkgJa.jpg/images?language=ca-ES;4K;30;2700;9;14
34307;Shameless;US;2011;BandaSonoraTemàtica|ContinuïtatLogística|TemporadaIEpisodi|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//ifo31fMWLmyOVpdak9K0kY4jldQ.jpg/images?language=ca-ES;8K;60;2700;2;8
2224;The Daily Show;US;1996;Cliffhanger|BíbliaDeSèrie|PostproduccióSeparant|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//ixcfyK7it6FjRM36Te4OdblAq4X.jpg/images?language=ca-ES;4K;30;3600;7;21
2190;South Park;US;1997;PostproduccióSeparant|GuióSerialitzat|BandaSonoraTemàtica|DoblatgeISubtitulació|Cliffhanger;https://api.themoviedb.org/3/movie//1CGwZCFX2qerXaXQJJUB3qUvxq7.jpg/images?language=ca-ES;8K;60;3000;5;20
60735;The Flash;US;2014;DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//yZevl2vHQgmosfwUdVNzviIfaWS.jpg/images?language=ca-ES;720p;60;1800;4;16
2316;The Office;US;2005;ContinuïtatLogística|PostproduccióSeparant|TemporadaIEpisodi|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//dg9e5fPRRId8PoBE0F6jl5y85Eu.jpg/images?language=ca-ES;1080p;24;2700;4;22
4656;Raw;US;1993;;https://api.themoviedb.org/3/movie//pv5WNnLUo7mpT8k901Lo8UovrqI.jpg/images?language=ca-ES;8K;25;1800;3;11
91239;Bridgerton;US;2020;TemporadaIEpisodi|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//uXTg565ahu9RwonCX1V2Hex1NU6.jpg/images?language=ca-ES;720p;30;3000;1;3
764;Midsomer Murders;GB;1997;Showrunner|AmbientacióIEscenografia|Cliffhanger|GuióSerialitzat|BíbliaDeSèrie|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//pz7tsWxe0TTdfJnWPjZAEnrSl5M.jpg/images?language=ca-ES;8K;60;1200;1;17
1396;Breaking Bad;US;2008;;https://api.themoviedb.org/3/movie//ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg/images?language=ca-ES;1080p;30;2700;5;13
228091;香港八十系列;HK;1981;BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//6IpuLrhh7XZfIvz0OmFOSJdSORe.jpg/images?language=ca-ES;720p;25;3000;9;7
71712;The Good Doctor;US;2017;DoblatgeISubtitulació|BandaSonoraTemàtica|Showrunner|ContinuïtatLogística|PostproduccióSeparant|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//luhKkdD80qe62fwop6sdrXK9jUT.jpg/images?language=ca-ES;720p;25;3000;6;10
62650;Chicago Med;US;2015;DoblatgeISubtitulació|Cliffhanger|ArcNarratiu|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//9eym662FRJJb9wdgCiDKPDciZzf.jpg/images?language=ca-ES;1080p;24;1800;4;23
106379;Fallout;US;2024;DoblatgeISubtitulació|PostproduccióSeparant|TemporadaIEpisodi|DesenvolupamentDePersonatge|ArcNarratiu;https://api.themoviedb.org/3/movie//c15BtJxCXMrISLVmysdsnZUPQft.jpg/images?language=ca-ES;4K;25;3600;3;22
61818;Late Night with Seth Meyers;US;2014;;https://api.themoviedb.org/3/movie//jm95V8XjfvqmEhw0MN09wbg9Mi3.jpg/images?language=ca-ES;1080p;60;1200;2;5
5092;무한도전;KR;2005;ArcNarratiu|PostproduccióSeparant|BandaSonoraTemàtica|Showrunner|DesenvolupamentDePersonatge|GuióSerialitzat;https://api.themoviedb.org/3/movie//fpXfEfcZu5uDTOKqjwXSGgrL4iY.jpg/images?language=ca-ES;4K;24;1200;3;1
4607;Lost;US;2004;ArcNarratiu|GuióSerialitzat|ContinuïtatLogística;https://api.themoviedb.org/3/movie//og6S0aTZU6YUJAbqxeKjCa3kY1E.jpg/images?language=ca-ES;1080p;60;1200;5;8
240459;Spartacus: House of Ashur;US;2025;Showrunner|Cliffhanger|GuióSerialitzat|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//vNByuzy60v31nmUVPMA8oAtneUK.jpg/images?language=ca-ES;4K;30;3000;9;10
4629;Stargate: SG-1;CA;1997;;https://api.themoviedb.org/3/movie//thVlCUYMp6U3qI2LGkuLePYH2Gs.jpg/images?language=ca-ES;720p;25;2700;2;20
1412;Arrow;US;2012;TemporadaIEpisodi|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//u8ZHFj1jC384JEkTt3vNg1DfWEb.jpg/images?language=ca-ES;720p;25;3600;4;11
60572;Pokémon;JP;1997;;https://api.themoviedb.org/3/movie//62joiXfNE2xbb0ksnmlsdH2f7Wb.jpg/images?language=ca-ES;8K;60;1800;6;8
1402;The Walking Dead;US;2010;DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//ng3cMtxYKt1OSQYqFlnKWnVsqNO.jpg/images?language=ca-ES;8K;25;3000;2;6
17610;NCIS: Los Angeles;US;2009;PostproduccióSeparant|AmbientacióIEscenografia|GuióSerialitzat|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//TIIgcznwNfNr3KOZvxn26eKV99.jpg/images?language=ca-ES;720p;25;3600;4;5
5920;The Mentalist;US;2008;Showrunner|Cliffhanger|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//acYXu4KaDj1NIkMgObnhe4C4a0T.jpg/images?language=ca-ES;1080p;60;1200;4;10
57532;La Patrulla Peluda;US;2013;BandaSonoraTemàtica|Showrunner|ContinuïtatLogística|PostproduccióSeparant|DesenvolupamentDePersonatge|GuióSerialitzat;https://api.themoviedb.org/3/movie//j8W7mZFKOTh9mWG8rVjpUk7zkp3.jpg/images?language=ca-ES;8K;60;3600;9;20
70672;아는 형님;KR;2015;DoblatgeISubtitulació|BandaSonoraTemàtica|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//zak7mqMxJGnnWplSdbjDtV7bg2Y.jpg/images?language=ca-ES;8K;25;1200;5;15
18165;Diaris de vampirs;US;2009;AmbientacióIEscenografia|DoblatgeISubtitulació|BandaSonoraTemàtica|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//wdupKWxU5VhSfkWFv6LNno0Gu1a.jpg/images?language=ca-ES;8K;60;2700;7;7
63174;Lucifer;US;2016;Cliffhanger|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//ekZobS8isE6mA53RAiGDG93hBxL.jpg/images?language=ca-ES;720p;24;2700;6;20
39351;Grimm;US;2011;TemporadaIEpisodi|PostproduccióSeparant|Cliffhanger|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//iOptnt1QHi6bIHmOq6adnZTV0bU.jpg/images?language=ca-ES;720p;30;2700;4;15
75219;9-1-1;US;2018;;https://api.themoviedb.org/3/movie//6njUqsd3By2mJsdZm1P0moPLzs3.jpg/images?language=ca-ES;1080p;60;2700;5;7
1435;The Good Wife;US;2009;Showrunner|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//lasNCd45fpPLirlA7QxkuopWro.jpg/images?language=ca-ES;720p;25;1800;1;17
60625;Rick and Morty;US;2013;PostproduccióSeparant|DoblatgeISubtitulació|BíbliaDeSèrie|TemporadaIEpisodi|GuióSerialitzat;https://api.themoviedb.org/3/movie//WGRQ8FpjkDTzivQJ43t94bOuY0.jpg/images?language=ca-ES;8K;60;3000;2;11
10536;The Mike Douglas Show;US;1961;Showrunner|DoblatgeISubtitulació|PostproduccióSeparant|TemporadaIEpisodi|ArcNarratiu|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//qNk97cbF3dZyhkfIcJhjFDD64sM.jpg/images?language=ca-ES;8K;60;3600;7;8
688;The West Wing;US;1999;BíbliaDeSèrie;https://api.themoviedb.org/3/movie//yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg/images?language=ca-ES;1080p;30;3000;1;14
1407;Homeland;US;2011;BíbliaDeSèrie|ContinuïtatLogística|Cliffhanger|ArcNarratiu|PostproduccióSeparant;https://api.themoviedb.org/3/movie//6GAvS2e6VIRsms9FpVt33PsCoEW.jpg/images?language=ca-ES;1080p;60;3000;3;9
60622;Fargo;US;2014;Showrunner;https://api.themoviedb.org/3/movie//6U9CPeD8obHzweikFhiLhpc7YBT.jpg/images?language=ca-ES;1080p;30;3000;8;15
1419;Castle;US;2009;;https://api.themoviedb.org/3/movie//diXBeMzvfJb2iJg3G0kCUaMCzEc.jpg/images?language=ca-ES;720p;30;2700;8;15
67136;This Is Us;US;2016;ArcNarratiu;https://api.themoviedb.org/3/movie//huxmY6Dmzwpv5Q2hnNft0UMK7vf.jpg/images?language=ca-ES;1080p;25;3600;1;7
1400;Seinfeld;US;1989;;https://api.themoviedb.org/3/movie//aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg/images?language=ca-ES;4K;25;1800;3;1
32692;Blue Bloods;US;2010;Cliffhanger|ArcNarratiu|Showrunner|TemporadaIEpisodi|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//q1WlrxnCvNhBjJ4N7V0JQXjnIBN.jpg/images?language=ca-ES;4K;25;3600;3;1
15260;Adventure Time;US;2010;BandaSonoraTemàtica|PostproduccióSeparant|DoblatgeISubtitulació|Cliffhanger|GuióSerialitzat|ArcNarratiu;https://api.themoviedb.org/3/movie//qk3eQ8jW4opJ48gFWYUXWaMT4l.jpg/images?language=ca-ES;4K;30;1800;5;5
30984;Bleach;JP;2004;Showrunner|TemporadaIEpisodi|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//e0kKmeM8R7Kersh5N2PPzIRNRhr.jpg/images?language=ca-ES;720p;60;1200;3;2
6732;喜羊羊与灰太狼;CN;2005;TemporadaIEpisodi|GuióSerialitzat|DoblatgeISubtitulació|ArcNarratiu;https://api.themoviedb.org/3/movie//3TEX73koX9NroUA9lVwFDMTZtaC.jpg/images?language=ca-ES;8K;24;1800;7;20
12971;Bola de Drac Z;JP;1989;;https://api.themoviedb.org/3/movie//8csqwcvnigLWCtCwKEJgvrG0sbi.jpg/images?language=ca-ES;8K;25;1200;4;22
32798;Hawaii 5.0;US;2010;Showrunner;https://api.themoviedb.org/3/movie//sIdCKlmM2nU4akIvFQaAIiU8YES.jpg/images?language=ca-ES;8K;30;1200;8;18
2691;Two and a Half Men;US;2003;Showrunner|Cliffhanger|DoblatgeISubtitulació|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//xgfjxyV3g1S68opzuvG6G87muDp.jpg/images?language=ca-ES;1080p;30;3000;1;10
44217;Vikings;CA;2013;AmbientacióIEscenografia|DoblatgeISubtitulació|ContinuïtatLogística|BíbliaDeSèrie|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//bQLrHIRNEkE3PdIWQrZHynQZazu.jpg/images?language=ca-ES;4K;30;2700;8;13
63770;The Late Show with Stephen Colbert;US;2015;Cliffhanger|TemporadaIEpisodi|ArcNarratiu|BandaSonoraTemàtica|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg/images?language=ca-ES;720p;24;3000;2;9
71790;S.W.A.T.;US;2017;ArcNarratiu|AmbientacióIEscenografia|TemporadaIEpisodi|PostproduccióSeparant;https://api.themoviedb.org/3/movie//ttzrYMdsKWR8PTRLw7uo4noqaOJ.jpg/images?language=ca-ES;4K;60;1800;4;18
655;Star Trek: La nova generació;US;1987;TemporadaIEpisodi|BíbliaDeSèrie|PostproduccióSeparant|DesenvolupamentDePersonatge|GuióSerialitzat|ArcNarratiu;https://api.themoviedb.org/3/movie//r28Nsy2uztGX0jaEPYBvsUrucoT.jpg/images?language=ca-ES;720p;25;1200;2;3
2261;The Tonight Show Starring Johnny Carson;US;1962;Showrunner|ContinuïtatLogística|AmbientacióIEscenografia|DesenvolupamentDePersonatge|ArcNarratiu|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//uSvET5YUvHNDIeoCpErrbSmasFb.jpg/images?language=ca-ES;8K;30;1200;3;20
65334;Prodigiosa: Les aventures de Ladybug i Gat Noir;FR;2015;TemporadaIEpisodi|GuióSerialitzat|ContinuïtatLogística|ArcNarratiu|PostproduccióSeparant|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//mRhEvFykgzIWxLVenhXFOnFv3OC.jpg/images?language=ca-ES;8K;60;2700;6;1
274776;Unfamiliar;DE;2026;DoblatgeISubtitulació|GuióSerialitzat|AmbientacióIEscenografia|TemporadaIEpisodi;https://api.themoviedb.org/3/movie//fX0Kvvo6hj9feqS3JyFpVmscz2Y.jpg/images?language=ca-ES;720p;25;1800;5;23
2288;Prison Break;US;2005;;https://api.themoviedb.org/3/movie//wnmNPaLvhnMeOqnWlhNkYCZxtda.jpg/images?language=ca-ES;720p;24;3600;2;1
693;Desperate Housewives;US;2004;BandaSonoraTemàtica|Showrunner|PostproduccióSeparant|TemporadaIEpisodi|ArcNarratiu;https://api.themoviedb.org/3/movie//4qeI51jDzH81PpUUNaJCBrfm7f6.jpg/images?language=ca-ES;720p;24;3600;2;16
57911;Doraemon, el gat còsmic;JP;1979;ContinuïtatLogística|AmbientacióIEscenografia|Showrunner|DesenvolupamentDePersonatge|GuióSerialitzat|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//pYuPjnwU3hcQXEvl7MUnScYptwd.jpg/images?language=ca-ES;8K;24;3000;3;19
44006;Chicago Fire;US;2012;GuióSerialitzat|BíbliaDeSèrie|Showrunner|Cliffhanger;https://api.themoviedb.org/3/movie//r915sk2JpthZSjHEgZKifWxgo6L.jpg/images?language=ca-ES;8K;60;3000;2;17
1855;Star Trek: Voyager;US;1995;GuióSerialitzat|PostproduccióSeparant|TemporadaIEpisodi|ContinuïtatLogística|ArcNarratiu;https://api.themoviedb.org/3/movie//gNS5tRSG3UlXodCxznKKOKweqxh.jpg/images?language=ca-ES;4K;25;2700;6;3
37680;Suits;US;2011;Cliffhanger|DesenvolupamentDePersonatge|Showrunner|AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//vQiryp6LioFxQThywxbC6TuoDjy.jpg/images?language=ca-ES;4K;60;3600;9;14
1620;CSI: Miami;US;2002;;https://api.themoviedb.org/3/movie//pNW64pjaHvf6purNaFhq4SHYRfl.jpg/images?language=ca-ES;720p;24;1800;6;7
1695;Monk;US;2002;AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//3axGMbUecXXOPSeG47v2i9wK5y5.jpg/images?language=ca-ES;1080p;25;2700;4;22
1403;Marvel's Agents of S.H.I.E.L.D.;US;2013;DesenvolupamentDePersonatge|BandaSonoraTemàtica|PostproduccióSeparant|ArcNarratiu;https://api.themoviedb.org/3/movie//gHUCCMy1vvj58tzE3dZqeC9SXus.jpg/images?language=ca-ES;1080p;24;1800;6;21
1415;Elementary;US;2012;TemporadaIEpisodi|BíbliaDeSèrie|ContinuïtatLogística|Showrunner|Cliffhanger|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg/images?language=ca-ES;4K;25;3000;7;8
116799;The Lincoln Lawyer;US;2022;ContinuïtatLogística|DoblatgeISubtitulació|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//4jSaIqEU8CPBBNn4iVCK6wzPjSx.jpg/images?language=ca-ES;8K;60;2700;4;8
1398;The Sopranos;US;1999;;https://api.themoviedb.org/3/movie//rTc7ZXdroqjkKivFPvCPX0Ru7uw.jpg/images?language=ca-ES;720p;60;3600;4;7
3452;Frasier;US;1993;;https://api.themoviedb.org/3/movie//gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg/images?language=ca-ES;4K;30;1800;7;7
76479;The Boys;US;2019;TemporadaIEpisodi|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//ly6N8LREnwaVfeEaWPWL9tFy9AL.jpg/images?language=ca-ES;720p;24;3000;5;23
32415;Conan;US;2010;;https://api.themoviedb.org/3/movie//oQxrvUhP3ycwnlxIrIMQ9Z3kleq.jpg/images?language=ca-ES;8K;25;1800;2;23
1100;How I Met Your Mother;US;2005;BíbliaDeSèrie|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//b34jPzmB0wZy7EjUZoleXOl2RRI.jpg/images?language=ca-ES;8K;60;1200;3;24
58841;Chicago P.D.;US;2014;GuióSerialitzat|PostproduccióSeparant|Showrunner|AmbientacióIEscenografia|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//bez40PgT36RUu4gstD2A6GSM0tP.jpg/images?language=ca-ES;8K;24;2700;2;10
124364;FROM;US;2022;GuióSerialitzat|AmbientacióIEscenografia|DesenvolupamentDePersonatge|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//cjXLrg4R7FRPFafvuQ3SSznQOd9.jpg/images?language=ca-ES;1080p;25;3600;4;15
6836;康熙來了;TW;2004;;https://api.themoviedb.org/3/movie//bVWEPDZHRSdd7voVled6CLLq1zB.jpg/images?language=ca-ES;4K;24;3000;6;13
873;Colombo;US;1971;DoblatgeISubtitulació|GuióSerialitzat|ContinuïtatLogística|Showrunner|PostproduccióSeparant;https://api.themoviedb.org/3/movie//kVbCvqFrgNwqO9hCTlrYoV70PM.jpg/images?language=ca-ES;4K;24;1800;8;7
4546;Curb Your Enthusiasm;US;2000;PostproduccióSeparant|Cliffhanger|ArcNarratiu|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//mZqWmSq1M61Jlre3furVDSXvdrN.jpg/images?language=ca-ES;4K;24;1200;8;13
33238;런닝맨;KR;2010;;https://api.themoviedb.org/3/movie//15SMnscZqd7HZ0bzruatOcKUlOV.jpg/images?language=ca-ES;1080p;30;3600;7;5
12225;Pepa, la porqueta;GB;2004;ContinuïtatLogística|GuióSerialitzat;https://api.themoviedb.org/3/movie//esRdxAVdkjnGyojhAYW3AjSrVnS.jpg/images?language=ca-ES;4K;24;3000;7;12
80240;La Reina del Flow;CO;2018;;https://api.themoviedb.org/3/movie//fuVuDYrs8sxvEolnYr0wCSvtyTi.jpg/images?language=ca-ES;4K;30;1800;4;3
31132;Regular Show;US;2010;AmbientacióIEscenografia|ContinuïtatLogística|BandaSonoraTemàtica|DesenvolupamentDePersonatge|TemporadaIEpisodi|BíbliaDeSèrie;https://api.themoviedb.org/3/movie//mS5SLxMYcKfUxA0utBSR5MOAWWr.jpg/images?language=ca-ES;720p;30;3000;5;20
1908;Miami Vice;US;1984;BíbliaDeSèrie|DoblatgeISubtitulació|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//b5kLqC6eDiA17nq3jr1Vi340Kns.jpg/images?language=ca-ES;720p;30;3000;9;23
1413;American Horror Story;US;2011;BandaSonoraTemàtica|GuióSerialitzat|DesenvolupamentDePersonatge|Showrunner|AmbientacióIEscenografia|ContinuïtatLogística;https://api.themoviedb.org/3/movie//5LLG9bjq0i7V5N4UfRhnab8zHK4.jpg/images?language=ca-ES;4K;24;2700;8;2
60059;Better Call Saul;US;2015;;https://api.themoviedb.org/3/movie//fC2HDm5t0kHl7mTm7jxMR31b7by.jpg/images?language=ca-ES;720p;25;3000;9;24
1973;24;US;2001;BíbliaDeSèrie|PostproduccióSeparant|DesenvolupamentDePersonatge;https://api.themoviedb.org/3/movie//iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg/images?language=ca-ES;8K;24;1800;3;7
73586;Yellowstone;US;2018;DoblatgeISubtitulació|ContinuïtatLogística|Cliffhanger|Showrunner|TemporadaIEpisodi|AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//s4QRRYc1V2e68Qy9Wel9MI8fhRP.jpg/images?language=ca-ES;8K;24;1200;4;7
1667;Saturday Night Live;US;1975;BíbliaDeSèrie|Cliffhanger|DesenvolupamentDePersonatge|AmbientacióIEscenografia;https://api.themoviedb.org/3/movie//s1cZBqbMwAF3w8S3Yo0j5nr2Yuo.jpg/images?language=ca-ES;4K;60;1200;6;13
502;Sesame Street;US;1969;BíbliaDeSèrie|TemporadaIEpisodi|AmbientacióIEscenografia|Cliffhanger|PostproduccióSeparant|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//14k9BfZ2p4rQBMeJ5crKTfUZVwD.jpg/images?language=ca-ES;4K;25;2700;8;6
235685;The Pendragon Cycle: Rise of the Merlin;US;2026;BíbliaDeSèrie|GuióSerialitzat|DoblatgeISubtitulació;https://api.themoviedb.org/3/movie//jJfk8NXauN4UgFQ1qn9lFzEk7ib.jpg/images?language=ca-ES;8K;60;1800;2;13
32726;Bob's Burgers;US;2011;GuióSerialitzat|ContinuïtatLogística|DoblatgeISubtitulació|BandaSonoraTemàtica;https://api.themoviedb.org/3/movie//iIHsQe3Qjs3NH62HdamyQEPeqTR.jpg/images?language=ca-ES;1080p;25;1200;5;3
1950;Everwood;US;2002;BandaSonoraTemàtica|BíbliaDeSèrie|ContinuïtatLogística;https://api.themoviedb.org/3/movie//4zmuA2Ql1QdUtw9OM6MdmtXnZEF.jpg/images?language=ca-ES;8K;60;3600;6;24
