Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;Tecnica;NumeroSerie;DimensionsFisiques
71;Old Oaks at Bas Bréau;Adolphe Martial Potémont French, 1828-1883;1865;Aiguafort|Incisió|TiratgeLimitat|PremsaTòrcul|Registra;https://www.artic.edu/iiif/2/1ce19018-a280-96de-7f63-6547f8de2395/full/843,/0/default.jpg;Anglès;750;Museu Nacional;978-8-32564-339-9;2;Etching in black ink on cream Asian paper mounted overall to ivory wove paper (chine colle);2;40x50 cm
22;Villa Pamphili outside Porta S. Pancrazio, from Views of Rome;Giovanni Battista Piranesi (Italian, 1720-1778) published by Francesco (Italian, 1758-1810) and Pietro Piranesi (Italian, born 1758/9);1776;Incisió;https://www.artic.edu/iiif/2/a76844cc-cec8-6026-5609-50d3961aed4c/full/843,/0/default.jpg;Italià;250;Institut Gràfic;978-8-76604-320-7;1;Etching on heavy ivory laid paper;63;30x40 cm
86;Two warriors, one seated asleep on a foreground rock, from Figurine series;Salvator Rosa Italian, 1615-1673;0;Incisió|MatriuOriginal|ProvaDEstat|Aiguafort;https://www.artic.edu/iiif/2/c526537c-50b4-5a0a-8844-b386932c8497/full/843,/0/default.jpg;Castellà;100;Galeria d'Art;978-6-31939-951-5;1;Etching on ivory laid paper;32;20x30 cm
87;A warrior sits on a block and gestures, two figure are behind him, from Figurine series;Salvator Rosa Italian, 1615-1673;0;Aiguafort;https://www.artic.edu/iiif/2/86cecc57-ac83-ef3e-dd8f-7f24fce0effb/full/843,/0/default.jpg;Francès;1000;Museu Nacional;978-1-43897-272-6;1;Etching with drypoint on ivory laid paper;93;20x30 cm
25;Jeronimo de Bran;Lucas Emil Vorsterman (Flemish, 1595-1675) after Jan Lievens (Dutch, 1607-1674);1615;PuntaSeca|ProvaDEstat|MatriuOriginal|TiratgeLimitat|Entintat;https://www.artic.edu/iiif/2/b9be1be9-e78e-1681-723d-197d7983b23b/full/843,/0/default.jpg;Anglès;500;Galeria d'Art;978-9-22480-982-2;1;Engraving in black on ivory laid paper;50;30x40 cm
89;Rest on the Flight into Egypt;Bartolomeo Biscaino Italian, before 1629-1657;0;Aiguafort;https://www.artic.edu/iiif/2/7120b4c6-fbd6-ea4e-f346-0b696596a6c5/full/843,/0/default.jpg;Francès;250;Galeria d'Art;978-7-67814-714-0;1;Etching printed in reddish brown on paper;18;20x30 cm
66;A Young Man Caressing the Young Hostess;Cornelis Pietersz Bega Dutch, 1631/32-1664;1650;Incisió;https://www.artic.edu/iiif/2/ab1dfe48-14e8-b546-7e35-581c401db240/full/843,/0/default.jpg;Italià;100;Editorial d'Art;978-8-62772-136-1;2;Etching in black on paper;91;30x40 cm
23;The Arch of Septimus Severus;Luigi Rossini Italian, 1790-1857;1820;ProvaDEstat|GravatEnRelleu|NumeracioIAsignatura|PremsaTòrcul|EstampacioManual;https://www.artic.edu/iiif/2/33115537-53c1-840b-5e74-07cb07c7b05d/full/843,/0/default.jpg;Anglès;100;Museu Nacional;978-2-88562-541-8;2;Etching on off-white wove paper;26;30x40 cm
48;Mower Honing a Scythe;Jules Bastien-Lepage French, 1848-1884;1878;TiratgeLimitat|ProvaDEstat|Entintat|Aiguafort|PremsaTòrcul;https://www.artic.edu/iiif/2/a302e9f4-7c4b-86c5-524f-594a42b7b182/full/843,/0/default.jpg;Anglès;500;Editorial d'Art;978-9-27522-661-1;1;Etching on ivory China paper laid down on white wove paper (China paper collé);75;50x70 cm
15436;The 26 Etchings (Second Venice set);James McNeill Whistler American, 1834-1903;1924;MatriuOriginal|Entintat|ProvaDEstat|PremsaTòrcul|EstampacioManual|Registra;https://www.artic.edu/iiif/2/1e754ddd-a7aa-18c5-bc15-2c7f8d3914ea/full/843,/0/default.jpg;Català;750;Editorial d'Art;978-2-82587-877-7;2;Bound volume of etchings and drypoints printed from original cancelled copper plates;31;40x50 cm
99;Jan Lievens;Lucas Emil Vorsterman (Flemish, 1595-1675) after Anthony van Dyck (Flemish, 1599-1641);1630;Entintat|Aiguafort|PuntaSeca;https://www.artic.edu/iiif/2/7b7a064b-39f5-23d6-d5b5-319a7c631ece/full/843,/0/default.jpg;Italià;250;Institut Gràfic;978-6-97397-222-7;1;Etching in black on cream laid paper;38;30x40 cm
145882;Self-Portrait - The Last Etching;Ivan Albright American, 1897-1983;0;GravatEnRelleu;https://www.artic.edu/iiif/2/6f37aa0d-894c-42a8-339f-a1151cca3e4f/full/843,/0/default.jpg;Castellà;250;Museu Nacional;978-5-31308-150-7;2;Copper plate for drypoint;73;50x70 cm
67;The Shower;Charles François Daubigny French, 1817-1878;1851;Aiguafort|Entintat|PuntaSeca|Incisió|MatriuOriginal;https://www.artic.edu/iiif/2/3edf7848-5a7a-ece0-8491-2173a7596e92/full/843,/0/default.jpg;Castellà;1000;Institut Gràfic;978-3-74730-356-3;1;Etching on light gray chine laid down on white wove paper;53;30x40 cm
5668;The Boat Swing;Eileen Alice Soper English, 1905-1990;1924;GravatEnRelleu|PremsaTòrcul|PuntaSeca|Incisió|EstampacioManual;https://www.artic.edu/iiif/2/2c34ada1-3966-542f-36fc-19696bdb3f74/full/843,/0/default.jpg;Castellà;500;Institut Gràfic;978-9-93439-474-9;1;Drypoint on cream wove paper;16;20x30 cm
6160;Globes;Jacques Gaston Duchamp Villon French, 1875-1963;1930;PuntaSeca|MatriuOriginal|PremsaTòrcul|Incisió|EstampacioManual|TiratgeLimitat;https://www.artic.edu/iiif/2/791d6140-42f8-4712-055d-98fc8f7e940c/full/843,/0/default.jpg;Castellà;1000;Editorial d'Art;978-5-36947-209-0;1;Etching and drypoint on ivory laid paper;19;30x40 cm
49;L'Auberge du soleil levant;Charles Joseph Beauverie French, 1839-1923;0;EstampacioManual|TiratgeLimitat;https://www.artic.edu/iiif/2/c5f616d8-3721-cc35-b858-3057a1f1b988/full/843,/0/default.jpg;Italià;250;Galeria d'Art;978-3-39480-881-2;1;Etching on cream wove paper, laid down on ivory wove paper;38;20x30 cm
70319;The Razorback Bunch (Etching VI);Robert Rauschenberg (American, 1925-2008) published by Universal Limited Art Editions (American, founded 1955);1982;Entintat;https://www.artic.edu/iiif/2/665c4742-dd85-e41c-7321-762defb61927/full/843,/0/default.jpg;Castellà;250;Galeria d'Art;978-2-22625-710-2;1;Photoetching from three plates on white wove paper;73;20x30 cm
91;Saint William of Maleval;After Salvator Rosa Italian, 1615-1673 Carlo Antonini ? c.1740 - c.1784;1780;Entintat;https://www.artic.edu/iiif/2/f3afcea8-97c6-fa73-50d9-bdb29687b57b/full/843,/0/default.jpg;Italià;750;Institut Gràfic;978-5-91730-256-3;1;Etching in sanguine on ivory laid paper;42;20x30 cm
19926;Portrait of Francis Seymour Haden, No. 2 (While Etching);Francis Seymour Haden English, 1818-1910;1862;Aiguafort|Registra|PuntaSeca|GravatEnRelleu;https://www.artic.edu/iiif/2/3d25c40c-bcc4-b627-fb4e-74fafaa850cc/full/843,/0/default.jpg;Català;750;Editorial d'Art;978-7-45572-483-5;2;Etching and drypoint on cream laid paper;11;20x30 cm
77;Jan de Wael;Anthony van Dyck Flemish, 1599-1641;1630;GravatEnRelleu|Aiguafort|ProvaDEstat|MatriuOriginal|PuntaSeca|PremsaTòrcul;https://www.artic.edu/iiif/2/233f9603-eb05-64b9-1ed4-0796dd87b4b6/full/843,/0/default.jpg;Anglès;1000;Editorial d'Art;978-2-14314-764-0;1;Etching and engraving in black on ivory laid paper;73;50x70 cm
41316;Self-Portrait Etching at a Window;Rembrandt van Rijn Dutch, 1606-1669;1648;Aiguafort;https://www.artic.edu/iiif/2/c2d724d2-fa53-8184-5402-94b8da89d513/full/843,/0/default.jpg;Castellà;100;Galeria d'Art;978-1-54645-260-6;1;Etching, drypoint and engraving on buff laid paper;88;20x30 cm
7390;Old Man with a Boy Reading;Jean Jacques de Boissieu French, 1736-1810;1770;ProvaDEstat|MatriuOriginal|PuntaSeca;https://www.artic.edu/iiif/2/fdbdbcbd-65ec-a2dc-b29f-29cd62c08bab/full/843,/0/default.jpg;Català;750;Editorial d'Art;978-7-75715-896-9;1;Etching on paper;79;40x50 cm
104220;Hands Etching-O Laborum;Francis Seymour Haden English, 1818-1910;1865;Incisió|Entintat|TiratgeLimitat|GravatEnRelleu|ProvaDEstat|Registra;https://www.artic.edu/iiif/2/7bdb73c7-3e0a-6a5d-08a5-dad53329530e/full/843,/0/default.jpg;Anglès;100;Galeria d'Art;978-8-62595-853-6;2;Etching and drypoint on copper printed on off-white laid paper;33;50x70 cm
42;Saint James the Greater;Master F.P. (Italian, c. 1530-1550) or after Girolamo Francesco Maria Mazzola, called Il Parmigianino (Italian, 1503-1540);0;TiratgeLimitat|MatriuOriginal|Incisió|PuntaSeca;https://www.artic.edu/iiif/2/6d0943bb-e4b6-102e-4742-0d1533f54c97/full/843,/0/default.jpg;Castellà;250;Museu Nacional;978-6-45771-236-0;2;Etching in black on cream laid paper;4;50x70 cm
12081;The Last Words of Jean Jacques Rousseau;Heinrich Guttenberg (German, 1749-1818) after Jean Michel Moreau (French, 1741-1814);1780;Entintat;https://www.artic.edu/iiif/2/a399c8c0-1cf9-d2fc-054d-aa716a9bc8f5/full/843,/0/default.jpg;Francès;250;Institut Gràfic;978-2-12329-783-7;1;Etching on laid paper;21;40x50 cm
74;Three Oriental Figures (Jacob and Laban?);Rembrandt van Rijn Dutch, 1606-1669;1641;ProvaDEstat|PuntaSeca;https://www.artic.edu/iiif/2/5a1ce126-9ffd-36d2-21f1-21c667c4241c/full/843,/0/default.jpg;Italià;750;Editorial d'Art;978-9-68438-102-4;2;Etching on paper;87;40x50 cm
6587;Shepherd Resting in a Clearing;Henri Joseph Harpignies  French, 1819-1916;1849;TiratgeLimitat|NumeracioIAsignatura|Aiguafort|GravatEnRelleu|Incisió|Registra;https://www.artic.edu/iiif/2/f6c25d6a-8d5e-c08f-229f-12d17d21e67b/full/843,/0/default.jpg;Castellà;750;Galeria d'Art;978-8-13162-891-2;2;Etching printed in relief on ivory wove paper;93;50x70 cm
15243;The Tragic Actor (Rouvière in the role of Hamlet);Édouard Manet French, 1832-1883;1865;;https://www.artic.edu/iiif/2/8840b41b-2425-c8aa-23fd-db834df457e0/full/843,/0/default.jpg;Castellà;500;Editorial d'Art;978-6-81208-231-2;1;Etching and plate tone in black on ivory laid paper;38;40x50 cm
188177;Self-Portrait Preparing an Etching;Henri Charles Guérard French, 1846-1897;1890;Entintat;https://www.artic.edu/iiif/2/85e92d7a-9d6e-28fe-db5a-f0a7244c3f1f/full/843,/0/default.jpg;Anglès;500;Museu Nacional;978-4-99655-614-8;2;Line etching with roulette and mezzotint on cream laid paper;61;40x50 cm
85;A Warrior in Full Armor in a Grotto;Salvator Rosa Italian, 1615-1673;0;;https://www.artic.edu/iiif/2/20543761-f241-3626-1a38-1245e021f52a/full/843,/0/default.jpg;Francès;100;Galeria d'Art;978-1-54411-655-9;2;Etching with drypoint on ivory laid paper;84;50x70 cm
3419;Louise Nude on a Sofa;Suzanne Valadon French, 1865-1938;1895;MatriuOriginal|PremsaTòrcul|Registra|GravatEnRelleu|EstampacioManual|Entintat;https://www.artic.edu/iiif/2/f8b3c6ed-cee5-2b38-9668-80bd9426bc3e/full/843,/0/default.jpg;Castellà;100;Museu Nacional;978-2-19114-688-8;1;Soft ground etching with foul biting in black on ivory wove paper;77;20x30 cm
5705;Skipping;Eileen Alice Soper English, 1905-1990;1921;ProvaDEstat;https://www.artic.edu/iiif/2/c07a6dc8-7a74-4216-2c35-eaa59f771b87/full/843,/0/default.jpg;Anglès;250;Institut Gràfic;978-3-85898-544-1;1;Etching on cream laid paper;10;20x30 cm
12114;Drunken Silenus;Jusepe de Ribera Spanish, 1588-1652;1628;NumeracioIAsignatura|GravatEnRelleu;https://www.artic.edu/iiif/2/ee936034-fe64-38b0-4bef-4b3270d719e7/full/843,/0/default.jpg;Italià;500;Museu Nacional;978-9-46954-870-3;1;Etching on ivory laid paper;67;40x50 cm
64684;Untitled Etching 1;Barnett Newman (American, born 1905-1970) printed by Donn Steward published by Universal Limited Art Editions (American, founded 1955);1969;ProvaDEstat;https://www.artic.edu/iiif/2/ef055293-5fbd-c88b-2c5b-65bdb01c8c44/full/843,/0/default.jpg;Francès;1000;Galeria d'Art;978-3-47331-286-9;1;Etching on heavy ivory wove paper;4;40x50 cm
9793;Glowing Tree;Gabor Peterdi American, born Hungary, 1915-2001;1958;NumeracioIAsignatura|GravatEnRelleu|MatriuOriginal|Aiguafort|Registra;https://www.artic.edu/iiif/2/50f6d561-2e1c-fe5d-de13-e960fff566a2/full/843,/0/default.jpg;Castellà;1000;Institut Gràfic;978-2-11627-486-0;1;Color etching, engraving and lift ground aquatint on white wove paper;65;50x70 cm
14435;Portrait of Picasso;Juan Gris Spanish, 1887-1927;1947;NumeracioIAsignatura|Registra|Aiguafort|Entintat|MatriuOriginal|Incisió;https://www.artic.edu/iiif/2/fb424aff-7bcc-0191-c2c1-dd5be947cc6b/full/843,/0/default.jpg;Castellà;100;Institut Gràfic;978-6-82280-354-5;2;Etching on cream wove paper;68;30x40 cm
97418;The Razorback Bunch (Etching IV);Robert Rauschenberg (American, 1925-2008) published by Universal Limited Art Editions (American, founded 1955);1981;Incisió|MatriuOriginal;https://www.artic.edu/iiif/2/6e196062-e2f6-fe6f-18b9-8d88c1f79e6f/full/843,/0/default.jpg;Francès;1000;Galeria d'Art;978-1-81909-152-1;1;Color photoetching from three plates, with white and cream Japanese papers, laid down on white wove paper (chine collé);9;50x70 cm
10035;Landscape Against the Light;Mario Prassinos French, born Turkey, 1916-1985;0;TiratgeLimitat;https://www.artic.edu/iiif/2/f3dcc8fb-0ff7-5762-b532-aad69634093e/full/843,/0/default.jpg;Castellà;100;Editorial d'Art;978-9-25548-820-9;1;Etching on ivory wove paper;69;30x40 cm
131311;Etching is the Subject, from The Blue Guitar;David Hockney (English, born 1937) proofed by Maurice Payne (English) printed by Dany Levy (English) published by Petersburg Press Ltd. (American, 20th century);1976;GravatEnRelleu|Aiguafort|Incisió|PuntaSeca|Registra|PremsaTòrcul;https://www.artic.edu/iiif/2/87ab3335-8846-fff0-98b8-6f02c5fa18aa/full/843,/0/default.jpg;Francès;1000;Museu Nacional;978-6-26213-329-2;2;Color etching and aquatint from two copper plates on white wove paper;72;30x40 cm
7625;Anne-Sophie Herbert, Comtess de Carnarvon;Jean Morin French, c. 1590-1650;0;Registra;https://www.artic.edu/iiif/2/fde18b75-3cae-03d0-26d9-a0e58cc39f07/full/843,/0/default.jpg;Anglès;250;Editorial d'Art;978-7-95927-585-6;1;Engraving on paper;49;20x30 cm
18668;Artist's Mother;Gerald Leslie Brockhurst American, born England, 1890-1978;1920;EstampacioManual|Registra;https://www.artic.edu/iiif/2/4aa073f9-d20c-3d26-a46d-a50e112d403d/full/843,/0/default.jpg;Anglès;100;Galeria d'Art;978-6-31970-813-9;1;Etching on ivory wove paper;15;20x30 cm
190784;Out of Sight, Out of Mind, from Screen Prints 1970;Robert Esche conceived, organized, and produced by Sonia Sheridan produced by The School of the Art Institute of Chicago and the Advance Screen Company, Chicago distributed by The Goodlion;1970;;https://www.artic.edu/iiif/2/7fbbc30d-b77c-61e0-6795-d5cb527ee0c7/full/843,/0/default.jpg;Castellà;500;Editorial d'Art;978-8-23006-174-6;1;Color screenprint on coated white wove paper;28;50x70 cm
29210;Self-Portrait Etching at a Window;Rembrandt van Rijn Dutch, 1606-1669;1648;PremsaTòrcul|Incisió|Entintat|NumeracioIAsignatura|GravatEnRelleu;https://www.artic.edu/iiif/2/d20fbb56-007e-52ca-039e-f741635ac1cd/full/843,/0/default.jpg;Català;100;Museu Nacional;978-6-96878-219-6;2;Etching, drypoint and engraving on buff laid paper;18;30x40 cm
12021;Nude Study;Walter Richard Sickert British, 1860-1942;1982;MatriuOriginal|Registra|PuntaSeca|Aiguafort|TiratgeLimitat;https://www.artic.edu/iiif/2/2455c6eb-cba3-1170-e010-ccfe8c9802c1/full/843,/0/default.jpg;Anglès;250;Museu Nacional;978-9-14828-136-6;2;Etching on cream laid paper;1;20x30 cm
31695;Etching on paper;Tom Fricano American, born 1930;0;Incisió|ProvaDEstat|PuntaSeca|TiratgeLimitat|NumeracioIAsignatura|Aiguafort;https://www.artic.edu/iiif/2/bb48ee69-8f3c-40c3-0d6a-1cafefc21c35/full/843,/0/default.jpg;Italià;500;Editorial d'Art;978-7-23375-814-6;1;Color etching on paper;87;40x50 cm
135430;Weeping Woman I;Pablo Picasso (Spanish, 1881-1973) printed by Roger Lacourière (French, 1892-1966);1193;PremsaTòrcul|EstampacioManual|ProvaDEstat|Registra|MatriuOriginal;https://www.artic.edu/iiif/2/9794c354-eccb-5b8c-628b-a664416c78e6/full/843,/0/default.jpg;Francès;100;Institut Gràfic;978-5-52650-816-3;1;Drypoint, aquatint, and etching, with scraping, on copper in black on ivory laid paper;50;50x70 cm
18054;Beggar without Hat or Shoes, plate twelve from The Beggars;Jacques Callot French, 1592-1635;1622;EstampacioManual|ProvaDEstat|MatriuOriginal|GravatEnRelleu;https://www.artic.edu/iiif/2/b0f4051c-fbef-1c86-1b2b-cc2e371589f2/full/843,/0/default.jpg;Català;250;Editorial d'Art;978-9-69543-240-2;1;Etching on ivory laid paper;46;30x40 cm
11861;Rue du Chasseur, Rouen;Donald Shaw MacLaughlan American, born Canada, 1876-1938;1903;Registra;https://www.artic.edu/iiif/2/48bb903b-c9b5-9ad1-3a58-dfb45c9b83e5/full/843,/0/default.jpg;Castellà;250;Museu Nacional;978-9-81491-807-5;2;Etching in black on Japanese paper;80;50x70 cm
11873;The Builders;Donald Shaw MacLaughlan American, born Canada, 1876-1938;1904;Entintat|Registra|GravatEnRelleu;https://www.artic.edu/iiif/2/2070ab75-0c8e-0fce-90e1-a1230fe5be07/full/843,/0/default.jpg;Anglès;750;Institut Gràfic;978-6-44992-756-5;2;Etching in black on cream wove paper;25;20x30 cm
212957;Winter Etching;Tony Fitzpatrick American, 1958-2025;2000;NumeracioIAsignatura|PremsaTòrcul|TiratgeLimitat|Entintat|GravatEnRelleu;https://www.artic.edu/iiif/2/780c93db-ddb4-cdac-d03f-19e25423546b/full/843,/0/default.jpg;Anglès;1000;Editorial d'Art;978-3-57529-113-7;1;Etching with aquatint in black on white wove paper;20;40x50 cm
48711;Frontispiece for Treatise on Etching;Earl Reed American, 1863-1931;0;PremsaTòrcul|TiratgeLimitat|GravatEnRelleu|ProvaDEstat;https://www.artic.edu/iiif/2/38d85b65-ede3-954b-3702-678355f30ebd/full/843,/0/default.jpg;Francès;250;Editorial d'Art;978-5-16632-499-3;2;Etching on cream wove paper;78;30x40 cm
10876;Louis XIV;Robert Nanteuil French, 1623-1678;1663;MatriuOriginal|Entintat|PremsaTòrcul|NumeracioIAsignatura;https://www.artic.edu/iiif/2/f128dcac-ab8d-0fb7-89a3-d54a560b1723/full/843,/0/default.jpg;Francès;1000;Museu Nacional;978-5-92518-216-0;2;Engraving on paper;11;20x30 cm
12015;Red Cross;Walter Richard Sickert British, 1860-1942;1915;EstampacioManual|TiratgeLimitat|GravatEnRelleu|Aiguafort;https://www.artic.edu/iiif/2/8d30f432-6ab8-22dd-cc17-a412bc07da3c/full/843,/0/default.jpg;Castellà;100;Galeria d'Art;978-6-33077-611-5;1;Etching and soft ground etching on ivory wove paper;29;50x70 cm
776;Portrait of a Woman;Karl Koepping (German, 1848-1914) after Rembrandt van Rijn (Dutch, 1606-1669);0;;https://www.artic.edu/iiif/2/277b6335-5498-513b-69b8-d766c7781e17/full/843,/0/default.jpg;Anglès;100;Editorial d'Art;978-7-98352-481-9;2;Etching on paper;70;40x50 cm
12017;The Glovemaker, Worcester;Walter Richard Sickert British, 1860-1942;1884;Aiguafort|Entintat|ProvaDEstat|NumeracioIAsignatura;https://www.artic.edu/iiif/2/a33c0e0a-2f37-46c3-47eb-27e52ed6920a/full/843,/0/default.jpg;Castellà;500;Institut Gràfic;978-4-56994-153-9;1;Etching in brown/black ink on buff wove paper;53;50x70 cm
6072;Two Beggars Fighting;Jacques Bellange French, c. 1575-1616;1612;TiratgeLimitat|PuntaSeca|Registra|MatriuOriginal|ProvaDEstat|EstampacioManual;https://www.artic.edu/iiif/2/4455aef8-b29f-8bac-231a-bddd4edc8c9a/full/843,/0/default.jpg;Anglès;250;Editorial d'Art;978-4-64612-578-1;1;Etching and engraving, with drypoint, in black on off white laid paper;63;20x30 cm
8056;The Stream in the Gorge;Rodolphe Bresdin French, 1825-1885;1871;Aiguafort|EstampacioManual;https://www.artic.edu/iiif/2/398ba733-b9ae-3879-73bf-e9867a210f13/full/843,/0/default.jpg;Francès;1000;Editorial d'Art;978-6-29976-352-4;1;Etching on ivory China paper laid down on white wove paper;71;50x70 cm
48974;The Rest on the Flight into Egypt: Lightly Etched;Rembrandt van Rijn Dutch, 1606-1669;1645;TiratgeLimitat|ProvaDEstat|NumeracioIAsignatura|Incisió|Registra|MatriuOriginal;https://www.artic.edu/iiif/2/c5791522-afec-d897-12b2-3e0155246e41/full/843,/0/default.jpg;Anglès;500;Museu Nacional;978-3-11678-969-8;2;Etching with drypoint on buff paper;84;30x40 cm
210587;Untitled (Etching Press);Miyoko Ito American, 1918-1983;1949;Entintat|PuntaSeca|GravatEnRelleu|Incisió;https://www.artic.edu/iiif/2/89f4e612-79bd-8b66-e02e-c0b4e39b4441/full/843,/0/default.jpg;Anglès;1000;Editorial d'Art;978-6-66244-609-2;1;Lithograph in black ink on cream wove paper;79;30x40 cm
8678;Landscape with Trees, Pond and Sheep;Willem Buytewech Dutch, 1591/92-1624;1621;Aiguafort|MatriuOriginal;https://www.artic.edu/iiif/2/6372ee97-8826-088a-a02e-1586f8de6dd3/full/843,/0/default.jpg;Castellà;250;Galeria d'Art;978-5-88068-891-6;2;Etching printed in black on paper;35;40x50 cm
7733;Peasants Going to Work;Jean François Millet (French, 1814-1875) printed by Auguste Delâtre (French, 1822-1907);1863;TiratgeLimitat|EstampacioManual|Entintat|GravatEnRelleu;https://www.artic.edu/iiif/2/e107534f-f556-38fc-4344-4484c582d2d3/full/843,/0/default.jpg;Francès;1000;Museu Nacional;978-6-37429-133-9;1;Etching and drypoint on warm grayish wove paper;45;20x30 cm
21276;André de Nerciat;Felix Bracquemond French, 1833–1914;1867;Incisió|PuntaSeca|Aiguafort|TiratgeLimitat|MatriuOriginal;https://www.artic.edu/iiif/2/d87936f9-053f-8836-7928-ef20e1e9e4ac/full/843,/0/default.jpg;Anglès;500;Museu Nacional;978-5-79342-667-7;1;Etching on ivory laid paper;11;40x50 cm
7761;Coney Island Beach;Reginald Marsh American, 1898-1954;1934;Aiguafort;https://www.artic.edu/iiif/2/7d629c41-7782-a4af-9ea4-ded4521e9249/full/843,/0/default.jpg;Català;500;Institut Gràfic;978-4-12263-914-6;1;Etching on ivory wove paper;81;50x70 cm
109381;Height!;Paul Klee German, born Switzerland 1879-1940;1928;;https://www.artic.edu/iiif/2/fc731b7c-d027-0c88-2c15-b4a2050a0a8c/full/843,/0/default.jpg;Castellà;750;Editorial d'Art;978-2-31055-673-6;1;Etching on cream wove paper;38;50x70 cm
5193;Battlefield;Käthe Kollwitz German, 1867-1945;1907;GravatEnRelleu|Registra|PuntaSeca|MatriuOriginal;https://www.artic.edu/iiif/2/86c90400-0a51-363a-7058-95261a4c9933/full/843,/0/default.jpg;Català;1000;Editorial d'Art;978-1-83224-892-6;2;Etching and soft ground on paper;65;30x40 cm
