Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Resolucio;FrameRate;DuradaSegons;Tema
PRESSTV_20221228_103200_Documentary__Beloved_of_al_Quds_1;Documentary : Beloved of al Quds 1 : PRESSTV : December 28, 2022 2:02pm-2:29pm IRST;;2022;FilmacióDeCamp|NarracioDocumental|PostproduccioAudio|ArxiuHistoric|GuióDeNoFicció;;720p;24;2700;This film takes a look at the role of General Soleimani in fighting Daesh terrorists. Some figures f...
PRESSTV_20221229_053200_Documentary__Virtual_Flags_1;Documentary : Virtual Flags 1 : PRESSTV : December 29, 2022 9:02am-9:29am IRST;;2022;ArxiuHistoric;;720p;25;3600;After the martyrdom of General Soleimani, Instagram once more showed its true colors by removing pos...
PRESSTV_20230204_053200_Documentary__Revolution_of_79_1;Documentary : Revolution of '79 1 : PRESSTV : February 4, 2023 9:02am-9:31am IRST;;2023;CinematografiaRealista|GuióDeNoFicció|RecercaPeriodistica|CronicaVisual;;4K;25;3600;The documentary looks at the socio-political events which led to the 1979 Islamic revolution of Iran
bliptv-20131012-002203-Afoolsidea-AFoolsIdeaPresentsCHASECULP862;A Fool's Idea Presents - CHASE CULP;;0;;;1080p;60;7200;When we traveled to the South By South West Interactive, Music, Film & Comedy festival in March of 2...
when-she-gets-old;When She Gets Old;;1993;NarracioDocumental|CinematografiaRealista|CronicaVisual|ArxiuHistoric|FilmacióDeCamp|RigorInformatiu;;720p;25;3600;In this sensitively produced video, several woman share their stories of financial hardship caused b...
PRESSTV_20230226_053200_Documentary__Paradise_of_Imagination_3;Documentary : Paradise of Imagination 3 : PRESSTV : February 26, 2023 9:02am-9:30am IRST;;2023;CinematografiaRealista|FilmacióDeCamp;;720p;24;9000;Embarking on a journey across Iran, the film tries to give a vivid picture of the most famous Irania...
PRESSTV_20230728_153200_Documentary__Tazieh_The_Iranian_Opera_2;Documentary : Ta'zieh: The Iranian Opera 2 : PRESSTV : July 28, 2023 7:02pm-7:31pm IRST;;2023;ArxiuHistoric|MuntatgeNarratiu|DivulgacioCultural|CinematografiaRealista|FilmacióDeCamp;;720p;25;5400;The history of Ta'zieh, a kind of passion play, and its evolutionary trend in the Iranian context ar...
PRESSTV_20221111_053200_Documentary__US_Role_in_Afghanistan_Reconstructing_the_Ruins_2;Documentary : US Role in Afghanistan, Reconstructing the Ruins 2 : PRESSTV : November 11, 2022 9:02am-9:31am IRST;;2022;NarracioDocumental|TestimoniDirecte|RigorInformatiu;;480p;60;5400;The U.S. invaded Afghanistan in 2001 under the pretext of reconstructing the country. But 20 years i...
PRESSTV_20230121_003200_Documentary__The_MEK_1;Documentary : The MEK 1 : PRESSTV : January 21, 2023 4:02am-4:31am IRST;;2023;TestimoniDirecte|ArxiuHistoric|RigorInformatiu|CinematografiaRealista|GuióDeNoFicció|FilmacióDeCamp;;720p;30;7200;This film undertakes a comprehensive review of the MEK, a group which was formed in 1965 with the ai...
youtube-AqAgeuEqk7Y;Brian Laundrie's #mother offered him a shovel and garbage bags in #burnafterreading letter;Stay Tuned;2023;CinematografiaRealista|FilmacióDeCamp|GuióDeNoFicció;https://www.youtube.com/watch?v=AqAgeuEqk7Y;720p;30;3600;#BrianLaundrie’s mother offered him a shovel and garbage bags if he needed to dispose of a body, acc...
youtube-NU6fuFrdCJY;Burning Down The House: What Caused Our Economic Crisis? V2;TheMouthPeace;2008;MuntatgeNarratiu|CinematografiaRealista|CronicaVisual|GuióDeNoFicció|DivulgacioCultural|RecercaPeriodistica;https://www.youtube.com/watch?v=NU6fuFrdCJY;1080p;60;5400;GO SEE THE NEW VERSION! http://www.youtube.com/watch?v=1RZVw3no2A4 This video is an insightful look ...
youtube-QewnOLMrSm0;Dutch Germanic pre-christian folk Symbols.;Vangelderden;2019;RigorInformatiu;https://www.youtube.com/watch?v=QewnOLMrSm0;1080p;30;2700;Part of a Dutch film from the 30's called: Eeuwig Leevende Tekens.
youtube-BiO5TU3KIsk;Deportation Proceedings - 3/6/13 - Nashville Docujournal;TheMovingPictureBoys;2013;DivulgacioCultural|RigorInformatiu|GuióDeNoFicció|CronicaVisual;https://www.youtube.com/watch?v=BiO5TU3KIsk;1080p;24;5400;Fani Gonzalez prepares for a follow-up appointment with the United States Immigration and Customs En...
youtube-bQ2XVdU2SZo;So Bernie Sanders DOES Call People On Their Birthday! [Rumble with Michael Moore podcast];Michael Moore;2020;CronicaVisual;https://www.youtube.com/watch?v=bQ2XVdU2SZo;720p;24;2700;On Michael Moore's birthday, he reflects on birthday under quarantine, shares some updates and recei...
youtube-HycEWVFfsMI;Ep. 97: A Conversation with Congresswoman Ilhan Omar | Rumble with Michael Moore podcast;Michael Moore;2020;DivulgacioCultural|PostproduccioAudio;https://www.youtube.com/watch?v=HycEWVFfsMI;1080p;25;5400;Congresswoman Ilhan Omar represents the district where Minneapolis police murdered George Floyd, and...
youtube-n1IBris2SDA;Thomistic Common Sense by Garrigou-Lagrange with Dr. Matthew Minerd;Reason & Theology;2021;GuióDeNoFicció;https://www.youtube.com/watch?v=n1IBris2SDA;4K;24;9000;Thomistic Common Sense by Garrigou-Lagrange with Dr. Matthew Minerd There is a 25% off of the book t...
