Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;TipusProjeccio;Escala;RegioGeografica;DimensionsFisiques
98715;Two Maps II;Jasper Johns (American, born 1930) printed by Ben Berns published by Universal Limited Art Editions (American, founded 1955);1966;EscalaVisual|XarxaGeodesica|ProjeccioCartografica|SistemesDInformacioGeografica|Batimetria|RelleuITopografia;https://www.artic.edu/iiif/2/ecce6494-000a-587c-7b06-fcd300e42fc8/full/843,/0/default.jpg;Francès;1500;National Geographic;978-3-21887-333-3;4;Estereogràfica;1:250000;United States;100x140 cm
204512;Metropolitan World Atlas;Joost Grootens Dutch, born 1971  Published by 010 Publishers Dutch, founded c. 1982  Written by Arjen van Susteren;2005;SistemesDInformacioGeografica|RelleuITopografia|ProjeccioCartografica|Batimetria|DadesVectorials|Georeferenciacio;https://www.artic.edu/iiif/2/5ab07d9c-6be9-672e-9237-4498c080e5d7/full/843,/0/default.jpg;Català;750;Institut Cartogràfic;978-4-49277-231-5;4;Azimutal;1:100000;;90x120 cm
156053;Mapping;Lynne Brown American, born 1951;1996;AnalisiEspacial|CartografiaHistorica|DigitalitzacioDelTerreny|XarxaGeodesica|LlegendaTematica;https://www.artic.edu/iiif/2/0fcd8dee-5432-0e9b-4e40-484c6590be0e/full/843,/0/default.jpg;Castellà;500;GeoPress;978-8-69670-437-7;1;Azimutal;1:250000;United States;90x120 cm
241948;Mexico 68 Olympics Transport Map Poster;Lance Wyman (American, born 1937) Eduardo Terrazas (Mexican, born 1936) Commissioned by the Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad;1968;XarxaGeodesica|Georeferenciacio|LlegendaTematica;https://www.artic.edu/iiif/2/b4caf910-6441-1ead-c943-9c44c94a4934/full/843,/0/default.jpg;Francès;2000;Editorial Maps;978-7-62009-613-4;2;Robinson;1:250000;United States;90x120 cm
18654;Panther Springing out of a Tree;Max Slevogt (German, 1868-1932) James Fenimore Cooper (American, 1789-1851);1910;;https://www.artic.edu/iiif/2/a1388958-d4c4-9993-23d8-ef96988631a4/full/843,/0/default.jpg;Català;750;National Geographic;978-8-80998-960-2;4;Robinson;1:250000;Germany;120x160 cm
196336;Plate 75 from The Plan of Chicago, 1909: Chicago. Diagram of the City, Showing Complete System of Inner Circuits;Daniel Hudson Burnham, American, 1846-1912 Edward Herbert Bennett, American, born England, 1874-1954;1909;CartografiaHistorica|DigitalitzacioDelTerreny|XarxaGeodesica|RelleuITopografia;https://www.artic.edu/iiif/2/a0479061-7814-1834-8a19-8ac6279f56a2/full/843,/0/default.jpg;Alemany;1000;National Geographic;978-6-17820-346-7;3;Robinson;1:100000;Chicago;70x100 cm
20268;Handkerchief;England;1856;LlegendaTematica;https://www.artic.edu/iiif/2/26fbc48c-9d1e-e1ea-a3e6-e3c95349ac17/full/843,/0/default.jpg;Alemany;1500;National Geographic;978-2-85327-398-3;2;Mercator;1:10000;England;90x120 cm
106549;Celestial Map of the Southern Sky (Imagines coeli meridionales);Albrecht Dürer German, 1471-1528;1515;CartografiaHistorica|ProjeccioCartografica|DadesVectorials|Batimetria;https://www.artic.edu/iiif/2/981a34ff-c78a-95b1-e4b0-aea7d42b0140/full/843,/0/default.jpg;Català;1500;Institut Cartogràfic;978-6-13589-304-3;4;Mercator;1:25000;Germany;90x120 cm
71978;Reclining Nude;Max Beckmann German, 1884–1950;1929;LlegendaTematica|Batimetria|Georeferenciacio|DadesVectorials|ProjeccioCartografica;https://www.artic.edu/iiif/2/28f20fcd-a5b3-04b3-2dc9-4c5c79ff7b6b/full/843,/0/default.jpg;Francès;1000;Institut Cartogràfic;978-5-61525-722-6;1;Estereogràfica;1:100000;Germany;70x100 cm
77982;By Paying Us Your Pennies;MacDonald Gill (English, 1884-1947) printed by Westminster Press;1914;CartografiaHistorica|AnalisiEspacial|DadesVectorials;https://www.artic.edu/iiif/2/ef368952-990a-acc9-bcda-6efd08967081/full/843,/0/default.jpg;Anglès;750;GeoPress;978-3-39449-724-3;3;Mercator;1:25000;England;100x140 cm
84241;Self-Portrait;Max Beckmann German, 1884–1950;1937;XarxaGeodesica|RelleuITopografia;https://www.artic.edu/iiif/2/44df6514-9aef-8327-98e2-82a852c22132/full/843,/0/default.jpg;Castellà;750;Institut Cartogràfic;978-8-96751-330-1;1;Robinson;1:25000;Germany;70x100 cm
106550;Celestial Map of the Northern Sky with the Twelve Zodiac Signs;Albrecht Dürer German, 1471-1528;1515;Georeferenciacio;https://www.artic.edu/iiif/2/8d78cb88-9377-3e24-c62c-9bcc16ac3920/full/843,/0/default.jpg;Francès;500;GeoPress;978-9-25547-525-4;1;Cilíndrica;1:500000;Germany;120x160 cm
185760;Forest and Sun;Max Ernst French, born Germany, 1891–1976;1927;Georeferenciacio|DadesVectorials|EscalaVisual;https://www.artic.edu/iiif/2/7a5e992d-7930-7148-8511-674df16a1773/full/843,/0/default.jpg;Català;1500;National Geographic;978-5-86327-633-3;2;Mercator;1:250000;;90x120 cm
196332;Plan of Chicago, Chicago, Illinois, Railroad Circuits Diagram;Daniel Hudson Burnham (American, 1846-1912) Edward Herbert Bennett (American, born England, 1874-1954);1909;CartografiaHistorica|EscalaVisual|RelleuITopografia;https://www.artic.edu/iiif/2/be9ed8a8-62d9-8fde-7ffb-29d9361d5cee/full/843,/0/default.jpg;Anglès;1500;Editorial Maps;978-1-59987-363-0;2;Robinson;1:500000;Chicago;120x160 cm
159823;United States, from the Mexican Series;Rosângela Rennó Brazilian, born 1962;1997;Georeferenciacio|XarxaGeodesica;https://www.artic.edu/iiif/2/2cf49d1b-3dad-8dd3-abc7-59317978462e/full/843,/0/default.jpg;Alemany;2000;National Geographic;978-6-62643-365-8;1;Robinson;1:100000;Brazil;90x120 cm
119117;Exquisite Corpse;Man Ray (Emmanuel Radnitzky) (American, 1890-1976) Joan Miró (Spanish, 1893-1983) Yves Tanguy (American, born France, 1900-1955)  Max Morise (French, 1900-1973);1928;LlegendaTematica|ProjeccioCartografica|RelleuITopografia;https://www.artic.edu/iiif/2/33274c49-5f6d-798b-6ab4-f8ef8a7667c6/full/843,/0/default.jpg;Català;1500;Institut Cartogràfic;978-9-96111-656-3;1;Cilíndrica;1:100000;France;60x80 cm
98708;Two Maps I-II;Jasper Johns (American, born 1930) published by Universal Limited Art Editions (American, founded 1955) printed by Ben Berns;1965;RelleuITopografia;https://www.artic.edu/iiif/2/a24fd98a-9213-e326-4e82-4a48cf708d57/full/843,/0/default.jpg;Castellà;1500;GeoPress;978-5-28179-587-1;3;Cilíndrica;1:250000;United States;70x100 cm
11078;Dark Encounter;Max Kahn American, born Russia, 1902-2005;0;RelleuITopografia;https://www.artic.edu/iiif/2/37a6a0ff-541e-88d0-43a9-066483a7df6f/full/843,/0/default.jpg;Anglès;1500;Institut Cartogràfic;978-7-78104-718-2;3;Azimutal;1:25000;United States;60x80 cm
145243;Spanish Physician;Max Ernst French, born Germany, 1891–1976;1940;LlegendaTematica|XarxaGeodesica;https://www.artic.edu/iiif/2/6e955343-deb7-ad17-e7be-4db9a06a2e83/full/843,/0/default.jpg;Castellà;500;Editorial Maps;978-2-39923-357-7;2;Azimutal;1:500000;United States;60x80 cm
185759;Halleluiah;Max Ernst French, born Germany, 1891–1976;1948;ProjeccioCartografica|Batimetria|AnalisiEspacial|DigitalitzacioDelTerreny|LlegendaTematica|RelleuITopografia;https://www.artic.edu/iiif/2/6ee6a8f6-cc94-f9ff-5bfa-784a461fc5df/full/843,/0/default.jpg;Anglès;750;Institut Cartogràfic;978-1-74368-412-1;1;Conic;1:10000;;60x80 cm
118691;Garden Airplane-Trap;Max Ernst French, born Germany, 1891–1976;1935;DigitalitzacioDelTerreny|LlegendaTematica|AnalisiEspacial|RelleuITopografia|ProjeccioCartografica|SistemesDInformacioGeografica;https://www.artic.edu/iiif/2/583859c3-cf78-288f-dd2d-78a364b07d49/full/843,/0/default.jpg;Català;1500;Institut Cartogràfic;978-1-41856-195-3;3;Mercator;1:50000;United States;70x100 cm
10210;Self-Portrait in Bowler Hat;Max Beckmann (German, 1884-1950) published by I. B. Neumann (German);1921;SistemesDInformacioGeografica|DigitalitzacioDelTerreny|Batimetria|CartografiaHistorica;https://www.artic.edu/iiif/2/3ddb1532-54ff-af5f-0c13-e2c62914df51/full/843,/0/default.jpg;Castellà;1500;National Geographic;978-7-48258-761-5;1;Robinson;1:250000;Germany;120x160 cm
196346;Plate 80 from The Plan of Chicago, 1909: Chicago. Diagram of City Center, Showing the Proposed Arrangement of Railroad Passenger Stations, the Complete Traction System, Including Rapid Transit, Subway, and Elevated Roads, and the Circuit Subway Line.;Daniel Hudson Burnham, American, 1846-1912 Edward Herbert Bennett, American, born England, 1874-1954;1909;LlegendaTematica|Batimetria|EscalaVisual|RelleuITopografia|DigitalitzacioDelTerreny;https://www.artic.edu/iiif/2/44fb60db-abc6-50fb-4b56-f865ddb9665c/full/843,/0/default.jpg;Castellà;1500;Institut Cartogràfic;978-4-47404-753-4;4;Conic;1:100000;Chicago;100x140 cm
196335;Plate 74 from The Plan of Chicago,1909: Chicago. Diagram of the City Center, Showing the General Location of Existing Freight Yards and Railroad Lines, the Present Tunnel System and Proposed Circuit, and Connections for all these Services, Running to the Central Clearing Yards.;Daniel Hudson Burnham, American, 1846-1912 Edward Herbert Bennett, American, born England, 1874-1954;1909;;https://www.artic.edu/iiif/2/e45b05ed-2d62-3917-f46b-ce8013bbbe9f/full/843,/0/default.jpg;Alemany;1500;Institut Cartogràfic;978-6-90632-118-2;1;Mercator;1:100000;Chicago;60x80 cm
135487;Tattooed Map and Tourniquet;Robert Fried American, born 1937;1973;AnalisiEspacial|EscalaVisual|DadesVectorials;https://www.artic.edu/iiif/2/65fbdea4-57e6-dfad-9b23-bf3974e88296/full/843,/0/default.jpg;Anglès;500;GeoPress;978-5-14276-802-9;2;Robinson;1:10000;United States;120x160 cm
136121;Dada Gauguin;Max Ernst French, born Germany, 1891–1976;1920;Batimetria|AnalisiEspacial|XarxaGeodesica|EscalaVisual|DadesVectorials;https://www.artic.edu/iiif/2/3f2e7bce-a8f2-562a-5f8f-90932bdc6af8/full/843,/0/default.jpg;Anglès;1000;GeoPress;978-1-35869-391-1;3;Mercator;1:500000;United States;70x100 cm
101518;Summer Night in Arizona;Max Ernst French, born Germany, 1891–1976;1944;AnalisiEspacial|DadesVectorials;https://www.artic.edu/iiif/2/097b24de-79b9-a5a1-57f3-9e7545dc4319/full/843,/0/default.jpg;Català;2000;National Geographic;978-6-61138-944-0;4;Cilíndrica;1:250000;United States;120x160 cm
152509;Map of the World;Unknown Artist (English, 19th century) after John Paul Cimerlin (Italian, active c. 1566);1889;XarxaGeodesica|Batimetria;https://www.artic.edu/iiif/2/ae325ad1-8efd-7228-ff83-2b151e98a6fc/full/843,/0/default.jpg;Català;1000;Institut Cartogràfic;978-5-79283-911-7;1;Mercator;1:500000;England;90x120 cm
118693;An Anxious Friend;Max Ernst French, born Germany, 1891–1976;1944;CartografiaHistorica|LlegendaTematica|SistemesDInformacioGeografica|XarxaGeodesica|DigitalitzacioDelTerreny|Georeferenciacio;https://www.artic.edu/iiif/2/f6e7b442-8524-76e9-5155-4ea4c9c021e9/full/843,/0/default.jpg;Castellà;1000;Editorial Maps;978-8-65772-636-7;3;Mercator;1:250000;United States;120x160 cm
71982;The Blue Forest;Max Ernst French, born Germany, 1891–1976;1925;Georeferenciacio|ProjeccioCartografica|DigitalitzacioDelTerreny|SistemesDInformacioGeografica|RelleuITopografia|CartografiaHistorica;https://www.artic.edu/iiif/2/26c5ab1b-b494-37d6-c0e3-7bb8ecc78b96/full/843,/0/default.jpg;Castellà;500;GeoPress;978-1-19359-706-3;2;Estereogràfica;1:50000;United States;100x140 cm
184763;You've Only Got To Choose Your Bus;MacDonald Gill (English, 1884-1947) printed by Waterlow and Sons Limited Lithographers;1920;Georeferenciacio|XarxaGeodesica|EscalaVisual|LlegendaTematica;https://www.artic.edu/iiif/2/65f94ed7-579f-e4a7-85e4-366874d421fc/full/843,/0/default.jpg;Castellà;1500;GeoPress;978-5-43854-992-8;2;Estereogràfica;1:500000;England;70x100 cm
118684;The Massacre of the Innocents;Max Ernst American and French, born Germany, 1891-1976;1920;LlegendaTematica;https://www.artic.edu/iiif/2/ab8843d9-9855-c4fa-f041-e857fd7c0317/full/843,/0/default.jpg;Francès;1500;GeoPress;978-4-48147-449-1;2;Estereogràfica;1:50000;United States;100x140 cm
3047;Toilette (Before the Mirror);Max Beckmann (German, 1884-1950) published by Paul Cassirer (German);1923;EscalaVisual|CartografiaHistorica|LlegendaTematica;https://www.artic.edu/iiif/2/75214857-0e9a-b2c8-b4ab-810f5dea4e9a/full/843,/0/default.jpg;Alemany;1500;National Geographic;978-2-70608-449-9;1;Cilíndrica;1:250000;Germany;90x120 cm
118694;Landscape;Max Ernst French, born Germany, 1891–1976;1957;EscalaVisual|DigitalitzacioDelTerreny|ProjeccioCartografica;https://www.artic.edu/iiif/2/dbb43155-d06d-be4f-e583-647becae064e/full/843,/0/default.jpg;Alemany;2000;National Geographic;978-2-77730-856-8;4;Conic;1:50000;United States;70x100 cm
18608;Portrait of a Woman (possibly Gräfin Aga vom Hagen);Max Beckmann German, 1884-1950;1915;;https://www.artic.edu/iiif/2/49bef557-1169-3e8e-0558-e07a3bb9a1a0/full/843,/0/default.jpg;Castellà;1000;National Geographic;978-8-18811-993-3;2;Cilíndrica;1:100000;Germany;60x80 cm
18633;Self-Portrait, Seated in Chair, Sketching;Max Slevogt German, 1868-1932;1911;;https://www.artic.edu/iiif/2/99b0fc45-c1f7-e763-7aa8-5620a45cd420/full/843,/0/default.jpg;Francès;1500;GeoPress;978-3-27174-291-7;3;Mercator;1:10000;Germany;90x120 cm
18641;Indians Attacking at Harry Harry;Max Slevogt (German, 1868-1932) James Fenimore Cooper (American, 1789-1851);1910;LlegendaTematica;https://www.artic.edu/iiif/2/36c57e2f-e71c-d967-e870-496a2249cea5/full/843,/0/default.jpg;Francès;1500;Institut Cartogràfic;978-2-69094-252-4;2;Conic;1:10000;Germany;60x80 cm
111249;Map of Nagasaki (Hizen Nagasaki zu);Published by Bunkido Japanese;1802;;https://www.artic.edu/iiif/2/5330ed49-ecfe-7556-6ba4-3eacd12b67c3/full/843,/0/default.jpg;Alemany;1000;GeoPress;978-3-40307-517-8;4;Estereogràfica;1:50000;Japan;60x80 cm
90445;Human Figure with Two Birds;Max Ernst French, born Germany, 1891–1976;1925;DadesVectorials|XarxaGeodesica|AnalisiEspacial;https://www.artic.edu/iiif/2/5e8c0b90-e611-a3a3-4eaa-8501b9821d93/full/843,/0/default.jpg;Alemany;750;GeoPress;978-1-36346-392-6;1;Azimutal;1:500000;United States;100x140 cm
261566;How to Build Without a Land, Untitled;Saba Innab Palestinian Jordanian, born Kuwait, 1980;2013;Batimetria|EscalaVisual;https://www.artic.edu/iiif/2/8af83655-7f56-760a-69cc-650cb72be9a4/full/843,/0/default.jpg;Anglès;1000;Editorial Maps;978-9-30889-627-9;2;Conic;1:250000;Palestine;60x80 cm
261567;How to Build Without a Land, Untitled;Saba Innab Palestinian Jordanian, born Kuwait, 1980;2013;XarxaGeodesica|DigitalitzacioDelTerreny|RelleuITopografia|SistemesDInformacioGeografica|Batimetria|DadesVectorials;https://www.artic.edu/iiif/2/67cae538-4c6e-50c2-c09e-61c9fef31b09/full/843,/0/default.jpg;Català;2000;Institut Cartogràfic;978-4-42847-847-1;2;Mercator;1:100000;Palestine;70x100 cm
261568;How to Build Without a Land, Untitled;Saba Innab Palestinian Jordanian, born Kuwait, 1980;2013;EscalaVisual|LlegendaTematica|SistemesDInformacioGeografica;https://www.artic.edu/iiif/2/8a6bed40-64c5-0940-102f-21fc5a5b8331/full/843,/0/default.jpg;Francès;750;GeoPress;978-7-54805-169-2;2;Conic;1:25000;Palestine;100x140 cm
261569;How to Build Without a Land, Untitled;Saba Innab Palestinian Jordanian, born Kuwait, 1980;2013;DadesVectorials|Batimetria|SistemesDInformacioGeografica|CartografiaHistorica|AnalisiEspacial|ProjeccioCartografica;https://www.artic.edu/iiif/2/8d144a3e-1fc7-d8e2-da2b-6303f299ce4b/full/843,/0/default.jpg;Castellà;1500;Editorial Maps;978-1-66764-390-4;2;Mercator;1:500000;Palestine;60x80 cm
261570;How to Build Without a Land, Untitled;Saba Innab Palestinian Jordanian, born Kuwait, 1980;2013;SistemesDInformacioGeografica|EscalaVisual|ProjeccioCartografica;https://www.artic.edu/iiif/2/d990c32c-019c-2a92-f571-75b991902e30/full/843,/0/default.jpg;Alemany;500;National Geographic;978-5-78722-610-6;2;Conic;1:100000;Palestine;90x120 cm
27618;Construction With and Within a Cube;Max Bill Swiss, 1908-1994;1945;;https://www.artic.edu/iiif/2/df8ce187-12e7-4f3d-890a-fdb710992346/full/843,/0/default.jpg;Anglès;750;GeoPress;978-9-80683-496-3;2;Estereogràfica;1:50000;Switzerland;70x100 cm
205573;The Red House;Max Pechstein German, 1881–1955;1911;XarxaGeodesica;https://www.artic.edu/iiif/2/3f34cd5d-6eed-85e9-9665-c9e7ce367952/full/843,/0/default.jpg;Francès;750;National Geographic;978-2-47085-503-8;3;Azimutal;1:25000;Germany;60x80 cm
31874;Maps: Projections;Unknown Artist English, 19th century;1540;EscalaVisual|SistemesDInformacioGeografica|DadesVectorials;https://www.artic.edu/iiif/2/bae29760-c89d-e100-10b3-6592829139b7/full/843,/0/default.jpg;Català;750;GeoPress;978-1-93918-738-8;3;Mercator;1:500000;England;60x80 cm
196348;Plate 91 from The Plan of Chicago, Chicago, Proposed Diagonal Arteries;Daniel Hudson Burnham (American, 1846–1912) Edward Herbert Bennett (American, born England, 1874–1954);1909;EscalaVisual|AnalisiEspacial|XarxaGeodesica|DigitalitzacioDelTerreny|Georeferenciacio|SistemesDInformacioGeografica;https://www.artic.edu/iiif/2/b402b84a-ba81-5d06-7824-906ce802e7f3/full/843,/0/default.jpg;Anglès;1000;Editorial Maps;978-2-71320-295-7;4;Conic;1:10000;Chicago;70x100 cm
117194;Mattamathics;Max Ernst French, born Germany, 1891–1976;1948;SistemesDInformacioGeografica|LlegendaTematica|AnalisiEspacial|Georeferenciacio|CartografiaHistorica;https://www.artic.edu/iiif/2/12d51cb8-7299-9a5c-12d0-437be56e6669/full/843,/0/default.jpg;Català;1000;National Geographic;978-4-50208-852-3;1;Robinson;1:50000;United States;70x100 cm
39492;Still Life;Hugo Charlemont (Austrian, 1850–1939);1883;ProjeccioCartografica|CartografiaHistorica;https://www.artic.edu/iiif/2/862608e5-8953-b1a3-53fd-ec009662516f/full/843,/0/default.jpg;Francès;1500;National Geographic;978-8-22618-715-3;3;Estereogràfica;1:25000;Austria;90x120 cm
119424;Abandoned, plate five from A Life;Max Klinger German, 1857-1920;1884;Batimetria|DadesVectorials|Georeferenciacio|AnalisiEspacial|CartografiaHistorica;https://www.artic.edu/iiif/2/d1f33982-4b02-2382-fa2a-6e686cbed565/full/843,/0/default.jpg;Alemany;2000;GeoPress;978-8-77325-943-2;3;Estereogràfica;1:50000;Germany;70x100 cm
211878;Gallery Transplant, Floor Specifications Gallery #3, Stedelijk Museum, Amsterdam, Transplanted to Jersey City, New Jersey. Surface: Snow, Dirt, Gravel. Duration: 4 Weeks;Dennis Oppenheim American, 1938–2011;1969;Georeferenciacio;https://www.artic.edu/iiif/2/d4e1401b-f2cd-3a47-d5e6-c975757ff093/full/843,/0/default.jpg;Castellà;1500;National Geographic;978-5-24472-366-4;2;Mercator;1:100000;United States;100x140 cm
62176;Carnival in Naples;Max Beckmann German, 1884-1950;1925;;https://www.artic.edu/iiif/2/80b35765-78f5-7e2d-f9b2-c01bf954ace9/full/843,/0/default.jpg;Anglès;1500;National Geographic;978-2-26840-767-2;2;Estereogràfica;1:10000;Germany;60x80 cm
23069;Grotesque Dance;Max Slevogt German, 1868-1932;1906;LlegendaTematica|XarxaGeodesica|RelleuITopografia;https://www.artic.edu/iiif/2/0a2b95eb-7aab-be32-7f5f-2f1cb88e1abb/full/843,/0/default.jpg;Català;500;GeoPress;978-7-10661-567-7;1;Robinson;1:100000;Germany;60x80 cm
153968;The Isle of the Dead;Max Klinger (German, 1857-1920) after Arnold  Böcklin (Swiss, 1827-1901);1890;XarxaGeodesica|Batimetria|CartografiaHistorica;https://www.artic.edu/iiif/2/fdc8092e-eceb-7a07-0c66-e829ac2fd8e8/full/843,/0/default.jpg;Castellà;1500;National Geographic;978-5-66513-862-3;3;Mercator;1:25000;Germany;60x80 cm
