Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Idioma;NombreParaules;Editorial;ISBN_ISSN;Pagines;GenereLiterari;TapaDura
26502;Tres Anglesos S'esbargeixen;Jerome, Jerome K. (Jerome Klapka);1859;;https://www.gutenberg.org/ebooks/26502.html.images;ca;200000;Penguin Random House;978-6-37416-173-7;227;Black Forest (Germany) -- Fiction;False
15347;Pinya de Rosa. Volume 2, Book 4;Ruyra, Joaquín;1858;TiratgeOriginal|ArquitecturaDelRelat;https://www.gutenberg.org/ebooks/15347.html.images;ca;200000;HarperCollins;978-2-21375-772-9;343;Fiction;False
18198;Els camins del paradís perdut;Riber, Llorenç;1881;DissenyEditorial|EnquadernacioArtesana|ProlegIIndex|IllustracioDePortada|NarrativaLiteral;https://www.gutenberg.org/ebooks/18198.html.images;ca;50000;Editorial Planeta;978-7-37366-701-7;171;Fiction;True
75328;Els vells : $b Drama en tres actes;Iglesias, Ignasi;1871;GenereLiterari|TiratgeOriginal|ArquitecturaDelRelat|IllustracioDePortada|DissenyEditorial|NarrativaLiteral;https://www.gutenberg.org/ebooks/75328.html.images;ca;75000;HarperCollins;978-3-85171-714-6;479;Catalan drama;True
18737;Argelaga florida;Roig i Raventós, Josep;1883;IllustracioDePortada|GenereLiterari;https://www.gutenberg.org/ebooks/18737.html.images;ca;100000;Penguin Random House;978-9-90550-434-4;387;Fiction;False
75136;La orfaneta de Menargues, o, Catalunya agonisant : $b Novela histórica;Bofarull, Antoni de;1821;DissenyEditorial|ProlegIIndex|GenereLiterari|NarrativaLiteral;https://www.gutenberg.org/ebooks/75136.html.images;ca;75000;Editorial Planeta;978-3-67395-406-1;161;Historical fiction;True
77135;Narracions estranyes : $b ¡Oydà! - L'ull acusador - L'embaixada de la mort;Careta y Vidal, Antoni;1843;;https://www.gutenberg.org/ebooks/77135.html.images;ca;150000;Penguin Random House;978-6-78344-880-8;317;Catalan fiction -- 20th century;True
17046;Les alegres comares de Windsor;Shakespeare, William;1564;SinopsiNarrativa|CorreccioEstilistica|DissenyEditorial|ProlegIIndex|NarrativaLiteral|GenereLiterari;https://www.gutenberg.org/ebooks/17046.html.images;ca;150000;Simon & Schuster;978-5-20708-647-7;364;Comedy plays;False
20658;En Pere i altres contes;Planas i Font, Claudi;1869;DissenyEditorial|NarrativaLiteral|ArquitecturaDelRelat|TiratgeOriginal|CorreccioEstilistica|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/20658.html.images;ca;200000;Editorial Planeta;978-9-90749-273-6;284;Catalan fiction -- 20th century;True
34249;Los Cent Conçeyls del Conçeyl de Cent;Gener, Pompeyo;1848;NarrativaLiteral;https://www.gutenberg.org/ebooks/34249.html.images;ca;150000;Penguin Random House;978-4-82975-724-4;236;Proverbs, Catalan;True
74649;El meu amic Pellini i altres contes;Bertrana, Prudenci;1867;TiratgeOriginal;https://www.gutenberg.org/ebooks/74649.html.images;ca;50000;Editorial Planeta;978-3-50900-793-4;461;Catalan fiction -- 20th century;False
29944;Tres Homes Dins D'una Barca (Sense comptar-hi el gos);Jerome, Jerome K. (Jerome Klapka);1859;SinopsiNarrativa;https://www.gutenberg.org/ebooks/29944.html.images;ca;200000;Anagrama;978-3-34554-799-4;389;Boats and boating -- England -- Thames River -- Fiction;False
76831;Cap al tard : $b Poesies;Alcover, Joan;1854;CorreccioEstilistica;https://www.gutenberg.org/ebooks/76831.html.images;ca;75000;HarperCollins;978-2-56982-686-3;358;Catalan poetry;False
75945;Vilaniu : $b Novela de costums del nostre temps;Oller, Narcís;1846;SinopsiNarrativa|CulturaEscrita;https://www.gutenberg.org/ebooks/75945.html.images;ca;75000;Penguin Random House;978-8-58389-629-6;244;Catalan fiction;False
76026;Lo rondallayre, Tercera série : $b Quentos populars catalans;Maspons i Labrós, Francesc;1840;ArquitecturaDelRelat|TiratgeOriginal|NarrativaLiteral|DissenyEditorial;https://www.gutenberg.org/ebooks/76026.html.images;ca;75000;Editorial Planeta;978-1-75732-956-4;449;Folklore -- Spain -- Catalonia;False
15346;Pinya de Rosa. Volume 1, Books 1-3;Ruyra, Joaquín;1858;EdicioLimitada|SinopsiNarrativa|EnquadernacioArtesana|CulturaEscrita|DissenyEditorial|TiratgeOriginal;https://www.gutenberg.org/ebooks/15346.html.images;ca;75000;Simon & Schuster;978-5-18939-424-8;474;Fiction;True
19664;Els Deu Mil: And Vida D'artaxerxes, Per Plutarc;Plutarch;46;ProlegIIndex|EnquadernacioArtesana|SinopsiNarrativa|TiratgeOriginal;https://www.gutenberg.org/ebooks/19664.html.images;ca;150000;Penguin Random House;978-6-99032-379-5;363;Artaxerxes I, King of Persia, -425 B.C. or 424 B.C.;True
75701;Els sots feréstechs;Casellas, Raimón;1855;SinopsiNarrativa|ProlegIIndex|GenereLiterari|TiratgeOriginal|CulturaEscrita;https://www.gutenberg.org/ebooks/75701.html.images;ca;75000;HarperCollins;978-6-93923-200-2;460;Catalan fiction;False
73278;Lo catalanisme : $b Motius que'l llegitiman. Fonaments cientifichs y solucions practicas;Almirall, Valentí;1841;;https://www.gutenberg.org/ebooks/73278.html.images;ca;200000;Penguin Random House;978-1-64423-883-6;230;Catalonia (Spain) -- History -- Autonomy and independence movements;False
27536;El Marxant de Venecia;Shakespeare, William;1564;ArquitecturaDelRelat;https://www.gutenberg.org/ebooks/27536.html.images;ca;75000;HarperCollins;978-3-17860-449-5;443;Comedy plays;True
32691;El Tresor del Vell Cavaller;Erckmann-Chatrian;0;DissenyEditorial|CulturaEscrita;https://www.gutenberg.org/ebooks/32691.html.images;ca;50000;Simon & Schuster;978-4-67165-486-4;235;Treasure troves -- Fiction;True
73161;La Montserrat : $b Novela de costums del nostre temps;Monserdá de Maciá, Dolores;1845;DissenyEditorial|GenereLiterari|IllustracioDePortada|EnquadernacioArtesana|CulturaEscrita|EdicioLimitada;https://www.gutenberg.org/ebooks/73161.html.images;ca;200000;Simon & Schuster;978-7-25634-649-7;361;Catalan fiction;True
74795;Gala Placidia : $b Tragedia en tres actes;Guimerá, Angel;1845;TiratgeOriginal|SinopsiNarrativa|EdicioLimitada;https://www.gutenberg.org/ebooks/74795.html.images;ca;200000;Penguin Random House;978-8-46605-373-8;174;Catalan drama;True
73961;Costums típicas de la ciutat de Valls;Aladern, Josep;1869;EdicioLimitada|IllustracioDePortada|CulturaEscrita|NarrativaLiteral|SinopsiNarrativa;https://www.gutenberg.org/ebooks/73961.html.images;ca;50000;Simon & Schuster;978-7-84701-437-0;227;Valls (Spain);False
36231;L'Abrandament;Soldevila, Carles;1891;IllustracioDePortada|GenereLiterari|SinopsiNarrativa|TiratgeOriginal|NarrativaLiteral;https://www.gutenberg.org/ebooks/36231.html.images;ca;200000;Simon & Schuster;978-2-51790-221-8;166;Fiction;True
17819;L'amic Fritz;Erckmann-Chatrian;0;TiratgeOriginal|ArquitecturaDelRelat|SinopsiNarrativa|EnquadernacioArtesana|ProlegIIndex;https://www.gutenberg.org/ebooks/17819.html.images;ca;200000;Simon & Schuster;978-7-13995-925-4;278;France -- History -- 19th century -- Fiction;False
74410;Horacianes : $b Poesies;Costa i Llobera, Miquel;1854;SinopsiNarrativa|NarrativaLiteral;https://www.gutenberg.org/ebooks/74410.html.images;ca;150000;Anagrama;978-2-98615-306-7;370;Catalan poetry;True
11306;Catalanisches Streitgedicht zwischen En Buc und seinem Pferd;;0;NarrativaLiteral;https://www.gutenberg.org/ebooks/11306.html.images;ca;100000;Anagrama;978-7-76146-147-0;452;Catalan language -- Texts;False
25443;Arran del Cingle;Morató, Joseph;1875;ArquitecturaDelRelat|CorreccioEstilistica|TiratgeOriginal|EdicioLimitada|NarrativaLiteral;https://www.gutenberg.org/ebooks/25443.html.images;ca;75000;Penguin Random House;978-6-48611-970-4;400;Catalan fiction;False
72925;L'hostal de la Bolla : $b Costums i llenguatge vulgar de Mallorca;Oliver, Miquel dels Sants;1864;CulturaEscrita|IllustracioDePortada|TiratgeOriginal|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/72925.html.images;ca;50000;HarperCollins;978-5-80658-307-4;225;Catalan fiction;True
22296;Un tros de paper: Two Volumes;;0;CulturaEscrita|TiratgeOriginal|IllustracioDePortada|ArquitecturaDelRelat|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/22296.html.images;ca;50000;HarperCollins;978-5-31466-490-2;271;Catalan language -- Texts;False
17583;Els Herois;Bertrana, Prudenci;1867;SinopsiNarrativa|ArquitecturaDelRelat|CulturaEscrita;https://www.gutenberg.org/ebooks/17583.html.images;ca;50000;HarperCollins;978-4-69019-583-0;493;Fiction;False
22045;La festa dels reis: Lo que vulgueu;Shakespeare, William;1564;DissenyEditorial|ProlegIIndex|NarrativaLiteral|IllustracioDePortada;https://www.gutenberg.org/ebooks/22045.html.images;ca;100000;Anagrama;978-8-49945-321-9;357;Comedy plays;True
74159;Els aucells més útils a la agricultura de Catalunya;Tarré, Emili;1858;ArquitecturaDelRelat;https://www.gutenberg.org/ebooks/74159.html.images;ca;50000;Editorial Planeta;978-5-27096-137-3;456;Birds;False
77439;Gent d'ara : $b Comedia en dos actes;Coca i Vallmajor, Eduard;1872;CulturaEscrita|TiratgeOriginal|CorreccioEstilistica|EdicioLimitada|DissenyEditorial;https://www.gutenberg.org/ebooks/77439.html.images;ca;100000;Editorial Planeta;978-2-98273-166-1;256;Catalan drama;False
73777;Andrónica : $b Tragedia en tres actes y en vers;Guimerá, Angel;1845;ArquitecturaDelRelat|EnquadernacioArtesana|CorreccioEstilistica|GenereLiterari;https://www.gutenberg.org/ebooks/73777.html.images;ca;75000;Anagrama;978-7-86415-216-6;257;Catalan drama;True
17410;Ànimes atuïdes;Roig i Raventós, Josep;1883;CorreccioEstilistica;https://www.gutenberg.org/ebooks/17410.html.images;ca;50000;HarperCollins;978-2-97533-595-0;478;Fiction;False
76894;Llibre d'horas;Mestres, Apeles;1854;;https://www.gutenberg.org/ebooks/76894.html.images;ca;200000;Simon & Schuster;978-1-79995-965-0;163;Catalan poetry;True
73060;La bona gent : $b Obra en quatre actes;Rusiñol, Santiago;1861;;https://www.gutenberg.org/ebooks/73060.html.images;ca;200000;Anagrama;978-5-93550-553-7;394;Catalan drama;True
73676;La montanya d'amethystes;Liost, Guerau de;1878;EdicioLimitada|CulturaEscrita|SinopsiNarrativa|TiratgeOriginal|ArquitecturaDelRelat|DissenyEditorial;https://www.gutenberg.org/ebooks/73676.html.images;ca;150000;Editorial Planeta;978-1-20346-119-1;231;Catalan poetry;False
76248;La reina del cor : $b Comedia lírica en un acte;Iglesias, Ignasi;1871;ProlegIIndex|IllustracioDePortada|EdicioLimitada|ArquitecturaDelRelat;https://www.gutenberg.org/ebooks/76248.html.images;ca;200000;HarperCollins;978-7-76599-920-9;324;Catalan drama;False
73457;L'apotecari de Malgrat : $b Comedia en un acte y en prosa;Baró, Teodoro;1842;EnquadernacioArtesana|ArquitecturaDelRelat|TiratgeOriginal;https://www.gutenberg.org/ebooks/73457.html.images;ca;200000;Anagrama;978-3-26789-301-0;311;Catalan drama;False
74541;Les ales d'Ernestina : $b Drama en tres actes;Bertrana, Prudenci;1867;ArquitecturaDelRelat|SinopsiNarrativa|ProlegIIndex|DissenyEditorial|GenereLiterari;https://www.gutenberg.org/ebooks/74541.html.images;ca;200000;HarperCollins;978-4-57775-957-1;304;Catalan drama;True
77233;La mare eterna : $b Drama en tres actes;Iglesias, Ignasi;1871;SinopsiNarrativa;https://www.gutenberg.org/ebooks/77233.html.images;ca;75000;Anagrama;978-4-46389-378-8;378;Catalan drama;False
77061;Nausica : $b Tragedia en tres actes treta de l'Odissea d'Homer;Maragall, Joan;1860;TiratgeOriginal|ProlegIIndex;https://www.gutenberg.org/ebooks/77061.html.images;ca;200000;HarperCollins;978-7-77339-738-9;232;Catalan drama;False
74729;La colla d'en Pep Mata, o, Els martirs de l'Inquisició : $b Sainet;Iglesias, Ignasi;1871;;https://www.gutenberg.org/ebooks/74729.html.images;ca;150000;HarperCollins;978-1-76147-833-2;477;Catalan drama;False
75635;La resclosa : $b Drama en tres actes;Iglesias, Ignasi;1871;IllustracioDePortada|EdicioLimitada;https://www.gutenberg.org/ebooks/75635.rdf;ca;200000;Penguin Random House;978-6-23126-599-4;383;Catalan drama;True
74097;El mètode objectiu;Turró, Ramón;1854;IllustracioDePortada|EdicioLimitada|TiratgeOriginal|NarrativaLiteral|GenereLiterari|SinopsiNarrativa;https://www.gutenberg.org/ebooks/74097.html.images;ca;200000;Simon & Schuster;978-1-56043-131-1;204;Science -- Methodology;False
74468;Lladres : $b Quadro dramàtic;Iglesias, Ignasi;1871;ArquitecturaDelRelat|NarrativaLiteral|EnquadernacioArtesana|EdicioLimitada;https://www.gutenberg.org/ebooks/74468.html.images;ca;200000;HarperCollins;978-1-59923-718-4;448;Catalan drama;False
75809;Jesús que torna : $b Drama en tres actes y en prosa;Guimerá, Angel;1845;EnquadernacioArtesana;https://www.gutenberg.org/ebooks/75809.html.images;ca;100000;Editorial Planeta;978-5-87048-935-5;267;Catalan drama;True
76492;L'heréu Noradell : $b Estudi de família catalana;Bosch de la Trinxeria, Carles;0;;https://www.gutenberg.org/ebooks/76492.html.images;ca;200000;Simon & Schuster;978-7-69303-356-3;232;Catalan fiction;False
75308;La pena de mort;Alomar, Gabriel;1873;CorreccioEstilistica|ArquitecturaDelRelat|GenereLiterari;https://www.gutenberg.org/ebooks/75308.html.images;ca;200000;HarperCollins;978-9-36444-944-0;307;Capital punishment;False
72977;La barca dels afligits : $b Marina en un acte;Mestres, Apeles;1854;ProlegIIndex|IllustracioDePortada|SinopsiNarrativa|NarrativaLiteral|TiratgeOriginal;https://www.gutenberg.org/ebooks/72977.html.images;ca;50000;Anagrama;978-7-27348-428-3;392;Catalan drama;False
73502;Las esposallas de la morta;Balaguer, Víctor;1824;;https://www.gutenberg.org/ebooks/73502.html.images;ca;150000;Simon & Schuster;978-8-97246-323-4;164;Spanish drama -- 19th century;False
76140;L'esca del pecat;Figuerola Aldroféu, M. (Miquel);1861;TiratgeOriginal;https://www.gutenberg.org/ebooks/76140.html.images;ca;150000;Anagrama;978-7-83474-184-5;167;Catalan fiction;False
77084;La peste gròga : $b Pessa còmica-burlesca, composta d'afagitons bosquetjats del natural, com á memoria de la fébre amarilla del any 1870;Penya, Pere d'Alcàntara;1823;TiratgeOriginal|SinopsiNarrativa;https://www.gutenberg.org/ebooks/77084.html.images;ca;200000;Simon & Schuster;978-1-43375-653-0;359;Catalan drama;True
72794;El cor del poble : $b Drama en tres actes;Iglesias, Ignasi;1871;DissenyEditorial;https://www.gutenberg.org/ebooks/72794.html.images;ca;200000;Simon & Schuster;978-3-31499-555-9;291;Catalan drama;False
75037;Escenas de la vida pagesa;Riera i Bertran, Joaquim;1848;NarrativaLiteral|CorreccioEstilistica|SinopsiNarrativa|IllustracioDePortada|DissenyEditorial|EnquadernacioArtesana;https://www.gutenberg.org/ebooks/75037.html.images;ca;200000;Simon & Schuster;978-8-96197-106-0;221;Catalan literature;False
75409;Lo rondallayre : $b Quentos populars catalans;Maspons i Labrós, Francesc;1840;EdicioLimitada|NarrativaLiteral;https://www.gutenberg.org/ebooks/75409.html.images;ca;75000;Editorial Planeta;978-5-12515-142-4;334;Folklore -- Spain -- Catalonia;True
76957;Ja hi van al África : $b Pessa patriótica en un acte;Ferrer Fernández, J. A. (José Antonio);1833;;https://www.gutenberg.org/ebooks/76957.html.images;ca;100000;Simon & Schuster;978-2-10477-611-8;320;Catalan drama;False
76390;Matrimonis a Montserrat ó Buscant la perduda : $b Anada en dos actes i en diferents quadros;Roure, Conrad;1841;CulturaEscrita|NarrativaLiteral|DissenyEditorial|EnquadernacioArtesana|SinopsiNarrativa;https://www.gutenberg.org/ebooks/76390.html.images;ca;150000;Anagrama;978-7-62558-905-7;213;Catalan drama;False
77352;La neboda : $b Comedia en tres actes en prosa;Baró, Teodoro;1842;TiratgeOriginal|CorreccioEstilistica;https://www.gutenberg.org/ebooks/77352.html.images;ca;75000;Penguin Random House;978-2-66312-447-6;489;Catalan drama;False
75579;La morta : $b Quadro dramátich;Crehuet i Pardas, Pompeu;1881;;https://www.gutenberg.org/ebooks/75579.html.images;ca;50000;HarperCollins;978-8-62485-322-3;276;Catalan drama;False
74977;La taverna intel·lectual : $b (De les meves memòries);Gener, Pompeyo;1848;TiratgeOriginal|SinopsiNarrativa|EnquadernacioArtesana|DissenyEditorial;https://www.gutenberg.org/ebooks/74977.html.images;ca;150000;Simon & Schuster;978-7-40018-796-0;406;Gener, Pompeyo, 1848-1920;False
77898;Lo Rector de Vallfogona : $b Drama en tres actes y en vers;Pitarra, Serafí;0;ProlegIIndex|EnquadernacioArtesana|SinopsiNarrativa|IllustracioDePortada;https://www.gutenberg.org/files/77898/77898-h/77898-h.htm;ca;75000;Penguin Random House;978-7-46551-819-1;485;;True
