Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;SoftwareUtilitzat
158559;Red Flag Factory, St. Petersburg, Erich Mendelsohn, 1926;Richard Pare English, born 1948;2001;ProcesCreatiu|EfectesVisuals|PortfolioProfessional|ComposicioDigital|EscenariDigital|ImatgeriaGenerada;https://www.artic.edu/iiif/2/6d963e82-02d5-9277-e135-282feb323a75/full/843,/0/default.jpg;2299;2078;sRGB;150;PNG;3DStudio
186757;Repetition Triad;Steven Foster American, born 1945;3200;DibuixRapid|EfectesVisuals;https://www.artic.edu/iiif/2/821064a9-7cd5-98ec-a0ff-194cb9e1caa3/full/843,/0/default.jpg;2678;1730;Adobe RGB;300;JPEG;Gimp
184498;Lake View of Chicago of Burns Harbor, Indiana, from the series “Revealing Chicago” (2003-2004);Terry Evans American, born 1944;2320;EfectesVisuals;https://www.artic.edu/iiif/2/88432434-d02a-9d63-330c-975eec457375/full/843,/0/default.jpg;2062;1304;CMYK;96;WebP;Photoshop
184066;Wounded Tree: I'm Meant to Symbolize Strength;Irene Siegel American, born 1932;2004;ImatgeriaGenerada|DissenyDePersonatges|PinturaDigital;https://www.artic.edu/iiif/2/cd40d01c-d24f-888d-bcf2-b426374d1fbc/full/843,/0/default.jpg;2662;606;RGB;150;TIFF;Blander
58378;Flowers, Lab 212S (Rose I);Sonia Landy Sheridan American, 1925-2021;1976;PinturaDigital|Texturitzat|EscenariDigital|ModelatSolid|EfectesVisuals|ArtConceptual;https://www.artic.edu/iiif/2/11d983dd-1b34-1ae1-0d36-b03693e930c3/full/843,/0/default.jpg;3035;2291;sRGB;150;PNG;3DStudio
143567;Starving Artists Cookbook;Alex Sweetman American, born 1946;1983;PinturaDigital|ComposicioDigital|Texturitzat|ArtConceptual|DibuixRapid;https://www.artic.edu/iiif/2/16a74df2-b0e7-caa0-0eb8-8288def72c9c/full/843,/0/default.jpg;3098;2117;Adobe RGB;150;PNG;Photoshop
187497;Native Fruits;Esther Parada American, 1938–2005;1992;ModelatSolid|Texturitzat|ComposicioDigital|EscenariDigital|DissenyDePersonatges|ImatgeriaGenerada;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;2652;1692;CMYK;300;JPEG;Blander
184065;Brambles and Nightingales;Irene Siegel American, born 1932;2004;PortfolioProfessional|EfectesVisuals|ComposicioDigital|DibuixRapid|ModelatSolid|Texturitzat;https://www.artic.edu/iiif/2/b9301862-923f-01bc-5962-932a62c291bb/full/843,/0/default.jpg;1413;1146;sRGB;96;JPEG;Blander
180592;Field Museum, Jar of Bullsnakes, Various Dates;Terry Evans American, born 1944;2001;ImatgeriaGenerada|Texturitzat|ComposicioDigital;https://www.artic.edu/iiif/2/1ed3922c-9644-acaf-7092-29c0d045fb53/full/843,/0/default.jpg;1781;1142;Adobe RGB;96;TIFF;Blander
151915;Self-Portrait;Chuck Close American, 1940-2021;1996;EfectesVisuals|ImatgeriaGenerada|ComposicioDigital|PinturaDigital|ArtConceptual|EscenariDigital;https://www.artic.edu/iiif/2/e40b4028-036e-9ccb-ed29-e211a7af7909/full/843,/0/default.jpg;916;974;RGB;150;JPEG;Photoshop
151440;The Mermaids;Helena Chapellín Wilson American, born Venezuela 1941;1997;PinturaDigital|EscenariDigital|PortfolioProfessional|DissenyDePersonatges|ArtConceptual;https://www.artic.edu/iiif/2/e4b62d30-7ad4-9ced-478f-89ec3a4c1930/full/843,/0/default.jpg;3025;1898;sRGB;72;WebP;Gimp
160208;Courtesy Motel, Urbana, IL;Patty Carroll American, born 1946;1998;EfectesVisuals|Texturitzat|ComposicioDigital;https://www.artic.edu/iiif/2/e5c8273d-9123-06cd-1859-d85c0657b1ba/full/843,/0/default.jpg;2061;734;sRGB;150;TIFF;Sketch
141467;Atlantic City Bicentennial Celebration;William Larson American, 1942–2019;1976;ComposicioDigital|ProcesCreatiu|DibuixRapid|PortfolioProfessional;https://www.artic.edu/iiif/2/342b5db7-f0fb-27bc-0f2f-2444b8aca821/full/843,/0/default.jpg;1812;2223;RGB;300;PNG;Gimp
198854;Ordos 100, Lot 006, Inner Mongolia, China;MOS (American, founded 2003) Michael Meredith (American, born 1971) Hillary Sample (American, born 1971);2008;;https://www.artic.edu/iiif/2/c057b163-5fb2-24de-886f-af4c24cbec85/full/843,/0/default.jpg;1479;1186;Adobe RGB;300;WebP;Coreldraw
58379;Flowers, Lab 212S (Rose II, Red Backlight);Sonia Landy Sheridan American, 1925-2021;1976;ComposicioDigital|DissenyDePersonatges;https://www.artic.edu/iiif/2/1768bcb2-f073-caf4-208b-dcb01d376d7e/full/843,/0/default.jpg;1884;1751;CMYK;72;TIFF;Photoshop
158595;Pasta Salad (cherry tomatoes, french bread, red peppers, lettuce, parsely, lemon slice, grapes, red wine, chopped olives, and fork);Robert Heinecken American, 1931–2006;1983;ModelatSolid|ProcesCreatiu|EfectesVisuals|DibuixRapid|ComposicioDigital;https://www.artic.edu/iiif/2/5c3440fa-8e21-7570-0757-37f8594a8ca5/full/843,/0/default.jpg;1649;636;CMYK;150;TIFF;3DStudio
121203;As Elegant as a Swan;Robert Heinecken American, 1931–2006;1987;EfectesVisuals;https://www.artic.edu/iiif/2/4e9d2788-9cde-d271-72d6-07d5076726f8/full/843,/0/default.jpg;3125;1809;CMYK;150;TIFF;Maya
154150;Haunted;Helena Chapellín Wilson American, born Venezuela 1941;1999;ProcesCreatiu|PortfolioProfessional|EfectesVisuals|PinturaDigital;https://www.artic.edu/iiif/2/bf16cd65-63af-1e6e-ae25-9adc44c3d2c3/full/843,/0/default.jpg;2766;1761;CMYK;72;TIFF;Maya
157074;Flora of Kansas, Green Milkweed, 1886;Terry Evans American, born 1944;1999;ProcesCreatiu;https://www.artic.edu/iiif/2/1f80a23f-a793-b73b-4143-ade1d1c22a74/full/843,/0/default.jpg;909;1253;RGB;96;TIFF;Coreldraw
35121;Girl Smoking;Joel Swartz American, born 1944;1969;ModelatSolid|ImatgeriaGenerada|ProcesCreatiu|ComposicioDigital|EfectesVisuals;https://www.artic.edu/iiif/2/a8c9e611-7425-17cd-3d75-2a82eaabfaa4/full/843,/0/default.jpg;1651;1849;CMYK;96;TIFF;Blander
191456;Desert Fire #153 (Man with Rifle), from the series, Desert Cantos IV: The Fires (1983-85);Richard Misrach American, born 1949;1984;ComposicioDigital;https://www.artic.edu/iiif/2/7afc9ad4-2666-a67b-aef8-5677edd03840/full/843,/0/default.jpg;1909;2032;sRGB;72;WebP;Sketch
158461;Untitled;Gregory Crewdson American, born 1962;2000;EscenariDigital|ArtConceptual|PinturaDigital|ImatgeriaGenerada|Texturitzat;https://www.artic.edu/iiif/2/5f5c2382-32bd-da59-35b3-223b38e56f89/full/843,/0/default.jpg;2335;1003;RGB;96;WebP;Gimp
180612;Red Flag Factory, St. Petersburg, Erich Mendelsohn, 1926;Richard Pare English, born 1948;2001;;https://www.artic.edu/iiif/2/a3eb875d-ed82-f942-d5e2-74df649735cb/full/843,/0/default.jpg;2577;1296;CMYK;300;TIFF;Blander
143558;Untitled;George Siede probably American, active 1970s;1219;;https://www.artic.edu/iiif/2/78daa3dc-67c8-c9d8-e600-31d2be1738dd/full/843,/0/default.jpg;1777;754;CMYK;150;WebP;Photoshop
156063;Ghosts;Joyce Neimanas American, born 1944;1995;DissenyDePersonatges|Texturitzat|PortfolioProfessional|EscenariDigital|ImatgeriaGenerada|PinturaDigital;https://www.artic.edu/iiif/2/0eb34b02-726f-71c9-3784-517c093051e9/full/843,/0/default.jpg;962;1844;Adobe RGB;96;TIFF;Blander
35117;Girl and Boy Holding Hands;Joel Swartz American, born 1944;1969;EscenariDigital|DissenyDePersonatges|ModelatSolid|ProcesCreatiu|ArtConceptual;https://www.artic.edu/iiif/2/d3a01732-dd16-7793-0954-26a191cd2562/full/843,/0/default.jpg;1457;2209;sRGB;150;WebP;Blander
184619;Driver/Power Plant at Sunset;Jay Wolke American, born 1954;1984;EscenariDigital|PortfolioProfessional;https://www.artic.edu/iiif/2/4236679a-488f-cd98-a848-2995861c01d8/full/843,/0/default.jpg;1944;758;sRGB;72;WebP;Blander
182031;The Untitled Book;Matt Siber American, born 1972;2003;PortfolioProfessional|DibuixRapid;https://www.artic.edu/iiif/2/66fc4477-6095-69b7-4b7c-c22455f6ac9b/full/843,/0/default.jpg;935;1609;RGB;72;JPEG;Blander
191454;Dead Fish, Salton Sea, from the series Desert Cantos III: The Flood;Richard Misrach American, born 1949;1983;;https://www.artic.edu/iiif/2/70cc5210-4692-0a89-9998-e6a3a8030018/full/843,/0/default.jpg;3164;2066;RGB;300;TIFF;Gimp
154149;Haunted;Helena Chapellín Wilson American, born Venezuela 1941;1999;;https://www.artic.edu/iiif/2/e6182f28-0c22-6907-0d8f-ca14a32e653b/full/843,/0/default.jpg;809;721;Adobe RGB;96;JPEG;Blander
234674;Prototype of Social Housing Unit Drawing;Tatiana Bilbao Estudio (Mexican, founded 2004) Tatiana Bilbao (Mexican, born 1972);2015;DissenyDePersonatges|ImatgeriaGenerada;https://www.artic.edu/iiif/2/e989a1bd-ec49-8bc1-365d-49b3abe32f6c/full/843,/0/default.jpg;2850;923;CMYK;72;WebP;Blander
181608;Jessica and Samantha;Ben Gest American, born 1975;2002;PortfolioProfessional|ProcesCreatiu;https://www.artic.edu/iiif/2/6e51b10d-5ee0-7320-e71b-55c820cd3473/full/843,/0/default.jpg;3172;1450;RGB;96;TIFF;3DStudio
158579;37 Models;Karen Savage American, born 1948;1948;ProcesCreatiu|DissenyDePersonatges;https://www.artic.edu/iiif/2/4adef8a0-9b7d-fc10-2dce-92bc83bcabc8/full/843,/0/default.jpg;871;2077;CMYK;300;TIFF;Sketch
191460;Desert Croquet #1 (Deflated World), from the series Desert Cantos VIII: The Event II;Richard Misrach American, born 1949;1987;ArtConceptual;https://www.artic.edu/iiif/2/45d60342-9d8c-3525-c0a6-3381c2b7e6d8/full/843,/0/default.jpg;2104;1672;CMYK;300;JPEG;Maya
137099;Soft Kiss/Danger, from the 1993 Graduate/Faculty Photography Portfolio;Jason Greenberg American, unknown;1993;ComposicioDigital|DibuixRapid|PinturaDigital|ModelatSolid|ArtConceptual;https://www.artic.edu/iiif/2/da275bee-25d8-993e-a2f0-9e0c741f5678/full/843,/0/default.jpg;3072;1364;RGB;150;PNG;Photoshop
181619;Sam and Jessica;Ben Gest American, born 1975;2002;;https://www.artic.edu/iiif/2/f3d397ba-5904-f65e-3726-0dc2ca14339e/full/843,/0/default.jpg;1311;1082;CMYK;150;JPEG;Sketch
181637;Commute #18;Suzette Bross American, born 1968;2002;Texturitzat|EfectesVisuals|PortfolioProfessional;https://www.artic.edu/iiif/2/eb588222-a304-5f6b-754e-f1f2e3c8385f/full/843,/0/default.jpg;982;1989;RGB;150;TIFF;Maya
187498;Children with Fallen Tree Series, #1;Esther Parada American, 1938–2005;1978;PinturaDigital|ProcesCreatiu;https://www.artic.edu/iiif/2/ed8db511-c8fe-b218-9326-5f699544bff2/full/843,/0/default.jpg;1500;1152;sRGB;96;WebP;Blander
234099;Plain Cities;Gianna Ioanna Demertzis American, born 1989;2015;ArtConceptual|DibuixRapid|ModelatSolid|PortfolioProfessional|ProcesCreatiu|DissenyDePersonatges;https://www.artic.edu/iiif/2//full/843,/0/default.jpg;2498;1852;Adobe RGB;150;JPEG;Coreldraw
150247;Clara;Helena Chapellín Wilson American, born Venezuela 1941;1997;ProcesCreatiu|EfectesVisuals|ImatgeriaGenerada;https://www.artic.edu/iiif/2/746982ab-9639-58f3-df1a-b10b01542212/full/843,/0/default.jpg;1431;1779;sRGB;150;JPEG;3DStudio
35139;Girl Wearing Sunglasses;Joel Swartz American, born 1944;1969;ProcesCreatiu;https://www.artic.edu/iiif/2/c525737c-61fc-d0fd-6037-6a89ccf5f409/full/843,/0/default.jpg;2526;1128;RGB;300;JPEG;3DStudio
158577;Untitled;John Photos American, born 1978;2001;ProcesCreatiu|ArtConceptual;https://www.artic.edu/iiif/2/d69f5d9e-a265-64e8-0523-b68d30e4bb98/full/843,/0/default.jpg;3174;1357;Adobe RGB;72;WebP;Blander
184067;We are Murderers;Irene Siegel American, born 1932;2004;ModelatSolid|ImatgeriaGenerada|EfectesVisuals|Texturitzat|DibuixRapid|DissenyDePersonatges;https://www.artic.edu/iiif/2/5f07ec58-217b-c712-ec4b-fb5ee5acb46e/full/843,/0/default.jpg;1510;1866;Adobe RGB;72;PNG;Sketch
158594;Iconographic Art Lunches #1: The School of the Museum of Fine Arts, Boston: Submarine Sandwich: Salami, cheese, lettuce, sliced tomatoes, buns, lunch meat, Museum of Fine Arts, Boston: Salad Bar: (cont.);Robert Heinecken American, 1931–2006;1984;ComposicioDigital;https://www.artic.edu/iiif/2/234fa986-fc9a-f520-e0aa-686d8d2e87b8/full/843,/0/default.jpg;2800;1176;sRGB;96;JPEG;3DStudio
187499;Children with Fallen Tree Series, #2;Esther Parada American, 1938–2005;1978;PortfolioProfessional|ComposicioDigital|ArtConceptual|EscenariDigital|PinturaDigital|DibuixRapid;https://www.artic.edu/iiif/2/3fbd2fbc-4c5c-45f4-e3cb-43dac260c269/full/843,/0/default.jpg;2749;612;RGB;300;JPEG;Blander
184626;Super Taxi;Jay Wolke American, born 1954;1983;;https://www.artic.edu/iiif/2/0510452f-2cd1-e605-c1b1-4da36385c9f0/full/843,/0/default.jpg;2055;824;Adobe RGB;72;TIFF;Coreldraw
137107;UNCONDITIONAL;Aimée Beaubien American, born 1966;1993;EscenariDigital|DibuixRapid|DissenyDePersonatges|ModelatSolid|ImatgeriaGenerada|PinturaDigital;https://www.artic.edu/iiif/2/edf2bc10-fda1-da67-26da-0001d9678384/full/843,/0/default.jpg;1060;644;RGB;72;JPEG;Gimp
158572;Untitled;Sheree Hovsepian  American, born 1974;2001;PortfolioProfessional|ModelatSolid|ComposicioDigital|EscenariDigital|DibuixRapid;https://www.artic.edu/iiif/2/421cba63-3335-ead7-792c-943f22c198f0/full/843,/0/default.jpg;1731;2257;Adobe RGB;72;WebP;Gimp
35128;Men Smoking;Joel Swartz American, born 1944;1969;PinturaDigital|ModelatSolid|ComposicioDigital;https://www.artic.edu/iiif/2/ea671ce4-dfa8-401c-749a-3b5df483e02e/full/843,/0/default.jpg;3191;1668;RGB;72;PNG;Maya
191452;Flooded Marina (Gas Pumps), Salton Sea, California, from the series Desert Cantos III: The Flood;Richard Misrach American, born 1949;1983;;https://www.artic.edu/iiif/2/6f70ccce-baa7-ed19-4c36-e9645046242a/full/843,/0/default.jpg;1756;1350;Adobe RGB;72;JPEG;Gimp
191453;Submerged Lamppost, Salton Sea, from the series Desert Cantos III: The Flood (1983-1985);Richard Misrach American, born 1949;1985;ArtConceptual|PortfolioProfessional|ProcesCreatiu|EscenariDigital;https://www.artic.edu/iiif/2/fae3a5ab-ef3d-9b6d-9508-374fc8ccc179/full/843,/0/default.jpg;2963;1852;sRGB;300;WebP;Blander
191457;Bomb Crater and Destroyed Convoy, Bravo 20 Bombing Range, Nevada, from the series Desert Cantos V: The War;Richard Misrach American, born 1949;1986;EfectesVisuals|EscenariDigital|ImatgeriaGenerada|DibuixRapid;https://www.artic.edu/iiif/2/6afa0962-21a4-2bc2-27f2-5d6b567de948/full/843,/0/default.jpg;3158;1492;CMYK;150;JPEG;Sketch
184627;View from a Living Room, Pilsen, from the book Along the Divide: Photographs of the Dan Ryan Expressway;Jay Wolke American, born 1954;1985;ComposicioDigital|ImatgeriaGenerada|Texturitzat;https://www.artic.edu/iiif/2/320f2557-d08a-c84f-5608-89ce6dfd8be2/full/843,/0/default.jpg;2333;1838;sRGB;96;WebP;Maya
186754;Triadic Poem;Steven Foster American, born 1945;2620;ProcesCreatiu|Texturitzat|EfectesVisuals|ComposicioDigital|DibuixRapid;https://www.artic.edu/iiif/2/70f0cf41-098b-bff8-a1ef-a5902703042d/full/843,/0/default.jpg;1332;1550;CMYK;150;PNG;Gimp
181451;Frais, 2003 Schiff Prize Winner, Design Studies;Tristan d'Estree Sterk American;2003;DibuixRapid|ComposicioDigital;https://www.artic.edu/iiif/2/e74a5d6d-9329-7f6c-8798-8a35d1b0d2a2/full/843,/0/default.jpg;1540;1638;CMYK;96;PNG;Maya
191455;Desert Fire #81, from the series Desert Cantos IV: The Fires (1983-85);Richard Misrach American, born 1949;1984;ModelatSolid|Texturitzat|ImatgeriaGenerada|DissenyDePersonatges;https://www.artic.edu/iiif/2/5982716a-2400-cf40-5486-70ad09c0f638/full/843,/0/default.jpg;3061;772;Adobe RGB;150;TIFF;Sketch
184080;Miscanthus Sinenses Gracillimus with Baltimore Orioles Whizzing;Irene Siegel American, born 1932;2000;DissenyDePersonatges|ComposicioDigital|PinturaDigital|Texturitzat|ArtConceptual;https://www.artic.edu/iiif/2/8c694b84-c970-7a7c-7928-2d648e7a0622/full/843,/0/default.jpg;942;2045;CMYK;150;PNG;Coreldraw
35130;Girl Holding Purse;Joel Swartz American, born 1944;1969;ComposicioDigital|ImatgeriaGenerada|ArtConceptual;https://www.artic.edu/iiif/2/c6b08386-a6b4-d207-bb54-de86137c92bc/full/843,/0/default.jpg;889;2388;sRGB;72;WebP;Maya
204455;Real Time: Sweepers Clock;Maarten Baas German, born 1978;2010;DissenyDePersonatges;https://www.artic.edu/iiif/2/3017f65b-8d19-8aae-3a92-002d0d8f7d95/full/843,/0/default.jpg;1425;1913;sRGB;96;TIFF;Blander
185194;Girls, Tricky;Steve McQueen English, born 1969;2001;Texturitzat|ArtConceptual|PinturaDigital|DibuixRapid|ComposicioDigital;https://www.artic.edu/iiif/2/af07b73a-808e-0bec-1b15-22899a145396/full/843,/0/default.jpg;2297;1629;Adobe RGB;300;JPEG;3DStudio
49565;Sonia in Time;Sonia Landy Sheridan American, 1925-2021;1975;EscenariDigital|ArtConceptual|PinturaDigital|PortfolioProfessional|DibuixRapid;https://www.artic.edu/iiif/2/e91a7cd6-8b01-4a15-8445-de017f74726c/full/843,/0/default.jpg;3012;757;sRGB;300;PNG;Blander
191465;Burnt Forest and Half Dome, Yosemite;Richard Misrach American, born 1949;1988;ComposicioDigital|EfectesVisuals|PinturaDigital|ImatgeriaGenerada|ModelatSolid|DibuixRapid;https://www.artic.edu/iiif/2/c53b6b15-9ea2-457d-8dd5-0a7ac9595cb5/full/843,/0/default.jpg;1147;771;CMYK;300;JPEG;Maya
184189;Miko No Inori;Mariko Mori Japanese, born 1967;1996;ComposicioDigital|EfectesVisuals|ProcesCreatiu|ImatgeriaGenerada|PinturaDigital;https://www.artic.edu/iiif/2/99c77427-0636-8dde-de21-7185120f9f61/full/843,/0/default.jpg;2641;780;CMYK;96;JPEG;Coreldraw
184621;Running Horse;Jay Wolke American, born 1954;1982;PinturaDigital|ModelatSolid;https://www.artic.edu/iiif/2/dd9bad4b-c07f-3b5d-a662-ff95c1c9588e/full/843,/0/default.jpg;2042;1478;Adobe RGB;300;TIFF;Sketch
184190;Blindfold;Anri Sala Albanian, born 1974;2002;PortfolioProfessional;https://www.artic.edu/iiif/2/3a5c18fb-f368-67bc-833e-00bdb48b4130/full/843,/0/default.jpg;1490;2040;Adobe RGB;300;WebP;Coreldraw
191461;Outdoor Dining, Bonneville Salt Flats, from the series Desert Cantos XV: The Salt Flats (1992);Richard Misrach American, born 1949;1992;PinturaDigital|EscenariDigital|ComposicioDigital|ProcesCreatiu|ModelatSolid;https://www.artic.edu/iiif/2/fca9fd6b-1afa-d23f-4bd4-29a7755f448a/full/843,/0/default.jpg;952;1131;sRGB;72;WebP;Maya
187501;Children with Fallen Trees Series, #4;Esther Parada American, 1938–2005;1978;ModelatSolid|PinturaDigital|Texturitzat|EscenariDigital|DibuixRapid|DissenyDePersonatges;https://www.artic.edu/iiif/2/559f85f3-0faf-27b0-c201-34b5273732d3/full/843,/0/default.jpg;2846;1332;sRGB;150;PNG;Blander
185047;Mixed Behavior;Anri Sala Albanian, born 1974;2003;PinturaDigital|ModelatSolid|EscenariDigital|Texturitzat|ImatgeriaGenerada|PortfolioProfessional;https://www.artic.edu/iiif/2/9e1b72f6-7b65-fc35-8d56-34889fbe48de/full/843,/0/default.jpg;1151;1816;Adobe RGB;72;JPEG;3DStudio
234679;Prototype of Social Housing Unit Drawing;Tatiana Bilbao Estudio (Mexican, founded 2004) Tatiana Bilbao (Mexican, born 1972);2015;PinturaDigital|DibuixRapid|DissenyDePersonatges|ProcesCreatiu|ComposicioDigital|EfectesVisuals;https://www.artic.edu/iiif/2/b117ee36-1609-137c-8669-983b4ae25950/full/843,/0/default.jpg;1894;1823;CMYK;96;TIFF;Sketch
184204;Exodus;Steve McQueen English, born 1969;1992;ModelatSolid|DibuixRapid|ImatgeriaGenerada;https://www.artic.edu/iiif/2/477fc95f-e4c5-dbcf-cf7a-2eb325c64d75/full/843,/0/default.jpg;2170;1679;sRGB;150;PNG;Gimp
256838;La Tallera Siqueiros, Cuernavaca, Mexico, Site Research Photograph;Frida Escobedo (Mexican, born 1979) Frida Escobedo Studio (Mexican, founded 2006);2010;ProcesCreatiu|ImatgeriaGenerada;https://www.artic.edu/iiif/2/83ba3b37-2319-4a90-0be6-11573a2c0d72/full/843,/0/default.jpg;2701;1241;Adobe RGB;72;PNG;Blander
256842;La Tallera Siqueiros, Cuernavaca, Mexico, Site Research Photograph;Frida Escobedo (Mexican, born 1979) Frida Escobedo Studio (Mexican, founded 2006);2010;PinturaDigital|EfectesVisuals|ProcesCreatiu;https://www.artic.edu/iiif/2/ab6e7cf7-9765-5add-6500-f6450e29eaf7/full/843,/0/default.jpg;2896;880;RGB;150;TIFF;Sketch
191459;Dead Animals #454, Nevada, from the series Desert Cantos VI: The Pit (1987-88);Richard Misrach American, born 1949;1988;DissenyDePersonatges|DibuixRapid|EscenariDigital|Texturitzat|ArtConceptual;https://www.artic.edu/iiif/2/50f1513d-38fe-7770-a136-9e8024547863/full/843,/0/default.jpg;855;2212;RGB;96;PNG;Sketch
193614;The Mother of Us All;Sherrie Levine American, born 1947;2007;DissenyDePersonatges|EscenariDigital|ImatgeriaGenerada|DibuixRapid;https://www.artic.edu/iiif/2/d06510d6-fde9-3e38-b108-181251ccdfaf/full/843,/0/default.jpg;1215;1202;RGB;96;WebP;3DStudio
256836;La Tallera Siqueiros, Cuernavaca, Mexico, Site Research Photograph;Frida Escobedo (Mexican, born 1979) Frida Escobedo Studio (Mexican, founded 2006);2010;Texturitzat|ArtConceptual;https://www.artic.edu/iiif/2/9bb85e15-c02b-e300-c70d-26e086d0f7f7/full/843,/0/default.jpg;2604;2321;sRGB;72;JPEG;Blander
191458;Dead Animals #327, Nevada, from the series Desert Cantos VI: The Pit (1987-88);Richard Misrach American, born 1949;1987;PinturaDigital;https://www.artic.edu/iiif/2/dc65caab-3e7c-c801-e736-b2cba01a583e/full/843,/0/default.jpg;2006;952;Adobe RGB;300;TIFF;Sketch
160212;Fatburger, Las Vegas, NV;Patty Carroll American, born 1946;1998;PinturaDigital|ArtConceptual|Texturitzat;https://www.artic.edu/iiif/2/e87239c7-3873-2b33-d8b3-8d746049d476/full/843,/0/default.jpg;2256;2174;CMYK;96;PNG;Maya
