Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Genere;BitrateKbps;EsStereo;DuradaSegons;Narrador;Idioma;Capitols
67000;Divine Comedy;Dante Alighieri;1321;NarracioIntegra|EnregistramentEstudi|VeuNarrativa|ProduccioEditorial|AudioImmersiu|VeuEnOff;https://archive.org/compress/divine_comedy_librivox/formats=64KBPS MP3&file=/divine_comedy_librivox.zip;Ficció;Kbps192;True;44605;Dante Alighieri;English;19
68;Unbeaten Tracks in Japan;Isabella L. Bird;1878;ProduccioEditorial|AudioImmersiu;https://archive.org/compress/unbeaten_tracks_japan_ava_librivox/formats=64KBPS MP3&file=/unbeaten_tracks_japan_ava_librivox.zip;Biografia;Kbps96;True;46585;Isabella L. Bird;English;58
710000;Canterville Ghost;Oscar Wilde;1906;CulturaSonora|AudioImmersiu|VeuNarrativa|LletrAferit|ProduccioEditorial|VeuEnOff;https://archive.org/compress/canterville_ghost_librivox/formats=64KBPS MP3&file=/canterville_ghost_librivox.zip;No-ficció;Kbps96;True;4988;Oscar Wilde;English;7
73;Fábulas de Esopo, Vol. 1;Aesop;1997;DissenySonor|VeuEnOff|InterpretacioVocal;https://archive.org/compress/fabulas_esopo_01_librivox/formats=64KBPS MP3&file=/fabulas_esopo_01_librivox.zip;Fantasia;Kbps360;True;2497;Aesop;Spanish;30
74000;Mother Goose in Prose;L. Frank Baum;1897;InterpretacioVocal|VeuEnOff;https://archive.org/compress/mother_goose_prose_librivox/formats=64KBPS MP3&file=/mother_goose_prose_librivox.zip;Ciència-ficció;Kbps360;True;17184;L. Frank Baum;English;23
75;Uncle Tom's Cabin;Harriet Beecher Stowe;1852;DissenySonor|ProduccioEditorial|EnregistramentEstudi|InterpretacioVocal|VeuNarrativa|NarracioIntegra;https://archive.org/compress/uncle_toms_cabin_librivox/formats=64KBPS MP3&file=/uncle_toms_cabin_librivox.zip;Fantasia;Kbps128;True;65193;Harriet Beecher Stowe;English;45
76;Truth About Jesus. Is He a Myth?;M. M. Mangasarian;1909;CulturaSonora|LecturaEnCatala|NarracioIntegra|ExperienciaAuditiva|EnregistramentEstudi;https://archive.org/compress/truth_about_jesus_librivox/formats=64KBPS MP3&file=/truth_about_jesus_librivox.zip;Ficció;Kbps128;True;20415;M. M. Mangasarian;English;18
78;Foolish Dictionary;Charles Wayland Towne;1904;LletrAferit|VeuEnOff|CulturaSonora;https://archive.org/compress/foolish_dictionary_librivox/formats=64KBPS MP3&file=/foolish_dictionary_librivox.zip;Ficció;Kbps360;True;6327;Charles Wayland Towne;English;18
79;Ranald Bannerman's Boyhood;George MacDonald;1871;AudioImmersiu|InterpretacioVocal;https://archive.org/compress/ranald_bannermans_boyhood_librivox/formats=64KBPS MP3&file=/ranald_bannermans_boyhood_librivox.zip;Biografia;Kbps360;True;25488;George MacDonald;English;36
80;Fables de La Fontaine, livre 01;Jean de La Fontaine;1802;InterpretacioVocal|AudioImmersiu|CulturaSonora|VeuNarrativa|VeuEnOff;https://archive.org/compress/fables_lafontaine_01_librivox/formats=64KBPS MP3&file=/fables_lafontaine_01_librivox.zip;Ciència-ficció;Kbps192;True;2625;Jean de La Fontaine;French;23
81;Dream Psychology;Sigmund Freud;1920;InterpretacioVocal;https://archive.org/compress/dream_psychology_librivox/formats=64KBPS MP3&file=/dream_psychology_librivox.zip;No-ficció;Kbps128;True;21842;Sigmund Freud;English;10
82;Winnetou I;Karl May;1892;DissenySonor|LletrAferit|VeuNarrativa|LecturaEnCatala;https://archive.org/compress/winnetou1_librivox/formats=64KBPS MP3&file=/winnetou1_librivox.zip;No-ficció;Kbps96;True;60204;Karl May;German;27
83;Vindication of the Rights of Woman;Mary Wollstonecraft;1792;VeuNarrativa|ProduccioEditorial|CulturaSonora|NarracioIntegra;https://archive.org/compress/vindication_woman_librivox/formats=64KBPS MP3&file=/vindication_woman_librivox.zip;Històric;Kbps64;True;35176;Mary Wollstonecraft;English;21
84;Getting of Wisdom;Henry Handel Richardson;1910;LecturaEnCatala;https://archive.org/compress/getting_wisdom_librivox/formats=64KBPS MP3&file=/getting_wisdom_librivox.zip;Fantasia;Kbps96;True;28057;Henry Handel Richardson;English;25
85000;Consolation of Philosophy;Anicius Manlius Severinus Boethius;1900;AudioImmersiu|VeuEnOff;https://archive.org/compress/the_consolation_of_philosophy_librivox/formats=64KBPS MP3&file=/the_consolation_of_philosophy_librivox.zip;Misteri;Kbps64;True;18784;Anicius Manlius Severinus Boethius;English;41
86000;Emma;Jane Austen;1815;ProduccioEditorial|InterpretacioVocal|NarracioIntegra|LletrAferit|VeuEnOff;https://archive.org/compress/emma_solo_librivox/formats=64KBPS MP3&file=/emma_solo_librivox.zip;Misteri;Kbps360;True;64950;Jane Austen;English;55
88;Mrs. Caudle's Curtain Lectures;Douglas William Jerrold;1846;DissenySonor|LecturaEnCatala|InterpretacioVocal|LletrAferit;https://archive.org/compress/mrs_caudles_curtain_lectures_librivox/formats=64KBPS MP3&file=/mrs_caudles_curtain_lectures_librivox.zip;Biografia;Kbps128;True;15706;Douglas William Jerrold;English;38
89000;Fábulas de Esopo, Vol. 2;Aesop;1997;VeuEnOff|DissenySonor|NarracioIntegra|LletrAferit;https://archive.org/compress/fabulas_esopo_02_librivox/formats=64KBPS MP3&file=/fabulas_esopo_02_librivox.zip;Ficció;Kbps128;True;2968;Aesop;Spanish;30
90;Importance of Being Earnest;Oscar Wilde;1899;VeuEnOff|VeuNarrativa|ExperienciaAuditiva|InterpretacioVocal;https://archive.org/compress/being_earnest_librivox/formats=64KBPS MP3&file=/being_earnest_librivox.zip;Biografia;Kbps192;True;8280;Oscar Wilde;English;3
93;Story of a Stuffed Elephant;Laura Lee Hope;1922;LletrAferit;https://archive.org/compress/stuffed_elephant_solo_librivox/formats=64KBPS MP3&file=/stuffed_elephant_solo_librivox.zip;No-ficció;Kbps96;True;7790;Laura Lee Hope;English;10
94;Wind in the Willows;Kenneth Grahame;1908;ExperienciaAuditiva|LecturaEnCatala|InterpretacioVocal;https://archive.org/compress/wind_in_the_willows_collab_librivox/formats=64KBPS MP3&file=/wind_in_the_willows_collab_librivox.zip;Ciència-ficció;Kbps128;True;23407;Kenneth Grahame;English;12
96;Junior Classics Volume 1: Fairy and Wonder Tales;William Allan Neilson;1912;;https://archive.org/compress/junior_classics_vol1_librivox/formats=64KBPS MP3&file=/junior_classics_vol1_librivox.zip;Històric;Kbps64;True;51472;William Allan Neilson;English;117
97;Lord Jim;Joseph Conrad;1900;ProduccioEditorial;https://archive.org/compress/lord_jim_librivox/formats=64KBPS MP3&file=/lord_jim_librivox.zip;No-ficció;Kbps96;True;51917;Joseph Conrad;English;30
99000;Villette;Charlotte Brontë;1853;;https://archive.org/compress/villette_librivox/formats=64KBPS MP3&file=/villette_librivox.zip;Misteri;Kbps360;True;73558;Charlotte Brontë;English;42
100;Narrative of Arthur Gordon Pym of Nantucket;Edgar Allan Poe;1838;;https://archive.org/compress/narrative_gordon_pym_librivox/formats=64KBPS MP3&file=/narrative_gordon_pym_librivox.zip;Biografia;Kbps64;True;22932;Edgar Allan Poe;English;27
104;Merry Adventures of Robin Hood;Howard Pyle;1883;ExperienciaAuditiva|LecturaEnCatala;https://archive.org/compress/merry_adventures_robin_hood_librivox/formats=64KBPS MP3&file=/merry_adventures_robin_hood_librivox.zip;Fantasia;Kbps128;True;39649;Howard Pyle;English;22
105;Wives and Daughters;Elizabeth Cleghorn Gaskell;1866;AudioImmersiu|VeuEnOff|NarracioIntegra;https://archive.org/compress/wives_daughters_0710_librivox/formats=64KBPS MP3&file=/wives_daughters_0710_librivox.zip;Biografia;Kbps192;True;98155;Elizabeth Cleghorn Gaskell;English;61
106;Poems Every Child Should Know;Mary E. Burt;1904;;https://archive.org/compress/poems_every_child_should_know_librivox/formats=64KBPS MP3&file=/poems_every_child_should_know_librivox.zip;Misteri;Kbps64;True;29267;Mary E. Burt;English;81
119;Art of War;Sun Tzu 孙武;1910;VeuEnOff|InterpretacioVocal|DissenySonor;https://archive.org/compress/art_of_war_librivox/formats=64KBPS MP3&file=/art_of_war_librivox.zip;Històric;Kbps360;True;4334;Sun Tzu 孙武;English;7
120;Three Musketeers;Alexandre Dumas;1846;ExperienciaAuditiva|VeuEnOff|InterpretacioVocal|VeuNarrativa;https://archive.org/compress/three_musketeers_0712_librivox/formats=64KBPS MP3&file=/three_musketeers_0712_librivox.zip;No-ficció;Kbps192;True;89386;Alexandre Dumas;English;68
121;Fábulas de Esopo, Vol. 3;Aesop;1997;ExperienciaAuditiva|ProduccioEditorial|VeuNarrativa|LecturaEnCatala|EnregistramentEstudi|InterpretacioVocal;https://archive.org/compress/fabulas_esopo_03_librivox/formats=64KBPS MP3&file=/fabulas_esopo_03_librivox.zip;Històric;Kbps64;True;2056;Aesop;Spanish;30
122000;Bible (LSG, 1910) NT 04: Évangile selon Jean;Louis Segond Bible;1910;EnregistramentEstudi|ExperienciaAuditiva|InterpretacioVocal|LecturaEnCatala|VeuNarrativa|NarracioIntegra;https://archive.org/compress/jean_lsg_librivox/formats=64KBPS MP3&file=/jean_lsg_librivox.zip;Històric;Kbps128;True;6510;Louis Segond Bible;French;5
123;Amateur Cracksman;E. W. Hornung;1899;LecturaEnCatala;https://archive.org/compress/amateur_cracksman_librivox/formats=64KBPS MP3&file=/amateur_cracksman_librivox.zip;Misteri;Kbps128;True;19524;E. W. Hornung;English;8
124;Girl of the Limberlost;Gene Stratton-Porter;1909;InterpretacioVocal|LecturaEnCatala|VeuEnOff|NarracioIntegra;https://archive.org/compress/girl_limberlost_librivox/formats=64KBPS MP3&file=/girl_limberlost_librivox.zip;Biografia;Kbps360;True;41109;Gene Stratton-Porter;English;25
126;Rosary;Florence Louisa Barclay;1909;ExperienciaAuditiva|VeuNarrativa|AudioImmersiu|NarracioIntegra;https://archive.org/compress/rosary_librivox/formats=64KBPS MP3&file=/rosary_librivox.zip;Ficció;Kbps96;True;39043;Florence Louisa Barclay;English;38
127;Golden mean to 5000 digits;Jerry Bonnell;0;VeuEnOff|DissenySonor|InterpretacioVocal|ProduccioEditorial;https://archive.org/compress/golden_mean_to_5000_digits_0810_librivox/formats=64KBPS MP3&file=/golden_mean_to_5000_digits_0810_librivox.zip;Històric;Kbps360;True;3253;Jerry Bonnell;English;1
128;Queen Lucia;E. F. Benson;1920;LecturaEnCatala|VeuEnOff;https://archive.org/compress/queen_lucia_librivox/formats=64KBPS MP3&file=/queen_lucia_librivox.zip;Històric;Kbps64;True;31506;E. F. Benson;English;16
131;Histoires ou Contes du temps passé avec des moralités;Charles Perrault;1742;LletrAferit|InterpretacioVocal;https://archive.org/compress/contes_temps_passe_librivox/formats=64KBPS MP3&file=/contes_temps_passe_librivox.zip;Misteri;Kbps96;True;9164;Charles Perrault;French;11
132;Last of the Mohicans - A Narrative of 1757 (version 2);James Fenimore Cooper;1826;LecturaEnCatala;https://archive.org/compress/lastofthemohicans_0809_librivox/formats=64KBPS MP3&file=/lastofthemohicans_0809_librivox.zip;Fantasia;Kbps128;True;55457;James Fenimore Cooper;English;34
133;Jane Eyre;Charlotte Brontë;1847;DissenySonor;https://archive.org/compress/jane_eyre_librivox/formats=64KBPS MP3&file=/jane_eyre_librivox.zip;Ficció;Kbps360;True;74196;Charlotte Brontë;English;39
134;Eclogues;Virgil;0;AudioImmersiu|LletrAferit|NarracioIntegra;https://archive.org/compress/eclogues_0810_librivox/formats=64KBPS MP3&file=/eclogues_0810_librivox.zip;Històric;Kbps360;True;4101;Virgil;English;10
135;Eclogae (dramatic reading);Virgil;0;CulturaSonora;https://archive.org/compress/ecloga_0810_librivox/formats=64KBPS MP3&file=/ecloga_0810_librivox.zip;Misteri;Kbps360;True;5390;Virgil;Latin;12
136;Around the World in Seventy-Two Days;Nellie Bly;1890;DissenySonor;https://archive.org/compress/seventy_two_days_librivox/formats=64KBPS MP3&file=/seventy_two_days_librivox.zip;Ficció;Kbps192;True;21931;Nellie Bly;English;18
137;My Man Jeeves;P. G. Wodehouse;1919;ExperienciaAuditiva|LletrAferit|ProduccioEditorial|NarracioIntegra;https://archive.org/compress/my_man_jeeves_librivox/formats=64KBPS MP3&file=/my_man_jeeves_librivox.zip;Històric;Kbps192;True;18771;P. G. Wodehouse;English;8
138;Ballad of John Silver;John Masefield;1902;LletrAferit|DissenySonor|ExperienciaAuditiva|ProduccioEditorial|VeuEnOff;https://archive.org/compress/ballad_john_silver_librivox/formats=64KBPS MP3&file=/ballad_john_silver_librivox.zip;Històric;Kbps192;True;1182;John Masefield;English;9
139;Calendar of Sonnets;Helen Hunt Jackson;1886;EnregistramentEstudi|VeuNarrativa|NarracioIntegra|DissenySonor|InterpretacioVocal|CulturaSonora;https://archive.org/compress/calendar_of_sonnets_librivox/formats=64KBPS MP3&file=/calendar_of_sonnets_librivox.zip;Biografia;Kbps128;True;921;Helen Hunt Jackson;English;12
140;Christmas Carol;Charles Dickens;1843;LletrAferit|AudioImmersiu|CulturaSonora|InterpretacioVocal|DissenySonor;https://archive.org/compress/A_Christmas_Carol/formats=64KBPS MP3&file=/A_Christmas_Carol.zip;Biografia;Kbps64;True;11669;Charles Dickens;English;5
141;Connecticut Yankee in King Arthur's Court;Mark Twain;1889;ProduccioEditorial|ExperienciaAuditiva|VeuEnOff|EnregistramentEstudi|LecturaEnCatala;https://archive.org/compress/connecticutyankee_librivox/formats=64KBPS MP3&file=/connecticutyankee_librivox.zip;Històric;Kbps96;True;49355;Mark Twain;English;45
142;American Indian Fairy Tales;William Trowbridge Larned;1921;ExperienciaAuditiva|DissenySonor;https://archive.org/compress/american_indian_tales_librivox/formats=64KBPS MP3&file=/american_indian_tales_librivox.zip;Fantasia;Kbps96;True;10148;William Trowbridge Larned;English;9
143;International Episode;Henry James;1877;VeuEnOff|InterpretacioVocal|ProduccioEditorial|DissenySonor|EnregistramentEstudi|CulturaSonora;https://archive.org/compress/international_episode/formats=64KBPS MP3&file=/international_episode.zip;Misteri;Kbps360;True;10856;Henry James;English;6
144;Andersen's Fairy Tales;Hans Christian Andersen;1835;VeuEnOff|ProduccioEditorial;https://archive.org/compress/andersens_fairytales_librivox/formats=64KBPS MP3&file=/andersens_fairytales_librivox.zip;Fantasia;Kbps96;True;21064;Hans Christian Andersen;English;18
145;Anne of Avonlea;Lucy Maud Montgomery;1909;NarracioIntegra|LecturaEnCatala|EnregistramentEstudi;https://archive.org/compress/anne_avonlea/formats=64KBPS MP3&file=/anne_avonlea.zip;Misteri;Kbps128;True;31719;Lucy Maud Montgomery;English;30
146;Anne of Green Gables;Lucy Maud Montgomery;1908;;https://archive.org/compress/anne_of_green_gables_librivox/formats=64KBPS MP3&file=/anne_of_green_gables_librivox.zip;Ciència-ficció;Kbps96;True;37811;Lucy Maud Montgomery;English;38
147;Art and Heart;Ella Wheeler Wilcox;1883;;https://archive.org/compress/art_and_heart_librivox/formats=64KBPS MP3&file=/art_and_heart_librivox.zip;Històric;Kbps128;True;4242;Ella Wheeler Wilcox;English;38
148;Auf der Galerie;Franz Kafka;1919;InterpretacioVocal|ProduccioEditorial|EnregistramentEstudi|VeuNarrativa|CulturaSonora;https://archive.org/compress/kafka_galerie_librivox/formats=64KBPS MP3&file=/kafka_galerie_librivox.zip;Biografia;Kbps360;True;181;Franz Kafka;German;1
149;Épigramme;François Maynard;1920;LecturaEnCatala;https://archive.org/compress/epigramme_librivox/formats=64KBPS MP3&file=/epigramme_librivox.zip;Ficció;Kbps96;True;497;François Maynard;French;10
150;Barbara Frietchie;John Greenleaf Whittier;1864;NarracioIntegra;https://archive.org/compress/barbara_frietchie_librivox/formats=64KBPS MP3&file=/barbara_frietchie_librivox.zip;Ficció;Kbps128;True;827;John Greenleaf Whittier;English;4
151;Beowulf;Unknown;1909;LletrAferit|CulturaSonora|EnregistramentEstudi|NarracioIntegra;https://archive.org/compress/beowulf/formats=64KBPS MP3&file=/beowulf.zip;No-ficció;Kbps192;True;10359;Unknown;English;8
152;Beyond Good and Evil;Friedrich Nietzsche;1885;ExperienciaAuditiva|ProduccioEditorial|AudioImmersiu|NarracioIntegra;https://archive.org/compress/beyond_good_and_evil_librivox/formats=64KBPS MP3&file=/beyond_good_and_evil_librivox.zip;Misteri;Kbps192;True;28930;Friedrich Nietzsche;English;10
153;Bible (Biblia Sacra Vulgata) 19: Psalmi XXII;Biblia Sacra Vulgata;382;InterpretacioVocal|EnregistramentEstudi|VeuEnOff|DissenySonor;https://archive.org/compress/psalmi_22_vulgata_librivox/formats=64KBPS MP3&file=/psalmi_22_vulgata_librivox.zip;Misteri;Kbps192;True;81;Biblia Sacra Vulgata;Latin;1
154;Bildergeschichten;Wilhelm Busch;1904;NarracioIntegra|EnregistramentEstudi|ProduccioEditorial|VeuNarrativa|LecturaEnCatala;https://archive.org/compress/bildergeschichten_librivox/formats=64KBPS MP3&file=/bildergeschichten_librivox.zip;No-ficció;Kbps360;True;13990;Wilhelm Busch;German;51
155000;Black Beauty (The Autobiography of a Horse);Anna Sewell;1877;LletrAferit|LecturaEnCatala;https://archive.org/compress/blackbeauty_librivox/formats=64KBPS MP3&file=/blackbeauty_librivox.zip;Fantasia;Kbps360;True;22497;Anna Sewell;English;49
156;Bible (KJV) 17: Esther;King James Version (KJV);1611;CulturaSonora|VeuNarrativa|InterpretacioVocal|ProduccioEditorial|AudioImmersiu|EnregistramentEstudi;https://archive.org/compress/publicdomain/formats=64KBPS MP3&file=/publicdomain.zip;No-ficció;Kbps360;True;1955;King James Version (KJV);English;3
157;Caedmon's Hymn;Caedmon;680;NarracioIntegra|ExperienciaAuditiva|VeuNarrativa|LletrAferit;https://archive.org/compress/caedmon_librivox/formats=64KBPS MP3&file=/caedmon_librivox.zip;Ciència-ficció;Kbps192;True;99;Caedmon;Old English;1
158;Call of the Wild;Jack London;1903;ExperienciaAuditiva;https://archive.org/compress/call_of_the_wild/formats=64KBPS MP3&file=/call_of_the_wild.zip;Ciència-ficció;Kbps96;True;12216;Jack London;English;6
159;Cathay;Ernest Fenollosa;1915;LletrAferit|NarracioIntegra|ExperienciaAuditiva|LecturaEnCatala|InterpretacioVocal;https://archive.org/compress/cathay_librivox/formats=64KBPS MP3&file=/cathay_librivox.zip;Misteri;Kbps360;True;2758;Ernest Fenollosa;English;17
160;Chapters from my Autobiography;Mark Twain;1906;VeuNarrativa;https://archive.org/compress/twain_autobiography_librivox/formats=64KBPS MP3&file=/twain_autobiography_librivox.zip;Biografia;Kbps360;True;38091;Mark Twain;English;25
161;Vagabond Song;Bliss Carman;1901;LletrAferit;https://archive.org/compress/vagabond_song_librivox/formats=64KBPS MP3&file=/vagabond_song_librivox.zip;No-ficció;Kbps128;True;851;Bliss Carman;English;15
162;Childhood;Leo Tolstoy;1895;NarracioIntegra|VeuEnOff|ProduccioEditorial|LecturaEnCatala;https://archive.org/compress/childhood_english_librivox/formats=64KBPS MP3&file=/childhood_english_librivox.zip;Ficció;Kbps192;True;14796;Leo Tolstoy;English;18
163;Dear Enemy;Jean Webster;1915;InterpretacioVocal|ProduccioEditorial;https://archive.org/compress/dear_enemy_0710_librivox/formats=64KBPS MP3&file=/dear_enemy_0710_librivox.zip;Biografia;Kbps360;True;23516;Jean Webster;English;24
164;Domestic Cookery, Useful Receipts, and Hints to Young Housekeepers;Elizabeth E. Lea;1866;LletrAferit|LecturaEnCatala|VeuNarrativa;https://archive.org/compress/domestic_cookery_librivox/formats=64KBPS MP3&file=/domestic_cookery_librivox.zip;Històric;Kbps64;True;31626;Elizabeth E. Lea;English;20
166;Anne of the Island;Lucy Maud Montgomery;1915;DissenySonor;https://archive.org/compress/anne_island/formats=64KBPS MP3&file=/anne_island.zip;Històric;Kbps360;True;28287;Lucy Maud Montgomery;English;41
168;Secret Chambers and Hiding Places;Allan Fea;1908;;https://archive.org/compress/secret_chambers_librivox/formats=64KBPS MP3&file=/secret_chambers_librivox.zip;Històric;Kbps128;True;13398;Allan Fea;English;16
169;Death Be Not Proud;John Donne;1633;EnregistramentEstudi;https://archive.org/compress/death_be_not_proud_librivox/formats=64KBPS MP3&file=/death_be_not_proud_librivox.zip;Misteri;Kbps128;True;960;John Donne;English;11
170;Declaration of Independence of the United States of America;Thomas Jefferson;1776;LletrAferit|InterpretacioVocal|ProduccioEditorial;https://archive.org/compress/declaration_of_independence_librivox/formats=64KBPS MP3&file=/declaration_of_independence_librivox.zip;Històric;Kbps360;True;611;Thomas Jefferson;English;1
171;Declaration of Rights;Stamp Act Congress;1765;;https://archive.org/compress/stamp_act_congress_1765_librivox/formats=64KBPS MP3&file=/stamp_act_congress_1765_librivox.zip;Fantasia;Kbps96;True;254;Stamp Act Congress;English;1
172;Kleine Häwelmann;Theodor Storm;0;NarracioIntegra|LecturaEnCatala|CulturaSonora|ExperienciaAuditiva|AudioImmersiu|ProduccioEditorial;https://archive.org/compress/haewelmann_librivox/formats=64KBPS MP3&file=/haewelmann_librivox.zip;Històric;Kbps360;True;498;Theodor Storm;German;1
173;Schimmelreiter;Theodor Storm;1888;VeuEnOff|NarracioIntegra|EnregistramentEstudi|LecturaEnCatala;https://archive.org/compress/schimmelreiter_storm_librivox/formats=64KBPS MP3&file=/schimmelreiter_storm_librivox.zip;Misteri;Kbps64;True;15443;Theodor Storm;German;7
174;Journey to the Interior of the Earth;Jules Verne;1864;;https://archive.org/compress/journey_verne_librivox/formats=64KBPS MP3&file=/journey_verne_librivox.zip;No-ficció;Kbps192;True;29416;Jules Verne;English;41
175;Little Princess;Frances Hodgson Burnett;1905;LletrAferit|VeuEnOff|CulturaSonora;https://archive.org/compress/littleprincess_librivox/formats=64KBPS MP3&file=/littleprincess_librivox.zip;No-ficció;Kbps96;True;27357;Frances Hodgson Burnett;English;19
176;Struwwelpeter (version 2);Heinrich Hoffmann;1845;InterpretacioVocal|EnregistramentEstudi|NarracioIntegra|AudioImmersiu|LletrAferit;https://archive.org/compress/struwwelpeter_de2_librivox/formats=64KBPS MP3&file=/struwwelpeter_de2_librivox.zip;Fantasia;Kbps360;True;887;Heinrich Hoffmann;German;1
177;Modest Proposal;Jonathan Swift;1729;;https://archive.org/compress/modestproposal/formats=64KBPS MP3&file=/modestproposal.zip;Ficció;Kbps128;True;1635;Jonathan Swift;English;1
179;Noiseless Patient Spider;Walt Whitman;1900;DissenySonor|LletrAferit;https://archive.org/compress/patient_spider/formats=64KBPS MP3&file=/patient_spider.zip;Misteri;Kbps96;True;677;Walt Whitman;English;8
180;Struwwelpeter;Heinrich Hoffmann;1845;NarracioIntegra|CulturaSonora|AudioImmersiu;https://archive.org/compress/struwwelpeter_de_librivox/formats=64KBPS MP3&file=/struwwelpeter_de_librivox.zip;Històric;Kbps128;True;1065;Heinrich Hoffmann;German;1
181;Tolle Mensch;Friedrich Nietzsche;1887;VeuEnOff|InterpretacioVocal|ExperienciaAuditiva|LecturaEnCatala|LletrAferit;https://archive.org/compress/tolle_mensch_librivox/formats=64KBPS MP3&file=/tolle_mensch_librivox.zip;Ciència-ficció;Kbps96;True;288;Friedrich Nietzsche;German;1
182;Leiden des jungen Werther;Johann Wolfgang von Goethe;1774;;https://archive.org/compress/leiden_werther_librivox/formats=64KBPS MP3&file=/leiden_werther_librivox.zip;Ciència-ficció;Kbps360;True;17816;Johann Wolfgang von Goethe;German;11
183;Schwarze Galeere;Wilhelm Raabe;1861;VeuEnOff|AudioImmersiu|LecturaEnCatala|LletrAferit|ExperienciaAuditiva;https://archive.org/compress/schwarze_galeere_librivox/formats=64KBPS MP3&file=/schwarze_galeere_librivox.zip;Ficció;Kbps96;True;6445;Wilhelm Raabe;German;6
184;History of England, from the Accession of James II - (Volume 1, Chapter 05);Thomas Babington Macaulay;1848;;https://archive.org/compress/historyofengland05/formats=64KBPS MP3&file=/historyofengland05.zip;Històric;Kbps128;True;16954;Thomas Babington Macaulay;English;21
186;I Do Not Love Thee;Caroline Elizabeth Sarah Norton;1919;EnregistramentEstudi|NarracioIntegra|CulturaSonora|AudioImmersiu|InterpretacioVocal;https://archive.org/compress/i_do_not_love_thee_norton_librivox/formats=64KBPS MP3&file=/i_do_not_love_thee_norton_librivox.zip;No-ficció;Kbps192;True;2181;Caroline Elizabeth Sarah Norton;English;20
187;I Wandered Lonely as a Cloud;William Wordsworth;1888;InterpretacioVocal|DissenySonor;https://archive.org/compress/wandered_lonely_as_a_cloud_librivox/formats=64KBPS MP3&file=/wandered_lonely_as_a_cloud_librivox.zip;Ciència-ficció;Kbps128;True;815;William Wordsworth;English;9
188;If;Rudyard Kipling;1914;InterpretacioVocal;https://archive.org/compress/if_kipling_librivox/formats=64KBPS MP3&file=/if_kipling_librivox.zip;No-ficció;Kbps128;True;2296;Rudyard Kipling;English;17
189;In Flanders Fields;John McCrae;1919;NarracioIntegra|DissenySonor|AudioImmersiu|InterpretacioVocal|ExperienciaAuditiva;https://archive.org/compress/in_flanders_fields/formats=64KBPS MP3&file=/in_flanders_fields.zip;Biografia;Kbps192;True;570;John McCrae;English;7
